Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.562699811896,0.981623383506,0.0,0.945428208215,0.0,0.0164054927902,0.0164054927902,0.0164054927902,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115610953196
 01/01  02:00:00,0.463561965053,1.22379886064,0.0,1.18930043301,0.0,0.0206372726238,0.0206372726238,0.0206372726238,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.0683125669134
 01/01  03:00:00,0.438154413177,1.36328807863,0.0,1.3364229943,0.0,0.0231902090578,0.0231902090578,0.0231902090578,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0573442574303
 01/01  04:00:00,0.439015704959,1.4676942127,0.0,1.4411033502,0.0,0.0250066693762,0.0250066693762,0.0250066693762,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616419023263
 01/01  05:00:00,0.468810368265,1.55702105028,0.0,1.52375090799,0.0,0.0264408067349,0.0264408067349,0.0264408067349,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.100009256481
 01/01  06:00:00,0.674676196416,1.58736164594,0.0,1.54456523799,0.0,0.0268019862912,0.0268019862912,0.0268019862912,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272117005017
 01/01  07:00:00,1.08479894516,1.52073651228,0.0,1.44513675374,0.0,0.025076658797,0.025076658797,0.025076658797,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801274881
 01/01  08:00:00,1.28143535928,1.95104286765,0.0,1.83696973755,0.0,0.031875919846,0.031875919846,0.031875919846,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988373574
 01/01  09:00:00,1.15919550242,1.3260489601,0.0,1.20850529672,0.0,0.0209705240017,0.0209705240017,0.0209705240017,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682478
 01/01  10:00:00,0.964955474523,1.01728061172,0.0,0.898469331673,0.0,0.0155906413781,0.0155906413781,0.0155906413781,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.543191956208
 01/01  11:00:00,0.868832147583,0.831854927957,0.0,0.724454529389,0.0,0.0125710587599,0.0125710587599,0.0125710587599,0.0467112376283,0.00839214785663,0.0597797549385,0.271409451485,0.459438496915
 01/01  12:00:00,0.794948836776,0.705417309103,0.0,0.58322246498,0.0,0.0101203368603,0.0101203368603,0.0101203368603,0.0467112376283,0.00839214785663,0.0588912012469,0.27149260389,0.388811309294
 01/01  13:00:00,0.735333368273,0.575311539797,0.0,0.438642175604,0.0,0.00761151506464,0.00761151506464,0.00761151506464,0.0467112376283,0.00839214785663,0.0601596923813,0.266919221589,0.335009553753
 01/01  14:00:00,0.707109319541,0.442454278245,0.0,0.32734433373,0.0,0.00568022517233,0.00568022517233,0.00568022517233,0.0467112376283,0.00839214785663,0.0582516037592,0.276149138597,0.301394966527
 01/01  15:00:00,0.692995424275,0.369158893183,0.0,0.257415154088,0.0,0.00446678279514,0.00446678279514,0.00446678279514,0.0491697382757,0.00883384244632,0.0552107169154,0.291698638422,0.273085705421
 01/01  16:00:00,0.729850099978,0.214124275288,0.0,0.0746384242401,0.0,0.00129515929407,0.00129515929407,0.00129515929407,0.0614621804744,0.0110423044287,0.0576101118494,0.30791335749,0.279996986441
 01/01  17:00:00,0.888852742709,0.296783591526,0.0,0.079465489305,0.0,0.00137892068434,0.00137892068434,0.00137892068434,0.103256447327,0.018551068589,0.0671024077954,0.364207536,0.323826362314
 01/01  18:00:00,1.18613777208,0.912135428566,0.0,0.568140360162,0.0,0.00985862543712,0.00985862543712,0.00985862543712,0.191761982327,0.034451986089,0.08424901191,0.442453949556,0.412832216764
 01/01  19:00:00,1.4374654449,0.366451737288,0.0,0.0893606963424,0.0,0.00155062673912,0.00155062673912,0.00155062673912,0.285184488103,0.0512362872853,0.0852833183682,0.480371446455,0.493309277946
