Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.556308329229,0.613290162242,0.0,0.57709498695,0.0,0.0100140101231,0.0100140101231,0.0100140101231,0.0590036798269,0.010600609839,0.0389770129118,0.311572063332,0.115610953196
 01/01  02:00:00,0.455948639227,0.785052509174,0.0,0.750554081542,0.0,0.013023949853,0.013023949853,0.013023949853,0.0344188259487,0.00618369135735,0.0366038093052,0.286875798904,0.0683125638584
 01/01  03:00:00,0.430533228907,0.924088724148,0.0,0.897223639812,0.0,0.0155690255762,0.0155690255762,0.0155690255762,0.0245848691378,0.00441692122316,0.0345384536427,0.283549702685,0.0573442566418
 01/01  04:00:00,0.433692102411,1.1609019588,0.0,1.13431109631,0.0,0.0196830730781,0.0196830730781,0.0196830730781,0.0245848691378,0.00441692122316,0.0332769556732,0.279558387222,0.0616418960767
 01/01  05:00:00,0.463250174639,1.23659417418,0.0,1.20332403189,0.0,0.0208806163788,0.0208806163788,0.0208806163788,0.0245848691378,0.00441692122316,0.0338304829616,0.268998031726,0.100009253211
 01/01  06:00:00,0.669046041031,1.2629025499,0.0,1.22010614195,0.0,0.0211718270527,0.0211718270527,0.0211718270527,0.0245848691378,0.00441692122316,0.0360452309657,0.300180183781,0.272117008871
 01/01  07:00:00,1.0783881212,1.15128867001,0.0,1.07568891148,0.0,0.018665834728,0.018665834728,0.018665834728,0.0565452096987,0.0101589207324,0.0428581977933,0.346828683255,0.592801274989
 01/01  08:00:00,1.26650143303,1.0904192162,0.0,0.976346086094,0.0,0.0169419936247,0.0169419936247,0.0169419936247,0.115548889526,0.0207595305713,0.0522011846794,0.368531461085,0.666988373541
 01/01  09:00:00,1.15101387024,0.854551642078,0.0,0.737007978697,0.0,0.0127888918226,0.0127888918226,0.0127888918226,0.11063191875,0.019876146875,0.0605081669804,0.311572063332,0.625106682477
 01/01  10:00:00,0.954619039579,0.421604638771,0.0,0.30279335872,0.0,0.00525420568188,0.00525420568188,0.00525420568188,0.0565452096987,0.0101589207324,0.0637657254319,0.265173021074,0.54319195696
 01/01  11:00:00,0.856220309597,0.107400398569,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0597797549385,0.271409451485,0.459397717689
 01/01  12:00:00,0.78449716142,0.122194844123,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0588912012469,0.27149260389,0.388479970798
 01/01  13:00:00,0.726998009972,0.136669364193,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0601596923813,0.266919221589,0.334285710516
 01/01  14:00:00,0.700533006165,0.115109944515,0.0,0.0,0.0,0.0,0.0,0.0,0.0467112376283,0.00839214785663,0.0582516037592,0.276149138597,0.300498878324
 01/01  15:00:00,0.687620304804,0.111743739095,0.0,0.0,0.0,0.0,0.0,0.0,0.0491697382757,0.00883384244632,0.0552107169154,0.291698638422,0.272177368745
 01/01  16:00:00,0.727579717769,0.139485851048,0.0,0.0,0.0,0.0,0.0,0.0,0.0614621804744,0.0110423044287,0.0576101118494,0.30791335749,0.279021763526
 01/01  17:00:00,0.886645311895,0.217318102221,0.0,0.0,0.0,0.0,0.0,0.0,0.103256447327,0.018551068589,0.0671024077954,0.364207536,0.322997852184
 01/01  18:00:00,1.17581382077,0.343995068403,0.0,0.0,0.0,0.0,0.0,0.0,0.191761982327,0.034451986089,0.08424901191,0.442453949556,0.412366890885
 01/01  19:00:00,1.4353214392,0.277091040945,0.0,0.0,0.0,0.0,0.0,0.0,0.285184488103,0.0512362872853,0.0852833183682,0.480371446455,0.492715898994
 01/01  20:00:00,1.4458193999,0.159801954626,0.0,0.0,0.0,0.0,0.0,0.0,0.302393901077,0.054328132964,0.076857507091,0.495837793874,0.505872064897
 01/01  21:00:00,1.36021076883,0.109202087527,0.0,0.0,0.0,0.0,0.0,0.0,0.260599634224,0.0468193688037,0.0671599615243,0.512884036997,0.462217767283
 01/01  22:00:00,1.23401667471,0.0861858643041,0.0,0.0,0.0,0.0,0.0,0.0,0.218805336853,0.0393105991603,0.0600180686125,0.500910090608,0.404442579478
 01/01  23:00:00,1.01139866242,0.118035279766,0.0,0.0557268002388,0.0,0.000966996342606,0.000966996342606,0.000966996342606,0.164718627801,0.0295933730176,0.0513238084703,0.433473489764,0.320792367026
 01/01  24:00:00,0.791295967784,0.210160449079,0.0,0.162108122452,0.0,0.00281297258851,0.00281297258851,0.00281297258851,0.113090388878,0.0203178359816,0.0442136254855,0.376680396822,0.223650748028
 01/02  01:00:00,0.54579623307,0.455508022831,0.0,0.419312847539,0.0,0.00727610392559,0.00727610392559,0.00727610392559,0.0590036798269,0.010600609839,0.0386485741458,0.311572063332,0.108165202001
 01/02  02:00:00,0.450535452982,0.694070747785,0.0,0.659572320153,0.0,0.0114451936687,0.0114451936687,0.0114451936687,0.0344188259487,0.00618369135735,0.0364037809873,0.286875798904,0.0646781621161
 01/02  03:00:00,0.42528181276,0.793972369478,0.0,0.767107285141,0.0,0.0133111884396,0.0133111884396,0.0133111884396,0.0245848691378,0.00441692122316,0.0344190020612,0.283549702685,0.0544701292136
