Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.479962738717,2.46904439311,0.0,2.17225458717,0.0,0.0425566202689,0.0425566202689,0.0425566202689,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.424434878178,2.49988081864,0.0,2.27574453821,0.0,0.0445840909779,0.0445840909779,0.0445840909779,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.408809022007,2.57184068922,0.0,2.37188435573,0.0,0.0464675652867,0.0464675652867,0.0464675652867,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.40318903765,2.56169178443,0.0,2.35552055378,0.0,0.0461469821883,0.0461469821883,0.0461469821883,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.39300804767,2.6235099927,0.0,2.3529225154,0.0,0.0460960840416,0.0460960840416,0.0460960840416,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.425624436566,2.83318636581,0.0,2.29450390069,0.0,0.0449516054812,0.0449516054812,0.0449516054812,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.515627124593,3.1815174454,0.0,2.12809125883,0.0,0.0416914168967,0.0416914168967,0.0416914168967,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.640621827216,3.64951955795,0.0,2.44565235605,0.0,0.0479127535238,0.0479127535238,0.0479127535238,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.563613724572,3.2505922613,0.0,2.10614325004,0.0,0.041261433652,0.041261433652,0.041261433652,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.453329609968,3.12046926642,0.0,2.0976552901,0.0,0.0410951461045,0.0410951461045,0.0410951461045,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.443811779593,2.9955003323,0.0,2.10980151799,0.0,0.0413331027468,0.0413331027468,0.0413331027468,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.444334190446,2.97183447542,0.0,2.17752864589,0.0,0.0426599443063,0.0426599443063,0.0426599443063,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.440071836057,2.85926426234,0.0,2.13138083575,0.0,0.041755862969,0.041755862969,0.041755862969,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.444914489235,2.65485580528,0.0,1.99933496094,0.0,0.0391689534116,0.0391689534116,0.0391689534116,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.456726567105,2.40998811349,0.0,1.80037744719,0.0,0.0352711785319,0.0352711785319,0.0352711785319,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.492655113514,2.55149545984,0.0,1.90381019794,0.0,0.0372975286306,0.0372975286306,0.0372975286306,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.610623816478,2.70489684871,0.0,1.91346768457,0.0,0.037486728365,0.037486728365,0.037486728365,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.829499115878,3.6724069196,0.0,2.62080789779,0.0,0.051344224182,0.051344224182,0.051344224182,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.00042195985,3.05074004473,0.0,1.94588019309,0.0,0.0381217215308,0.0381217215308,0.0381217215308,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,0.994432954478,2.73086015472,0.0,1.72392057982,0.0,0.0337733127242,0.0337733127242,0.0337733127242,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.951392968831,2.65317654489,0.0,1.76211803185,0.0,0.0345216386667,0.0345216386667,0.0345216386667,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.881472634098,2.5776738133,0.0,1.79637911381,0.0,0.0351928472183,0.0351928472183,0.0351928472183,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.740609019259,2.55475069194,0.0,1.92343476181,0.0,0.0376819932865,0.0376819932865,0.0376819932865,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.616345523676,2.58410679738,0.0,2.11320079679,0.0,0.0413996979876,0.0413996979876,0.0413996979876,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.481982453105,2.57768446602,0.0,2.29211341122,0.0,0.0449047734232,0.0449047734232,0.0449047734232,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.425394154682,2.55356580169,0.0,2.33491994268,0.0,0.0457433957998,0.0457433957998,0.0457433957998,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.408770908685,2.5716609314,0.0,2.37603617525,0.0,0.0465489035459,0.0465489035459,0.0465489035459,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.405335822049,2.67162337661,0.0,2.47020168826,0.0,0.0483936992726,0.0483936992726,0.0483936992726,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/02  05:00:00,0.395774718249,2.76311630106,0.0,2.50235580703,0.0,0.049023630327,0.049023630327,0.049023630327,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/02  06:00:00,0.427422084945,2.9102085428,0.0,2.40158231854,0.0,0.0470493778116,0.0470493778116,0.0470493778116,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/02  07:00:00,0.517273382466,3.22661854851,0.0,2.24276746802,0.0,0.0439380374896,0.0439380374896,0.0439380374896,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/02  08:00:00,0.643610668333,3.77966865928,0.0,2.65662762906,0.0,0.0520459682183,0.0520459682183,0.0520459682183,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/02  09:00:00,0.565235717587,3.34794732336,0.0,2.28356656736,0.0,0.0447373322813,0.0447373322813,0.0447373322813,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/02  10:00:00,0.449729230101,2.9759659907,0.0,2.02339317418,0.0,0.039640277653,0.039640277653,0.039640277653,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
 01/02  11:00:00,0.443833194844,3.04102229694,0.0,2.21385527455,0.0,0.0433716189649,0.0433716189649,0.0433716189649,0.0485037941124,0.00887170408451,0.0577626539713,0.274577423711
 01/02  12:00:00,0.442964250807,2.94440305212,0.0,2.1977861629,0.0,0.0430568091417,0.0430568091417,0.0430568091417,0.0485037941124,0.00887170408451,0.0571243967723,0.274661546696
 01/02  13:00:00,0.436337174134,2.70764729009,0.0,2.02070937854,0.0,0.0395876994364,0.0395876994364,0.0395876994364,0.0485037941124,0.00887170408451,0.0585931939908,0.27003478251
 01/02  14:00:00,0.434638115456,2.17207388663,0.0,1.55153667872,0.0,0.0303961412533,0.0303961412533,0.0303961412533,0.0485037941124,0.00887170408451,0.0567480421383,0.279372433867
 01/02  15:00:00,0.45078515299,2.14014623064,0.0,1.56263156423,0.0,0.0306135010564,0.0306135010564,0.0306135010564,0.0510566070344,0.00933863252262,0.0539269802759,0.295103432101
 01/02  16:00:00,0.490848833968,2.48815452212,0.0,1.87302463737,0.0,0.0366944089876,0.0366944089876,0.0366944089876,0.0638207667156,0.0116732921024,0.0564069519463,0.311507414216
