Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.482193865021,2.58292971387,0.0,2.28613990793,0.0,0.0447877465735,0.0447877465735,0.0447877465735,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.427323366072,2.64732041882,0.0,2.42318413839,0.0,0.0474725788719,0.0474725788719,0.0474725788719,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.411407687737,2.70448664458,0.0,2.50453031109,0.0,0.0490662310167,0.0490662310167,0.0490662310167,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.40689800029,2.75101159082,0.0,2.54484036017,0.0,0.049855944829,0.049855944829,0.049855944829,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.397099891572,2.83237354038,0.0,2.56178606308,0.0,0.0501879279439,0.0501879279439,0.0501879279439,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.429980635305,3.0555436074,0.0,2.51686114228,0.0,0.0493078042206,0.0493078042206,0.0493078042206,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.520939731281,3.45269344985,0.0,2.39926726328,0.0,0.0470040235846,0.0470040235846,0.0470040235846,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.648464217317,4.04982549775,0.0,2.84595829585,0.0,0.0557551436249,0.0557551436249,0.0557551436249,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.570100367762,3.5816956322,0.0,2.43724662093,0.0,0.0477480768421,0.0477480768421,0.0477480768421,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.457931998269,3.3553929569,0.0,2.33257899963,0.0,0.0456975344055,0.0456975344055,0.0456975344055,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.448987891858,3.25970912223,0.0,2.37401031887,0.0,0.0465092150116,0.0465092150116,0.0465092150116,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.448485338988,3.18372514014,0.0,2.38941933187,0.0,0.046811092848,0.046811092848,0.046811092848,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.440242337379,2.86796730807,0.0,2.14008388308,0.0,0.0419263642917,0.0419263642917,0.0419263642917,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.438806839582,2.34309773149,0.0,1.68757688684,0.0,0.0330613037587,0.0330613037587,0.0330613037587,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.455164063578,2.33023188676,0.0,1.72062122049,0.0,0.033708675005,0.033708675005,0.033708675005,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.49475025271,2.65843947232,0.0,2.01075421042,0.0,0.0393926678264,0.0393926678264,0.0393926678264,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.614265133287,2.89076374735,0.0,2.09933458594,0.0,0.0411280451744,0.0411280451744,0.0411280451744,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.838467004929,4.13016267794,0.0,3.07856365953,0.0,0.060312113233,0.060312113233,0.060312113233,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.00320622648,3.19285967989,0.0,2.08799993665,0.0,0.0409059881611,0.0409059881611,0.0409059881611,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,0.998599851249,2.94355467282,0.0,1.93661511635,0.0,0.0379402094949,0.0379402094949,0.0379402094949,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.95467666306,2.82078903603,0.0,1.92973049276,0.0,0.0378053328956,0.0378053328956,0.0378053328956,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.886770207599,2.84808247089,0.0,2.06678776621,0.0,0.0404904207188,0.0404904207188,0.0404904207188,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.746365169908,2.84856689725,0.0,2.21725096651,0.0,0.0434381439357,0.0434381439357,0.0434381439357,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.621615463637,2.85310492703,0.0,2.3821989264,0.0,0.0466696379488,0.0466696379488,0.0466696379488,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.487471722298,2.85787800838,0.0,2.57230695358,0.0,0.050394042616,0.050394042616,0.050394042616,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.432700991872,2.92653504838,0.0,2.70788918938,0.0,0.0530502329898,0.0530502329898,0.0530502329898,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.417495006647,3.01697265254,0.0,2.82134789639,0.0,0.0552730015083,0.0552730015083,0.0552730015083,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.413252038864,3.07569771755,0.0,2.8742760292,0.0,0.0563099160867,0.0563099160867,0.0563099160867,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/02  05:00:00,0.403817196281,3.17363550319,0.0,2.91287500916,0.0,0.0570661083593,0.0570661083593,0.0570661083593,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
