Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.468532123413,1.885581553,0.0,1.58879174706,0.0,0.0311260049652,0.0311260049652,0.0311260049652,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.414045996632,1.96959209589,0.0,1.74545582048,0.0,0.0341952094322,0.0341952094322,0.0341952094322,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.39831854393,2.03636609801,0.0,1.83640975789,0.0,0.0359770872099,0.0359770872099,0.0359770872099,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.394425653589,2.11437474955,0.0,1.90820351815,0.0,0.0373835981276,0.0373835981276,0.0373835981276,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.385562668481,2.24346902628,0.0,1.97288154893,0.0,0.0386507048525,0.0386507048525,0.0386507048525,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.418829206936,2.48633154884,0.0,1.94764908371,0.0,0.0381563758512,0.0381563758512,0.0381563758512,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.518841148443,3.34557366055,0.0,2.29214747398,0.0,0.0449054407466,0.0449054407466,0.0449054407466,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.637945546954,3.51291185651,0.0,2.30904465461,0.0,0.0452364732617,0.0452364732617,0.0452364732617,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.555578217192,2.84042886822,0.0,1.69597985696,0.0,0.0332259262715,0.0332259262715,0.0332259262715,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.436736730116,2.27350444744,0.0,1.25069049018,0.0,0.0245022662531,0.0245022662531,0.0245022662531,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.420939270018,1.82799891169,0.0,0.942300115606,0.0,0.0184605931717,0.0184605931717,0.0184605931717,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.412747484579,1.35952674718,0.0,0.565220941942,0.0,0.0110732384391,0.0110732384391,0.0110732384391,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.406669435925,1.15427648386,0.0,0.42639307002,0.0,0.00835346283687,0.00835346283687,0.00835346283687,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.414872823132,1.12141290838,0.0,0.465892065675,0.0,0.00912728730893,0.00912728730893,0.00912728730893,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.431119753205,1.10291723687,0.0,0.49330657063,0.0,0.00966436463131,0.00966436463131,0.00966436463131,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.470865774682,1.43928328393,0.0,0.791598022035,0.0,0.0155081897989,0.0155081897989,0.0155081897989,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.592971861706,1.80387276633,0.0,1.01244360219,0.0,0.0198347735927,0.0198347735927,0.0198347735927,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.81407908893,2.88530907496,0.0,1.83371004886,0.0,0.0359241972343,0.0359241972343,0.0359241972343,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,0.982291295101,2.12528064715,0.0,1.02042090116,0.0,0.0199910567857,0.0199910567857,0.0199910567857,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,0.980719852301,2.03089033327,0.0,1.02395077675,0.0,0.0200602105469,0.0200602105469,0.0200602105469,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.938657090689,2.00308806852,0.0,1.11202952526,0.0,0.0217857605244,0.0217857605244,0.0217857605244,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.871244680505,2.05559948214,0.0,1.27430478156,0.0,0.0249648936252,0.0249648936252,0.0249648936252,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
 01/01  23:00:00,0.730360709973,2.03163732639,0.0,1.40032139625,0.0,0.0274336840012,0.0274336840012,0.0274336840012,0.171039670009,0.0312844256166,0.0513238084703,0.438533121876
 01/01  24:00:00,0.603491321428,1.92797857052,0.0,1.45707256994,0.0,0.0285454957395,0.0285454957395,0.0285454957395,0.117430218362,0.0214788588595,0.0442136254855,0.381077122981
 01/02  01:00:00,0.468534077413,1.89122732721,0.0,1.60565627241,0.0,0.0314563977312,0.0314563977312,0.0314563977312,0.0612679221032,0.0112063578679,0.0386485741458,0.315208825565
 01/02  02:00:00,0.414341673175,1.98940437387,0.0,1.77075851487,0.0,0.0346909142925,0.0346909142925,0.0346909142925,0.0357396344312,0.00653704450475,0.0364037809873,0.290224298959
 01/02  03:00:00,0.397373442645,1.98989015799,0.0,1.79426540184,0.0,0.0351514375059,0.0351514375059,0.0351514375059,0.0255283066862,0.00466931684095,0.0344190020612,0.286859379551
 01/02  04:00:00,0.394209517178,2.10369371859,0.0,1.90227203024,0.0,0.0372673944009,0.0372673944009,0.0372673944009,0.0255283066862,0.00466931684095,0.0331770229889,0.282821476261
 01/02  05:00:00,0.382884082234,2.10512835373,0.0,1.8443678597,0.0,0.0361329943116,0.0361329943116,0.0361329943116,0.0255283066862,0.00466931684095,0.0336696072551,0.27213785714
 01/02  06:00:00,0.416566591384,2.35610214208,0.0,1.84747591782,0.0,0.0361938842505,0.0361938842505,0.0361938842505,0.0255283066862,0.00466931684095,0.0357451070141,0.303683976592
 01/02  07:00:00,0.506903776833,2.69731374799,0.0,1.71346266749,0.0,0.0335684318569,0.0335684318569,0.0335684318569,0.0587151091812,0.0107394294298,0.0422578350732,0.350876971292
 01/02  08:00:00,0.629052202424,3.03654821988,0.0,1.91350718967,0.0,0.0374875023091,0.0374875023091,0.0374875023091,0.119983031284,0.0219457872976,0.0510568111019,0.372833070431
 01/02  09:00:00,0.553343015458,2.74089778347,0.0,1.67651702747,0.0,0.0328446301524,0.0328446301524,0.0328446301524,0.11487737375,0.021011924625,0.0586542613656,0.315208825565
 01/02  10:00:00,0.43984056143,2.47121005141,0.0,1.51863725737,0.0,0.0297516089826,0.0297516089826,0.0297516089826,0.0587151091812,0.0107394294298,0.0616202140166,0.26826819982
