Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.490796278445,3.02203018525,0.0,2.72524037931,0.0,0.0533901599973,0.0533901599973,0.0533901599973,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.436709338817,3.12641679026,0.0,2.90228050983,0.0,0.0568585516174,0.0568585516174,0.0568585516174,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.423627945653,3.3282558994,0.0,3.12829956592,0.0,0.061286488932,0.061286488932,0.061286488932,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.418451215611,3.34073241025,0.0,3.13456117959,0.0,0.0614091601498,0.0614091601498,0.0614091601498,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.408048180218,3.39121656133,0.0,3.12062908403,0.0,0.0611362165896,0.0611362165896,0.0611362165896,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.441199669099,3.62820650844,0.0,3.08952404332,0.0,0.0605268380141,0.0605268380141,0.0605268380141,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.539277643483,4.38873145403,0.0,3.33530526746,0.0,0.0653419357871,0.0653419357871,0.0653419357871,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.657546548187,4.5134228128,0.0,3.3095556109,0.0,0.0648374744948,0.0648374744948,0.0648374744948,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.577857159362,3.97763229321,0.0,2.83318328195,0.0,0.0555048684415,0.0555048684415,0.0555048684415,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.466584461417,3.7970481599,0.0,2.77423420264,0.0,0.0543499975537,0.0543499975537,0.0543499975537,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.456360279919,3.63602435049,0.0,2.75032553574,0.0,0.0538816030735,0.0538816030735,0.0538816030735,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.455238187472,3.52841666498,0.0,2.73411085115,0.0,0.053563941332,0.053563941332,0.053563941332,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.451670428938,3.45130131649,0.0,2.72341790149,0.0,0.0533544558505,0.0533544558505,0.0533544558505,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.459006151319,3.37414876949,0.0,2.71862792661,0.0,0.0532606154952,0.0532606154952,0.0532606154952,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.474486644406,3.31653118809,0.0,2.70692052184,0.0,0.0530312558328,0.0530312558328,0.0530312558328,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.508356702186,3.3529653088,0.0,2.7052800469,0.0,0.0529991173029,0.0529991173029,0.0529991173029,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.624556728809,3.41608661265,0.0,2.62465744852,0.0,0.051419640696,0.051419640696,0.051419640696,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.849697383746,4.70340468684,0.0,3.65180565447,0.0,0.0715424920499,0.0715424920499,0.0715424920499,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
