Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.496640197151,3.19285536568,0.0,2.89606555975,0.0,0.0592340787027,0.0592340787027,0.0592340787027,0.0612679221032,0.0112063578679,0.0389770129118,0.315208825565
 01/01  02:00:00,0.439889125294,3.16208379817,0.0,2.93794751774,0.0,0.0600383380942,0.0600383380942,0.0600383380942,0.0357396344312,0.00653704450475,0.0366038093052,0.290224298959
 01/01  03:00:00,0.425808797877,3.31816687114,0.0,3.11821053766,0.0,0.0634673411566,0.0634673411566,0.0634673411566,0.0255283066862,0.00466931684095,0.0345384536427,0.286859379551
 01/01  04:00:00,0.422608446218,3.42493255342,0.0,3.21876132276,0.0,0.0655663907563,0.0655663907563,0.0655663907563,0.0255283066862,0.00466931684095,0.0332769556732,0.282821476261
 01/01  05:00:00,0.414483283557,3.58925657641,0.0,3.31866909911,0.0,0.067571319928,0.067571319928,0.067571319928,0.0255283066862,0.00466931684095,0.0338304829616,0.27213785714
 01/01  06:00:00,0.45274721166,4.07323399057,0.0,3.53455152544,0.0,0.0720743805756,0.0720743805756,0.0720743805756,0.0255283066862,0.00466931684095,0.0360452309657,0.303683976592
 01/01  07:00:00,0.557537713654,5.14630508913,0.0,4.09287890256,0.0,0.0836020059573,0.0836020059573,0.0836020059573,0.0587151091812,0.0107394294298,0.0428581977933,0.350876971292
 01/01  08:00:00,0.678062128353,5.37961572461,0.0,4.17574852271,0.0,0.085353054661,0.085353054661,0.085353054661,0.119983031284,0.0219457872976,0.0522011846794,0.372833070431
 01/01  09:00:00,0.578516438819,3.97281382179,0.0,2.82836481053,0.0,0.0561641478982,0.0561641478982,0.0561641478982,0.11487737375,0.021011924625,0.0605081669804,0.315208825565
 01/01  10:00:00,0.453716185641,3.10096290733,0.0,2.07814895987,0.0,0.0414817217781,0.0414817217781,0.0414817217781,0.0587151091812,0.0107394294298,0.0637657254319,0.26826819982
 01/01  11:00:00,0.432746119275,2.38826563186,0.0,1.50256683755,0.0,0.030267442429,0.030267442429,0.030267442429,0.0485037941124,0.00887170408451,0.0597797549385,0.274577423711
 01/01  12:00:00,0.424311465302,1.90785227686,0.0,1.1135464708,0.0,0.0226372191622,0.0226372191622,0.0226372191622,0.0485037941124,0.00887170408451,0.0588912012469,0.274661546696
 01/01  13:00:00,0.417635848488,1.66869579412,0.0,0.94081237967,0.0,0.0193198753998,0.0193198753998,0.0193198753998,0.0485037941124,0.00887170408451,0.0601596923813,0.27003478251
 01/01  14:00:00,0.43157390783,1.89796660867,0.0,1.24244576587,0.0,0.0258283720063,0.0258283720063,0.0258283720063,0.0485037941124,0.00887170408451,0.0582516037592,0.279372433867
 01/01  15:00:00,0.445935974169,1.78095567272,0.0,1.17134500648,0.0,0.0244805855961,0.0244805855961,0.0244805855961,0.0510566070344,0.00933863252262,0.0552107169154,0.295103432101
 01/01  16:00:00,0.482631895547,1.94755004241,0.0,1.29986478051,0.0,0.0272743106642,0.0272743106642,0.0272743106642,0.0638207667156,0.0116732921024,0.0576101118494,0.311507414216
 01/01  17:00:00,0.609147937252,2.50240653795,0.0,1.71097737381,0.0,0.0360108491395,0.0360108491395,0.0360108491395,0.107218871603,0.0196111335143,0.0671024077954,0.3684586752
 01/01  18:00:00,0.836203267127,3.80942283361,0.0,2.75782382055,0.0,0.058048375431,0.058048375431,0.058048375431,0.199120802294,0.0364206732143,0.08424901191,0.447618404278
 01/01  19:00:00,1.00753352499,3.29676052711,0.0,2.19190076241,0.0,0.0452332866772,0.0452332866772,0.0452332866772,0.296128358828,0.0541640755869,0.0852833183682,0.485978485532
 01/01  20:00:00,1.00411771777,3.12546538194,0.0,2.11852584109,0.0,0.0434580760163,0.0434580760163,0.0434580760163,0.313998176044,0.0574325978393,0.076857507091,0.50162536078
 01/01  21:00:00,0.961250786544,3.05819362204,0.0,2.16713508288,0.0,0.044379456379,0.044379456379,0.044379456379,0.270600039466,0.0494947564274,0.0671599615243,0.518870572747
 01/01  22:00:00,0.891888283696,3.00946029707,0.0,2.2281655974,0.0,0.0456084968155,0.0456084968155,0.0456084968155,0.227201934578,0.0415569208119,0.0600180686125,0.506756862878
