Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.989058710409,9.88527701429,0.0,9.43036819705,0.0,0.268265104472,0.268265104472,0.268265104472,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.42639932765
 01/01  02:00:00,0.86369208094,10.0084660643,0.0,9.64704468437,0.0,0.274473903165,0.274473903165,0.274473903165,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.335171649746
 01/01  03:00:00,0.817127478459,10.1468182596,0.0,9.81179085233,0.0,0.278991262188,0.278991262188,0.278991262188,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.309082021716
 01/01  04:00:00,0.807163546506,10.2816607442,0.0,9.94025366844,0.0,0.282679741608,0.282679741608,0.282679741608,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.315826903939
 01/01  05:00:00,0.809897467538,10.526551581,0.0,10.1119925795,0.0,0.287596359091,0.287596359091,0.287596359091,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.389945124031
 01/01  06:00:00,0.865914933993,10.858228087,0.0,10.1229418894,0.0,0.287933912153,0.287933912153,0.287933912153,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.707819088613
 01/01  07:00:00,1.08931596819,11.2683177971,0.0,9.93176743599,0.0,0.282445282242,0.282445282242,0.282445282242,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30481481773
 01/01  08:00:00,1.4299342869,11.8595631041,0.0,10.3483432142,0.0,0.29422422658,0.29422422658,0.29422422658,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47749849738
 01/01  09:00:00,1.37613756928,11.1357797243,0.0,9.6620043469,0.0,0.274937780948,0.274937780948,0.274937780948,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.4452658878
 01/01  10:00:00,1.1846686452,10.1991557662,0.0,8.85716380251,0.0,0.251594159685,0.251594159685,0.251594159685,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31772808262
 01/01  11:00:00,1.19550439871,10.5451752665,0.0,9.358817381,0.0,0.266220801366,0.266220801366,0.266220801366,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16152335817
 01/01  12:00:00,1.1570998975,8.44746410403,0.0,7.40483187231,0.0,0.209890198348,0.209890198348,0.209890198348,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01779009574
 01/01  13:00:00,1.11237805016,7.46217756031,0.0,6.52806256571,0.0,0.185195963993,0.185195963993,0.185195963993,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.90969133258
 01/01  14:00:00,1.07258194774,6.90631216249,0.0,6.03913242696,0.0,0.171358845213,0.171358845213,0.171358845213,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.841911516986
