Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.987824923935,5.06960613198,0.0,5.04163875361,0.0,0.126200237168,0.126200237168,0.126200237168,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465515
 01/01  02:00:00,0.807606627992,5.36157916927,0.0,5.3358285807,0.0,0.133641563296,0.133641563296,0.133641563296,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.745044055649,5.51791730515,0.0,5.49246527412,0.0,0.137115362052,0.137115362052,0.137115362052,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.738264177511,5.60700541031,0.0,5.58191164834,0.0,0.139221445167,0.139221445167,0.139221445167,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.785846658963,5.62183795202,0.0,5.59769211027,0.0,0.139689618562,0.139689618562,0.139689618562,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,1.05364131261,5.68177280032,0.0,5.65482798155,0.0,0.141095048606,0.141095048606,0.141095048606,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.66505627978,5.37067827976,0.0,5.33954619137,0.0,0.133263353805,0.133263353805,0.133263353805,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.1104858383,5.94774430007,0.0,5.91466412368,0.0,0.147150130939,0.147150130939,0.147150130939,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.04445715469,5.4771039234,0.0,5.44913654502,0.0,0.136344922474,0.136344922474,0.136344922474,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.79394345312,5.24444019941,0.0,5.22063769884,0.0,0.129838228328,0.129838228328,0.129838228328,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.71648699866,6.37543275644,0.0,6.35107046046,0.0,0.159196389138,0.159196389138,0.159196389138,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447734
 01/01  12:00:00,1.61090067165,5.24944177441,0.0,5.2250720145,0.0,0.130378352658,0.130378352658,0.130378352658,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266158326
 01/01  13:00:00,1.5107454039,4.93841594917,0.0,4.91445670589,0.0,0.122651030192,0.122651030192,0.122651030192,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750165276
 01/01  14:00:00,1.43723783611,4.8242686548,0.0,4.79948091432,0.0,0.120158039787,0.120158039787,0.120158039787,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927995965
 01/01  15:00:00,1.38596935596,4.52285781741,0.0,4.49667432039,0.0,0.112905454428,0.112905454428,0.112905454428,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433622
 01/01  16:00:00,1.45010450431,4.17081162533,0.0,4.14317266026,0.0,0.103943520176,0.103943520176,0.103943520176,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055991
 01/01  17:00:00,1.76014525823,4.16718547993,0.0,4.13449342835,0.0,0.103720299219,0.103720299219,0.103720299219,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888497
 01/01  18:00:00,2.36973026551,5.21592595486,0.0,5.17621033694,0.0,0.130988235649,0.130988235649,0.130988235649,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680399269
 01/01  19:00:00,2.77499314465,4.07537451908,0.0,4.03225534511,0.0,0.100819137684,0.100819137684,0.100819137684,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.66412780822
 01/01  20:00:00,2.75425925933,3.87525366078,0.0,3.83074619421,0.0,0.095551470746,0.095551470746,0.095551470746,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909670133
 01/01  21:00:00,2.54789779127,3.92246955567,0.0,3.87643198166,0.0,0.0968464711437,0.0968464711437,0.0968464711437,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498747947
 01/01  22:00:00,2.31014583719,4.12833220777,0.0,4.08336944094,0.0,0.102123763795,0.102123763795,0.102123763795,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454407374
 01/01  23:00:00,1.87919674015,4.41570145292,0.0,4.37679194039,0.0,0.109515172736,0.109515172736,0.109515172736,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370613767
 01/01  24:00:00,1.43400344021,4.72300707326,0.0,4.68919543087,0.0,0.117346322723,0.117346322723,0.117346322723,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875805514
 01/02  01:00:00,0.973619586495,5.18675060539,0.0,5.15878322702,0.0,0.129132766726,0.129132766726,0.129132766726,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239281593
 01/02  02:00:00,0.804763694439,5.6315016296,0.0,5.60575104103,0.0,0.140305343504,0.140305343504,0.140305343504,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0925247204605
 01/02  03:00:00,0.746725569234,5.84211146487,0.0,5.81665943384,0.0,0.145487029636,0.145487029636,0.145487029636,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628299546
 01/02  04:00:00,0.746455349114,6.16752736208,0.0,6.14243360011,0.0,0.153156778313,0.153156778313,0.153156778313,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0817284979831
 01/02  05:00:00,0.791311696828,6.320125158,0.0,6.29597931625,0.0,0.156780262983,0.156780262983,0.156780262983,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126182737735
 01/02  06:00:00,1.04325404821,6.48481085482,0.0,6.45786603605,0.0,0.160565049543,0.160565049543,0.160565049543,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.320874522173
 01/02  07:00:00,1.61836103894,6.31824688045,0.0,6.28711479206,0.0,0.156271728211,0.156271728211,0.156271728211,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.684307149513
 01/02  08:00:00,2.04294283794,7.00417993701,0.0,6.97109976061,0.0,0.172693541734,0.172693541734,0.172693541734,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.784337206341
 01/02  09:00:00,1.96105860402,6.48143500236,0.0,6.45346762399,0.0,0.160652446282,0.160652446282,0.160652446282,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.75803771464
 01/02  10:00:00,1.71109704286,6.5470358605,0.0,6.52323335993,0.0,0.161415407003,0.161415407003,0.161415407003,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.678036151206
 01/02  11:00:00,1.61005203936,6.61316986759,0.0,6.58880757161,0.0,0.163290722908,0.163290722908,0.163290722908,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.583345383957
 01/02  12:00:00,1.53402968227,6.29568413057,0.0,6.27131437065,0.0,0.155474421819,0.155474421819,0.155474421819,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.498787859307
 01/02  13:00:00,1.4573524072,6.481385363,0.0,6.45742611972,0.0,0.159981348785,0.159981348785,0.159981348785,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.432837356076
 01/02  14:00:00,1.39671007904,6.46586144275,0.0,6.44107370227,0.0,0.160428583063,0.160428583063,0.160428583063,0.121932141685,0.0262674173776,0.317847783081,0.359872425705,0.393717728127
