Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.03968221582,12.0351828892,0.0,11.5819311948,0.0,0.318888609881,0.318888609881,0.318888609881,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.424742204772
 01/01  02:00:00,0.912717205029,12.1087296058,0.0,11.749380063,0.0,0.323499027254,0.323499027254,0.323499027254,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.3330998126
 01/01  03:00:00,0.868784853495,12.3425155283,0.0,12.0090515852,0.0,0.330648637224,0.330648637224,0.330648637224,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.30751855759
 01/01  04:00:00,0.866574590239,12.7648007512,0.0,12.4246267048,0.0,0.34209078534,0.34209078534,0.34209078534,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.314593874557
 01/01  05:00:00,0.870360997966,13.05464541,0.0,12.6414226384,0.0,0.348059889519,0.348059889519,0.348059889519,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.388608894169
 01/01  06:00:00,0.930667875875,13.5432375232,0.0,12.8094724934,0.0,0.352686854034,0.352686854034,0.352686854034,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.70629792075
 01/01  07:00:00,1.17496950963,14.7043102498,0.0,13.3692302474,0.0,0.368098823681,0.368098823681,0.368098823681,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30334445908
 01/01  08:00:00,1.49991208728,14.7374556256,0.0,13.2276998505,0.0,0.364202026959,0.364202026959,0.364202026959,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.4760343826
 01/01  09:00:00,1.42513828597,13.2370222052,0.0,11.7653414851,0.0,0.323938497634,0.323938497634,0.323938497634,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44317123049
 01/01  10:00:00,1.2250583522,11.9452969751,0.0,10.6047596221,0.0,0.29198386669,0.29198386669,0.29198386669,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.316273472
 01/01  11:00:00,1.24232596267,12.5548070427,0.0,11.369597483,0.0,0.313042365324,0.313042365324,0.313042365324,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16037503242
 01/01  12:00:00,1.19002952723,9.86022410604,0.0,8.81913763764,0.0,0.242819828085,0.242819828085,0.242819828085,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01624433243
 01/01  13:00:00,1.14310057511,8.77480754585,0.0,7.84208969889,0.0,0.215918488944,0.215918488944,0.215918488944,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.908294184948
 01/01  14:00:00,1.10465363672,8.25423204157,0.0,7.3885312207,0.0,0.2034305342,0.2034305342,0.2034305342,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.840432602321
 01/01  15:00:00,1.10071696699,8.07809453974,0.0,7.27496997179,0.0,0.200303819994,0.200303819994,0.200303819994,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.776433537928
 01/01  16:00:00,1.18035479892,8.4115852126,0.0,7.59956415168,0.0,0.209240963987,0.209240963987,0.209240963987,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.783846350499
 01/01  17:00:00,1.46333943498,9.19161459162,0.0,8.29204606415,0.0,0.228307265687,0.228307265687,0.228307265687,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.866242783031
 01/01  18:00:00,2.01127369285,11.4662979434,0.0,10.397378572,0.0,0.286273985182,0.286273985182,0.286273985182,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02843391791
 01/01  19:00:00,2.31967712311,10.3280338246,0.0,9.09788801359,0.0,0.250494741568,0.250494741568,0.250494741568,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18619082798
 01/01  20:00:00,2.28402469033,10.3416753971,0.0,9.07599756326,0.0,0.249892025566,0.249892025566,0.249892025566,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22030764802
 01/01  21:00:00,2.14018043816,10.6847348155,0.0,9.50412397602,0.0,0.261679752009,0.261679752009,0.261679752009,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13368088705
 01/01  22:00:00,1.97797775694,10.9267571844,0.0,9.86378537978,0.0,0.271582411864,0.271582411864,0.271582411864,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01713749311
 01/01  23:00:00,1.66292908992,11.2756312131,0.0,10.3989960248,0.0,0.286318518968,0.286318518968,0.286318518968,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.836971465576
 01/01  24:00:00,1.34738455575,11.6088758039,0.0,10.9380912873,0.0,0.301161582354,0.301161582354,0.301161582354,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.636317479559
 01/02  01:00:00,1.02867526613,11.8584916409,0.0,11.420916385,0.0,0.314455343267,0.314455343267,0.314455343267,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.409065766405
 01/02  02:00:00,0.906605021956,12.0221614427,0.0,11.6707421883,0.0,0.321333868256,0.321333868256,0.321333868256,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.325169524172
 01/02  03:00:00,0.862888652419,12.2172318183,0.0,11.889742804,0.0,0.327363674575,0.327363674575,0.327363674575,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.301543628789
 01/02  04:00:00,0.853813573855,12.3443253282,0.0,12.0107417542,0.0,0.330695173128,0.330695173128,0.330695173128,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.308003402156
 01/02  05:00:00,0.849971830389,12.3976071344,0.0,11.9979101733,0.0,0.330341877558,0.330341877558,0.330341877558,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.375083083687
 01/02  06:00:00,0.902848030892,12.6428446972,0.0,11.94785527,0.0,0.328963701652,0.328963701652,0.328963701652,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.667522318157
 01/02  07:00:00,1.13751318274,13.6407991199,0.0,12.3947437343,0.0,0.341268009003,0.341268009003,0.341268009003,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21431984224
 01/02  08:00:00,1.42721347487,12.7564369783,0.0,11.3558835778,0.0,0.31266477647,0.31266477647,0.31266477647,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.3668320079
 01/02  09:00:00,1.34814027243,11.5045226829,0.0,10.146910811,0.0,0.279377784989,0.279377784989,0.279377784989,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.32910238228
 01/02  10:00:00,1.13429883909,10.1789445096,0.0,8.94391693634,0.0,0.246255412051,0.246255412051,0.246255412051,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21076369222
 01/02  11:00:00,1.1296959872,10.2223019554,0.0,9.12817417736,0.0,0.25132861914,0.25132861914,0.25132861914,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.0692932507
 01/02  12:00:00,1.08434996204,7.85316159362,0.0,6.88726477554,0.0,0.189629022415,0.189629022415,0.189629022415,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.941054682105
 01/02  13:00:00,1.03860771425,6.65083016988,0.0,5.7834049023,0.0,0.159236134169,0.159236134169,0.159236134169,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.843001605571
 01/02  14:00:00,0.999642322038,5.96758323208,0.0,5.15765747416,0.0,0.14200725203,0.14200725203,0.14200725203,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.784657539365
 01/02  15:00:00,0.999152550773,5.75995508165,0.0,5.00721134645,0.0,0.137864975952,0.137864975952,0.137864975952,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.726052705188
 01/02  16:00:00,1.0839811644,6.20704395319,0.0,5.44527482014,0.0,0.149926302325,0.149926302325,0.149926302325,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.733594422629
 01/02  17:00:00,1.36026903432,6.69090035245,0.0,5.85308965393,0.0,0.16115478428,0.16115478428,0.16115478428,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.804484954087
 01/02  18:00:00,1.8918416965,8.33864660286,0.0,7.34361775825,0.0,0.202193919048,0.202193919048,0.202193919048,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.95454339116
 01/02  19:00:00,2.21360679822,7.62636483046,0.0,6.49158767829,0.0,0.178734732216,0.178734732216,0.178734732216,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09082216916
 01/02  20:00:00,2.184097957,7.84885042996,0.0,6.69044932004,0.0,0.18421004643,0.18421004643,0.18421004643,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11303092407
 01/02  21:00:00,2.03789054519,8.13353004263,0.0,7.05492391918,0.0,0.194245229363,0.194245229363,0.194245229363,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03167617102
 01/02  22:00:00,1.87554783297,8.41423279624,0.0,7.43679321241,0.0,0.204759345362,0.204759345362,0.204759345362,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.931605272307
 01/02  23:00:00,1.56899690819,8.82462858383,0.0,8.01500986654,0.0,0.220679549164,0.220679549164,0.220679549164,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.769954994522
 01/02  24:00:00,1.26332367236,9.07866780496,0.0,8.4492477438,0.0,0.232635544301,0.232635544301,0.232635544301,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.594953024118
 01/03  01:00:00,0.96148267319,9.41965849063,0.0,8.98050313694,0.0,0.247262750331,0.247262750331,0.247262750331,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.410645864104
