Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.958737060092,3.69478609223,0.0,3.66681871385,0.0,0.0971123733236,0.0971123733236,0.0971123733236,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.787720961987,4.34922001597,0.0,4.3234694274,0.0,0.113755884747,0.113755884747,0.113755884747,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844226907
 01/01  03:00:00,0.726655361486,4.56718430779,0.0,4.54173227676,0.0,0.118726663482,0.118726663482,0.118726663482,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417499342
 01/01  04:00:00,0.729286699844,5.02181479461,0.0,4.99672103265,0.0,0.13024396744,0.13024396744,0.13024396744,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072554142
 01/01  05:00:00,0.787664773146,5.45971458971,0.0,5.43556874796,0.0,0.141507732744,0.141507732744,0.141507732744,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188676
 01/01  06:00:00,1.05713484422,5.58734470925,0.0,5.56039989048,0.0,0.144588580217,0.144588580217,0.144588580217,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.6649367284,5.16795147978,0.0,5.13681939139,0.0,0.133143802427,0.133143802427,0.133143802427,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.10649725455,5.5815327038,0.0,5.54845252741,0.0,0.143161547189,0.143161547189,0.143161547189,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.03401226863,4.91027100176,0.0,4.88230362338,0.0,0.125900036421,0.125900036421,0.125900036421,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.76396833216,3.91233404722,0.0,3.88853154665,0.0,0.0998631073624,0.0998631073624,0.0998631073624,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.6460135711,3.4524266845,0.0,3.42806438852,0.0,0.088722957887,0.088722957887,0.088722957887,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958451431
 01/01  12:00:00,1.53884986884,2.27685781681,0.0,2.2524880569,0.0,0.0583275453039,0.0583275453039,0.0583275453039,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266162876
