Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.880677725389,0.764804371816,0.0,0.736836993442,0.0,0.019053038641,0.019053038641,0.019053038641,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465495
 01/01  02:00:00,0.699730098559,1.02067356955,0.0,0.99492298097,0.0,0.025765033863,0.025765033863,0.025765033863,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.098084410146
 01/01  03:00:00,0.638002508659,1.18621478775,0.0,1.16076275672,0.0,0.0300738150621,0.0300738150621,0.0300738150621,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.629415811219,1.19863234418,0.0,1.17353858221,0.0,0.0303730788748,0.0303730788748,0.0303730788748,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.677687382696,1.24492442263,0.0,1.22077858088,0.0,0.0315303422956,0.0315303422956,0.0315303422956,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,0.942778980717,1.19782366638,0.0,1.17087884761,0.0,0.0302327167177,0.0302327167177,0.0302327167177,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.55839410454,1.06195711576,0.0,1.03082502737,0.0,0.0266011785647,0.0266011785647,0.0266011785647,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,1.99250592256,1.16447546078,0.0,1.13139528439,0.0,0.0291702152038,0.0291702152038,0.0291702152038,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,1.9340225443,1.03165774386,0.0,1.00369036549,0.0,0.0259103120874,0.0259103120874,0.0259103120874,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.69284313867,1.13881698097,0.0,1.1150144804,0.0,0.0287379138727,0.0287379138727,0.0287379138727,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.59736859812,1.5741196113,0.0,1.54975731533,0.0,0.0400779886058,0.0400779886058,0.0400779886058,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447734
 01/01  12:00:00,1.50760660407,1.07414476902,0.0,1.04977500911,0.0,0.027084285084,0.027084285084,0.027084285084,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266158326
 01/01  13:00:00,1.39384452401,0.248392640208,0.0,0.224433396925,0.0,0.00575015029727,0.00575015029727,0.00575015029727,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750165276
 01/01  14:00:00,1.31685163155,0.0247877404808,0.0,0.0,0.0,0.0,0.0,0.0,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430699831185
 01/01  15:00:00,1.27266494442,0.026183497021,0.0,0.0,0.0,0.0,0.0,0.0,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388117476504
 01/01  16:00:00,1.3457001476,0.0276389650709,0.0,0.0,0.0,0.0,0.0,0.0,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.392867219459
 01/01  17:00:00,1.65605978419,0.0326920515826,0.0,0.0,0.0,0.0,0.0,0.0,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447549713679
 01/01  18:00:00,2.24334103324,0.222131580579,0.0,0.182415962663,0.0,0.00467965190716,0.00467965190716,0.00467965190716,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556599750746
 01/01  19:00:00,2.67390945673,0.043119173971,0.0,0.0,0.0,0.0,0.0,0.0,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.663863257987
 01/01  20:00:00,2.65827418267,0.0445074665725,0.0,0.0,0.0,0.0,0.0,0.0,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686476064214
 01/01  21:00:00,2.45074831008,0.0460375740095,0.0,0.0,0.0,0.0,0.0,0.0,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628195737903
 01/01  22:00:00,2.20785489147,0.0449627668342,0.0,0.0,0.0,0.0,0.0,0.0,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550287225444
 01/01  23:00:00,1.77290124753,0.168945543041,0.0,0.130036030506,0.0,0.0033264649781,0.0033264649781,0.0033264649781,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431263828902
 01/01  24:00:00,1.32892367853,0.510114728483,0.0,0.476303086093,0.0,0.0122667161796,0.0122667161796,0.0122667161796,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.29887565037
 01/02  01:00:00,0.865809011394,0.852514138085,0.0,0.824546759711,0.0,0.0213221916452,0.0213221916452,0.0213221916452,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239281574
 01/02  02:00:00,0.691288082179,1.06108268614,0.0,1.03533209757,0.0,0.0268297360726,0.0268297360726,0.0268297360726,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0925247156316
 01/02  03:00:00,0.633892415506,1.2869064092,0.0,1.26145437817,0.0,0.0326538765704,0.0326538765704,0.0326538765704,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628292928
