Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.982600681173,4.86893305094,0.0,4.84096567257,0.0,0.120975994405,0.120975994405,0.120975994405,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.805412054132,5.30071547544,0.0,5.27496488686,0.0,0.131446989436,0.131446989436,0.131446989436,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.740449467691,5.36526709944,0.0,5.33981506841,0.0,0.132520774094,0.132520774094,0.132520774094,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.735934514768,5.55500033742,0.0,5.52990657545,0.0,0.136891739863,0.136891739863,0.136891739863,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072979151
 01/01  05:00:00,0.791030566974,5.87731682915,0.0,5.8531709874,0.0,0.144873475785,0.144873475785,0.144873475785,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137239463
 01/01  06:00:00,1.05669242699,5.85040448463,0.0,5.82345966586,0.0,0.144146155878,0.144146155878,0.144146155878,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635102023
 01/01  07:00:00,1.68553178958,6.25344870724,0.0,6.22231661885,0.0,0.153738863289,0.153738863289,0.153738863289,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252855
 01/01  08:00:00,2.10305437773,5.69589293321,0.0,5.66281275682,0.0,0.139718658352,0.139718658352,0.139718658352,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262267594
 01/01  09:00:00,2.04585813336,5.61604918883,0.0,5.58808181046,0.0,0.137745886603,0.137745886603,0.137745886603,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306502765
 01/01  10:00:00,1.79894996061,5.47787882598,0.0,5.45407632541,0.0,0.134844732579,0.134844732579,0.134844732579,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428684914
 01/01  11:00:00,1.71779780994,6.46676441799,0.0,6.44240212202,0.0,0.160507200387,0.160507200387,0.160507200387,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447773
 01/01  12:00:00,1.61511390909,5.44697551688,0.0,5.42260575697,0.0,0.134591590097,0.134591590097,0.134591590097,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266158327
 01/01  13:00:00,1.51416430357,5.10709000233,0.0,5.08313075904,0.0,0.126069929862,0.126069929862,0.126069929862,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750165276
 01/01  14:00:00,1.43610628893,4.80659709458,0.0,4.7818093541,0.0,0.1190264926,0.1190264926,0.1190264926,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927995965
 01/01  15:00:00,1.38975696756,4.71144971271,0.0,4.68526621569,0.0,0.116693066026,0.116693066026,0.116693066026,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433622
 01/01  16:00:00,1.46208530124,4.66497796586,0.0,4.63733900078,0.0,0.115924317109,0.115924317109,0.115924317109,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055991
 01/01  17:00:00,1.7686544958,4.52362348994,0.0,4.49093143836,0.0,0.11222954914,0.11222954914,0.11222954914,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914876148
 01/01  18:00:00,2.36974667653,5.27535464194,0.0,5.23563902402,0.0,0.13100467606,0.13100467606,0.13100467606,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680369879
 01/01  19:00:00,2.8016601968,5.12659757502,0.0,5.08347840104,0.0,0.127486193635,0.127486193635,0.127486193635,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.664127804416
 01/01  20:00:00,2.75584718246,3.93957099945,0.0,3.89506353288,0.0,0.0971393941587,0.0971393941587,0.0971393941587,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909669848
 01/01  21:00:00,2.54327323142,3.77147610458,0.0,3.72543853057,0.0,0.0922219113015,0.0922219113015,0.0922219113015,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498747938
 01/01  22:00:00,2.30220737929,3.83477575261,0.0,3.78981298577,0.0,0.0941853176976,0.0941853176976,0.0941853176976,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454395567
 01/01  23:00:00,1.8673849817,3.96555299188,0.0,3.92664347935,0.0,0.0977034154269,0.0977034154269,0.0977034154269,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370612631
 01/01  24:00:00,1.42034067332,4.19872566729,0.0,4.1649140249,0.0,0.103683555896,0.103683555896,0.103683555896,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875805447
 01/02  01:00:00,0.955395349963,4.47957990045,0.0,4.45161252208,0.0,0.1109085302,0.1109085302,0.1109085302,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.148239281588
 01/02  02:00:00,0.780156647464,4.66792364036,0.0,4.64217305178,0.0,0.115698301358,0.115698301358,0.115698301358,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0925247156315
 01/02  03:00:00,0.720318032068,4.80710225524,0.0,4.78165022421,0.0,0.119079493132,0.119079493132,0.119079493132,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628292928
 01/02  04:00:00,0.714227378712,4.88357871707,0.0,4.8584849551,0.0,0.12092880794,0.12092880794,0.12092880794,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0817284979536
 01/02  05:00:00,0.7564877685,4.92548029382,0.0,4.90133445207,0.0,0.12195635443,0.12195635443,0.12195635443,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126182717959
 01/02  06:00:00,1.00406804057,4.90488719033,0.0,4.87794237156,0.0,0.121379063948,0.121379063948,0.121379063948,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.320874500133
 01/02  07:00:00,1.57665957,4.63651792624,0.0,4.60538583785,0.0,0.114570262613,0.114570262613,0.114570262613,0.147602041092,0.0317973945638,0.129758030703,0.451980694856,0.684307146168
 01/02  08:00:00,1.992808515,4.96732592943,0.0,4.93424575304,0.0,0.122559219082,0.122559219082,0.122559219082,0.301621517204,0.0649772920051,0.207405929039,0.480263351619,0.78433720605
 01/02  09:00:00,1.91247325925,4.53178438996,0.0,4.50381701158,0.0,0.112067101542,0.112067101542,0.112067101542,0.2887865675,0.062212303412,0.268690649238,0.40603492295,0.758037714612
 01/02  10:00:00,1.66213202455,4.54599482847,0.0,4.5221923279,0.0,0.112450389985,0.112450389985,0.112450389985,0.147602041092,0.0317973945638,0.330033495679,0.345568553319,0.678036149907
 01/02  11:00:00,1.58672643887,5.62156648085,0.0,5.59720418488,0.0,0.139965138471,0.139965138471,0.139965138471,0.121932141685,0.0262674173776,0.344876619894,0.353695753539,0.583345367904
 01/02  12:00:00,1.49538048743,4.70981222041,0.0,4.68544246049,0.0,0.116825233006,0.116825233006,0.116825233006,0.121932141685,0.0262674173776,0.361119725873,0.353804116208,0.498787853283
 01/02  13:00:00,1.40546656098,4.36383632245,0.0,4.33987707917,0.0,0.108095506124,0.108095506124,0.108095506124,0.121932141685,0.0262674173776,0.3518459739,0.347844169381,0.432837352513
 01/02  14:00:00,1.3410413929,4.21808169778,0.0,4.19329395729,0.0,0.104759898805,0.104759898805,0.104759898805,0.121932141685,0.0262674173776,0.317847783081,0.359872425705,0.393717726246
 01/02  15:00:00,1.30328867464,4.14255933414,0.0,4.11637583712,0.0,0.103039478893,0.103039478893,0.103039478893,0.128349576704,0.0276499030931,0.292642171022,0.380136244918,0.35482730001
