Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.12536801411,13.2983246555,0.0,12.8494788325,0.0,0.404574408176,0.404574408176,0.404574408176,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.420336333489
 01/01  02:00:00,1.00322795499,13.5061214563,0.0,13.1512713378,0.0,0.414009777217,0.414009777217,0.414009777217,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.328600388303
 01/01  03:00:00,0.961967346896,13.7809028681,0.0,13.4513358027,0.0,0.423831130625,0.423831130625,0.423831130625,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.303621679863
 01/01  04:00:00,0.958315807807,14.106623413,0.0,13.7704895877,0.0,0.433832002909,0.433832002909,0.433832002909,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.310553653472
 01/01  05:00:00,0.962873259358,14.393023911,0.0,13.9840028254,0.0,0.440572150911,0.440572150911,0.440572150911,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.384407208144
 01/01  06:00:00,1.01573856492,14.6241069867,0.0,13.8943006035,0.0,0.437757543083,0.437757543083,0.437757543083,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.702339274196
 01/01  07:00:00,1.23639910095,14.9666571385,0.0,13.6356294076,0.0,0.429528415001,0.429528415001,0.429528415001,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.29929218747
 01/01  08:00:00,1.58642192365,15.8147350275,0.0,14.3089514072,0.0,0.450711863331,0.450711863331,0.450711863331,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47206222786
 01/01  09:00:00,1.54259579889,15.4766837114,0.0,14.0084094566,0.0,0.441396010551,0.441396010551,0.441396010551,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.43976476524
 01/01  10:00:00,1.35422393181,14.7092919013,0.0,13.3731819317,0.0,0.421149446296,0.421149446296,0.421149446296,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31184608858
 01/01  11:00:00,1.38133886177,15.5173979127,0.0,14.337434285,0.0,0.452055264421,0.452055264421,0.452055264421,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.15512910032
 01/01  12:00:00,1.33795240908,13.4544281138,0.0,12.4186960529,0.0,0.390742709928,0.390742709928,0.390742709928,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01088992493
 01/01  13:00:00,1.2877389807,12.378356343,0.0,11.4514062714,0.0,0.360556894528,0.360556894528,0.360556894528,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.902526409569
 01/01  14:00:00,1.22632741968,11.1929521991,0.0,10.3332003043,0.0,0.325104317163,0.325104317163,0.325104317163,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.834483676277
 01/01  15:00:00,1.20869581435,10.594352019,0.0,9.79655649196,0.0,0.308282667349,0.308282667349,0.308282667349,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.771104496983
 01/01  16:00:00,1.25692643414,9.89492131306,0.0,9.08823952458,0.0,0.285812599208,0.285812599208,0.285812599208,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.778507078062
 01/01  17:00:00,1.5388959953,10.5466116179,0.0,9.65179665874,0.0,0.303863826012,0.303863826012,0.303863826012,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.861489214698
 01/01  18:00:00,2.09950174044,12.9426826443,0.0,11.877885417,0.0,0.374502032772,0.374502032772,0.374502032772,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.0243117738
 01/01  19:00:00,2.4102148635,12.0735933701,0.0,10.8474162635,0.0,0.341032481961,0.341032481961,0.341032481961,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18222212365
 01/01  20:00:00,2.37058761582,11.9529874232,0.0,10.6913611375,0.0,0.336454951053,0.336454951053,0.336454951053,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.21625609994
 01/01  21:00:00,2.24077173408,12.6803318636,0.0,11.5034718135,0.0,0.362271047931,0.362271047931,0.362271047931,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.1299300977
 01/01  22:00:00,2.07524321449,12.7765184457,0.0,11.7178118897,0.0,0.368847869419,0.368847869419,0.368847869419,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01287224444
 01/01  23:00:00,1.766842399,13.2626076163,0.0,12.3902097923,0.0,0.390231828049,0.390231828049,0.390231828049,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.832734101265
 01/01  24:00:00,1.45641463155,13.6894482229,0.0,13.0231601436,0.0,0.410191658154,0.410191658154,0.410191658154,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.631821042177
 01/02  01:00:00,1.14465711917,14.0961407971,0.0,13.663262287,0.0,0.430437196313,0.430437196313,0.430437196313,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.404369020476
