Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.958417073977,8.31765979619,0.0,7.86349634984,0.0,0.237623468041,0.237623468041,0.237623468041,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.425653956766
 01/01  02:00:00,0.834277055118,8.47204786969,0.0,8.11163459659,0.0,0.245058877343,0.245058877343,0.245058877343,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.334163542897
 01/01  03:00:00,0.796135742333,8.86021110069,0.0,8.52473976784,0.0,0.257999526062,0.257999526062,0.257999526062,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.309525947348
 01/01  04:00:00,0.79085678671,9.14479648311,0.0,8.80279414766,0.0,0.266372981811,0.266372981811,0.266372981811,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.316422163586
 01/01  05:00:00,0.781676010752,8.9919106358,0.0,8.5772270107,0.0,0.259374902305,0.259374902305,0.259374902305,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.390069747648
 01/01  06:00:00,0.828403238882,9.01720863329,0.0,8.28175308795,0.0,0.250422217042,0.250422217042,0.250422217042,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.707988436344
 01/01  07:00:00,1.05002647006,9.37795595017,0.0,8.0409042144,0.0,0.243155784103,0.243155784103,0.243155784103,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30531619238
 01/01  08:00:00,1.3732704377,9.3691811013,0.0,7.85695787846,0.0,0.237560377376,0.237560377376,0.237560377376,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47850183031
 01/01  09:00:00,1.34978069516,9.6918333294,0.0,8.21676034433,0.0,0.248580906819,0.248580906819,0.248580906819,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44656349549
 01/01  10:00:00,1.18922609529,9.80980453172,0.0,8.46653564561,0.0,0.256151609776,0.256151609776,0.256151609776,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31900500506
 01/01  11:00:00,1.17839102974,9.42568940849,0.0,8.23928266492,0.0,0.249107432394,0.249107432394,0.249107432394,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16157221622
 01/01  12:00:00,1.13338147463,7.22248446127,0.0,6.17937061139,0.0,0.186171775477,0.186171775477,0.186171775477,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01827171391
 01/01  13:00:00,1.09105161775,6.36744878762,0.0,5.43265837113,0.0,0.163869531579,0.163869531579,0.163869531579,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.910366754472
 01/01  14:00:00,1.0952363975,7.28183661407,0.0,6.41419269181,0.0,0.194013294975,0.194013294975,0.194013294975,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.842375703708
 01/01  15:00:00,1.07763647434,6.66782311696,0.0,5.86306971477,0.0,0.17722332734,0.17722332734,0.17722332734,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.778062372175
 01/01  16:00:00,1.14614237104,6.61386814078,0.0,5.80170763624,0.0,0.17502853611,0.17502853611,0.17502853611,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.783985794124
 01/01  17:00:00,1.42896891982,7.31235444062,0.0,6.41193422847,0.0,0.193936750534,0.193936750534,0.193936750534,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.867094467714
 01/01  18:00:00,1.9578718239,8.75871033381,0.0,7.68885162792,0.0,0.232872116237,0.232872116237,0.232872116237,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02937325244
 01/01  19:00:00,2.27650897132,8.09357957267,0.0,6.86146794809,0.0,0.207326589781,0.207326589781,0.207326589781,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18815664157
 01/01  20:00:00,2.24746638552,8.3243926655,0.0,7.05761344652,0.0,0.213333720753,0.213333720753,0.213333720753,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22140903312
 01/01  21:00:00,2.09407247714,8.31008195904,0.0,7.12844257318,0.0,0.215571790993,0.215571790993,0.215571790993,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13470943343
 01/01  22:00:00,1.93401694142,8.58988898269,0.0,7.52576839988,0.0,0.22762159635,0.22762159635,0.22762159635,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01828627129
 01/01  23:00:00,1.61919788478,8.89548163398,0.0,8.01770909233,0.0,0.242587313824,0.242587313824,0.242587313824,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.838108818884
 01/01  24:00:00,1.29978510804,9.05212839263,0.0,8.38049798725,0.0,0.253562134644,0.253562134644,0.253562134644,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.637163368332
 01/02  01:00:00,0.980461126111,9.2371217236,0.0,8.79852600621,0.0,0.266241203251,0.266241203251,0.266241203251,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.410086227808
 01/02  02:00:00,0.867842268124,9.68845257244,0.0,9.33584127922,0.0,0.282571114424,0.282571114424,0.282571114424,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.326361563013
 01/02  03:00:00,0.838431541146,10.3335634032,0.0,10.0046451499,0.0,0.302906563302,0.302906563302,0.302906563302,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.302972867815
