Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.990103112054,5.11816474712,0.0,5.09019736874,0.0,0.12847842531,0.12847842531,0.12847842531,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465492
 01/01  02:00:00,0.825392591574,6.08272392663,0.0,6.05697333805,0.0,0.151427511019,0.151427511019,0.151427511019,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844260047
 01/01  03:00:00,0.77304054274,6.69228802298,0.0,6.66683599195,0.0,0.165111831446,0.165111831446,0.165111831446,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417632233
 01/01  04:00:00,0.776499649478,7.22616157619,0.0,7.20106781422,0.0,0.177456913376,0.177456913376,0.177456913376,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072591127
 01/01  05:00:00,0.832099724184,7.59632311668,0.0,7.57217727493,0.0,0.185942683704,0.185942683704,0.185942683704,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188753
 01/01  06:00:00,1.10580117795,7.9168449858,0.0,7.88990016702,0.0,0.193254879272,0.193254879272,0.193254879272,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635129584
 01/01  07:00:00,1.72231333298,7.8138087015,0.0,7.78267661311,0.0,0.190520406422,0.190520406422,0.190520406422,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385253126
 01/01  08:00:00,2.16932243714,8.47958236275,0.0,8.44650218636,0.0,0.205986729722,0.205986729722,0.205986729722,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255632
 01/01  09:00:00,2.08199105915,7.15310960859,0.0,7.12514223021,0.0,0.173878826942,0.173878826942,0.173878826942,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.83330648822
 01/01  10:00:00,1.81288948962,6.12471307338,0.0,6.10091057281,0.0,0.148784264716,0.148784264716,0.148784264716,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681783
 01/01  11:00:00,1.69816100926,5.75789180125,0.0,5.73352950527,0.0,0.140870395096,0.140870395096,0.140870395096,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958452382
 01/01  12:00:00,1.56682810584,3.55500586021,0.0,3.53063610029,0.0,0.0863057845339,0.0863057845339,0.0863057845339,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266160642
 01/01  13:00:00,1.45655087336,2.78248124515,0.0,2.75852200187,0.0,0.0684564996721,0.0684564996721,0.0684564996721,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750165252
 01/01  14:00:00,1.36525436785,1.94864048253,0.0,1.92385274205,0.0,0.0481745729121,0.0481745729121,0.0481745729121,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927994574
 01/01  15:00:00,1.30942517984,1.4679419513,0.0,1.44175845428,0.0,0.0363612785906,0.0363612785906,0.0363612785906,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.38851643334
 01/01  16:00:00,1.3806269992,1.39199710883,0.0,1.36435814376,0.0,0.034466015065,0.034466015065,0.034466015065,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055991
 01/01  17:00:00,1.69757957949,1.6432528,0.0,1.61056074842,0.0,0.0411546204835,0.0411546204835,0.0411546204835,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888497
 01/01  18:00:00,2.31514301289,3.0172045714,0.0,2.97748895348,0.0,0.0764009883642,0.0764009883642,0.0764009883642,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.55668039394
 01/01  19:00:00,2.724920976,2.05703403799,0.0,2.01391486402,0.0,0.0507469701213,0.0507469701213,0.0507469701213,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.664127807133
 01/01  20:00:00,2.70967568226,2.07235524829,0.0,2.02784778172,0.0,0.0509679007372,0.0509679007372,0.0509679007372,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686909663066
 01/01  21:00:00,2.51158000451,2.44838320068,0.0,2.40234562667,0.0,0.0605286861989,0.0605286861989,0.0605286861989,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628498746134
 01/01  22:00:00,2.27529581671,2.71692514335,0.0,2.67196237652,0.0,0.0672737388251,0.0672737388251,0.0672737388251,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.550454411857
 01/01  23:00:00,1.84850691904,3.17363538539,0.0,3.13472587285,0.0,0.0788253840075,0.0788253840075,0.0788253840075,0.429971093908,0.0926271950982,0.234174068073,0.564894596568,0.431370581389
 01/01  24:00:00,1.40400671405,3.50711636776,0.0,3.47330472537,0.0,0.087349599317,0.087349599317,0.087349599317,0.295204002519,0.0635947891276,0.151455627092,0.490882893238,0.298875802752
 01/02  01:00:00,0.942116144671,3.91926738144,0.0,3.89130000307,0.0,0.0976293250564,0.0976293250564,0.0976293250564,0.154019476112,0.0331798974413,0.0863692416722,0.40603492295,0.14823928144
 01/02  02:00:00,0.769719062452,4.22372700946,0.0,4.19797642089,0.0,0.105260716355,0.105260716355,0.105260716355,0.0898447275923,0.0193549373138,0.0722387554862,0.373851210082,0.0925247156226
 01/02  03:00:00,0.71039245813,4.38425487274,0.0,4.35880284172,0.0,0.109153919194,0.109153919194,0.109153919194,0.0641747963185,0.013824954979,0.0597152550472,0.369516703299,0.0773628292922
 01/02  04:00:00,0.706523343367,4.55229568749,0.0,4.52720192552,0.0,0.113224772595,0.113224772595,0.113224772595,0.0641747963185,0.013824954979,0.0526110263622,0.364315295158,0.0817284979536
 01/02  05:00:00,0.751708825517,4.70936613765,0.0,4.6852202959,0.0,0.117177411447,0.117177411447,0.117177411447,0.0641747963185,0.013824954979,0.0631517086927,0.350553236121,0.126182717959
 01/02  06:00:00,1.00028595104,4.73058825668,0.0,4.70364343791,0.0,0.117596974415,0.117596974415,0.117596974415,0.0641747963185,0.013824954979,0.0759814879778,0.391189237216,0.320874500133
