Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.0296768538,11.4620801416,0.0,11.0071456539,0.0,0.308883247864,0.308883247864,0.308883247864,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.426424998142
 01/01  02:00:00,0.907501607174,11.7189392509,0.0,11.358894495,0.0,0.3182834294,0.3182834294,0.3182834294,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.333795025709
 01/01  03:00:00,0.852043819275,11.5389015115,0.0,11.2048260591,0.0,0.313907603005,0.313907603005,0.313907603005,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.308130066884
 01/01  04:00:00,0.847835587089,11.8770640126,0.0,11.5364780535,0.0,0.32335178219,0.32335178219,0.32335178219,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.315005787302
 01/01  05:00:00,0.834648217991,11.5590590176,0.0,11.1457404656,0.0,0.312347109544,0.312347109544,0.312347109544,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.388704674528
 01/01  06:00:00,0.896163198226,12.0934672349,0.0,11.3596341064,0.0,0.318182176386,0.318182176386,0.318182176386,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.706366019485
 01/01  07:00:00,1.12528895568,12.6919783219,0.0,11.3560454759,0.0,0.318418269726,0.318418269726,0.318418269726,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30419730255
 01/01  08:00:00,1.47329979948,13.5555974501,0.0,12.0449220467,0.0,0.33758973916,0.33758973916,0.33758973916,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47695401085
 01/01  09:00:00,1.39772974661,12.0667235714,0.0,10.5947048077,0.0,0.296529958273,0.296529958273,0.296529958273,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44350927416
 01/01  10:00:00,1.22692578559,11.8254862781,0.0,10.4844193989,0.0,0.29385130008,0.29385130008,0.29385130008,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31680299818
 01/01  11:00:00,1.20634162248,11.0766213813,0.0,9.89212079714,0.0,0.277058025131,0.277058025131,0.277058025131,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.15966605681
 01/01  12:00:00,1.15840381524,8.60227808166,0.0,7.56073819149,0.0,0.211194116092,0.211194116092,0.211194116092,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.0166977542
 01/01  13:00:00,1.11449879513,7.63248332556,0.0,6.69915629062,0.0,0.187316708964,0.187316708964,0.187316708964,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.908903372931
 01/01  14:00:00,1.07714690177,7.15583402382,0.0,6.28960249518,0.0,0.17592379925,0.17592379925,0.17592379925,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.840963310093
 01/01  15:00:00,1.09539403966,7.76528604032,0.0,6.96139981456,0.0,0.194980892665,0.194980892665,0.194980892665,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.777195195752
 01/01  16:00:00,1.18450315357,8.42714612204,0.0,7.61488129629,0.0,0.213389318637,0.213389318637,0.213389318637,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.78409011533
 01/01  17:00:00,1.45920239072,8.90122625713,0.0,8.00200091089,0.0,0.22417022143,0.22417022143,0.22417022143,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.865899601808
 01/01  18:00:00,1.98555654175,10.3594035358,0.0,9.29070000241,0.0,0.260556834089,0.260556834089,0.260556834089,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.02821807992
 01/01  19:00:00,2.30626687463,9.70464788014,0.0,8.47356605052,0.0,0.237084493091,0.237084493091,0.237084493091,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18712684661
 01/01  20:00:00,2.26859071505,9.64131581448,0.0,8.37533367679,0.0,0.23445805028,0.23445805028,0.23445805028,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22061195183
