Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.00315000455,10.7101040777,0.0,10.2550930948,0.0,0.282356398616,0.282356398616,0.282356398616,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.426501493353
 01/01  02:00:00,0.879203515516,10.8936108732,0.0,10.5321736969,0.0,0.289985337741,0.289985337741,0.289985337741,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.335187446108
 01/01  03:00:00,0.831422523706,10.9868994286,0.0,10.6520638487,0.0,0.293286307435,0.293286307435,0.293286307435,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.30889019432
 01/01  04:00:00,0.820840860593,11.1049719087,0.0,10.7635924326,0.0,0.296357055695,0.296357055695,0.296357055695,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.315799304252
 01/01  05:00:00,0.821641488418,11.2865218028,0.0,10.8719458056,0.0,0.299340379971,0.299340379971,0.299340379971,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.389962119744
 01/01  06:00:00,0.877585848124,11.6168931279,0.0,10.8815504102,0.0,0.299604826284,0.299604826284,0.299604826284,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.707875608753
 01/01  07:00:00,1.09967850782,11.971347449,0.0,10.6346854076,0.0,0.292807821867,0.292807821867,0.292807821867,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30492649796
 01/01  08:00:00,1.44190830787,12.6323624001,0.0,11.1210213386,0.0,0.306198247552,0.306198247552,0.306198247552,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47761966895
 01/01  09:00:00,1.38871090741,11.9162500776,0.0,10.4423108748,0.0,0.28751111907,0.28751111907,0.28751111907,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44542971322
 01/01  10:00:00,1.21580950242,11.6107555596,0.0,10.2688443889,0.0,0.282735016914,0.282735016914,0.282735016914,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31764728964
