Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.00907525393,10.9235891989,0.0,10.4702962361,0.0,0.288281647991,0.288281647991,0.288281647991,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.424783473217
 01/01  02:00:00,0.878208644468,10.8560468549,0.0,10.4960403021,0.0,0.288990466693,0.288990466693,0.288990466693,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.333756822593
 01/01  03:00:00,0.823245901959,10.6893996217,0.0,10.3550915909,0.0,0.285109685688,0.285109685688,0.285109685688,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.308362645322
 01/01  04:00:00,0.811649349521,10.7708502753,0.0,10.4297597226,0.0,0.287165544622,0.287165544622,0.287165544622,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.315510380863
 01/01  05:00:00,0.811621144947,10.9224218563,0.0,10.5080101709,0.0,0.2893200365,0.2893200365,0.2893200365,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.389797807907
 01/01  06:00:00,0.868819545322,11.2984150325,0.0,10.5631611271,0.0,0.290838523482,0.290838523482,0.290838523482,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.707786796474
 01/01  07:00:00,1.09198252597,11.6918585108,0.0,10.3551698354,0.0,0.285111840015,0.285111840015,0.285111840015,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30495313202
 01/01  08:00:00,1.43454321404,12.3648784189,0.0,10.8535235121,0.0,0.298833153719,0.298833153719,0.298833153719,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47763351423
 01/01  09:00:00,1.37049634135,11.2546059978,0.0,9.78076372553,0.0,0.269296553014,0.269296553014,0.269296553014,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44533278268
 01/01  10:00:00,1.17508104947,10.1319655275,0.0,8.78960014743,0.0,0.242006563955,0.242006563955,0.242006563955,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31810149903
 01/01  11:00:00,1.19199641861,10.7286004338,0.0,9.54164471716,0.0,0.26271282126,0.26271282126,0.26271282126,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16212118928
 01/01  12:00:00,1.16015461726,8.77710379848,0.0,7.73409056765,0.0,0.212944918108,0.212944918108,0.212944918108,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01817109486
 01/01  13:00:00,1.14511588975,8.84783112906,0.0,7.91528527494,0.0,0.217933803584,0.217933803584,0.217933803584,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.908122192107
 01/01  14:00:00,1.10025312786,8.09532308623,0.0,7.22870616191,0.0,0.199030025342,0.199030025342,0.199030025342,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.841348705775
 01/01  15:00:00,1.09376194181,7.82677499734,0.0,7.02236570637,0.0,0.193348794818,0.193348794818,0.193348794818,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.777718260948
