Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.955951462968,8.99920036795,0.0,8.54085732658,0.0,0.235157857032,0.235157857032,0.235157857032,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.429833551787
 01/01  02:00:00,0.832881555306,9.21395298271,0.0,8.84977508078,0.0,0.243663377532,0.243663377532,0.243663377532,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.337928171734
 01/01  03:00:00,0.78908028266,9.4519745205,0.0,9.11420734578,0.0,0.250944066389,0.250944066389,0.250944066389,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.311821789216
 01/01  04:00:00,0.776768089183,9.50712311463,0.0,9.16288362637,0.0,0.252284284284,0.252284284284,0.252284284284,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318659316389
 01/01  05:00:00,0.775856637211,9.62621582302,0.0,9.20905481478,0.0,0.253555528764,0.253555528764,0.253555528764,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392547130781
 01/01  06:00:00,0.830425688877,9.90643600361,0.0,9.16870867607,0.0,0.252444667037,0.252444667037,0.252444667037,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710260218552
 01/01  07:00:00,1.05282595574,10.2721593657,0.0,8.93301586645,0.0,0.245955269789,0.245955269789,0.245955269789,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30740795588
 01/01  08:00:00,1.39233089423,10.834293179,0.0,9.32038570636,0.0,0.256620833906,0.256620833906,0.256620833906,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48018608006
 01/01  09:00:00,1.32381030508,9.56120010944,0.0,8.08514198479,0.0,0.222610516748,0.222610516748,0.222610516748,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44754863506
 01/01  10:00:00,1.11171260448,7.83266090407,0.0,6.48807871652,0.0,0.178638118972,0.178638118972,0.178638118972,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.3203183065
 01/01  11:00:00,1.10277695712,7.49056163129,0.0,6.30122272596,0.0,0.173493359772,0.173493359772,0.173493359772,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16450437797
 01/01  12:00:00,1.06908187008,5.47266861093,0.0,4.42635783964,0.0,0.121872170934,0.121872170934,0.121872170934,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02146863532
 01/01  13:00:00,1.02108313426,4.34824084609,0.0,3.41045570294,0.0,0.0939010480962,0.0939010480962,0.0939010480962,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.913361481135
 01/01  14:00:00,0.982042361358,3.80664326452,0.0,2.93532934714,0.0,0.0808192588358,0.0808192588358,0.0808192588358,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.846045698831
 01/01  15:00:00,0.978030611792,3.62767946424,0.0,2.81904122294,0.0,0.0776174647958,0.0776174647958,0.0776174647958,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.781947211287
 01/01  16:00:00,1.0559633324,3.89891987403,0.0,3.08170631102,0.0,0.0848494974675,0.0848494974675,0.0848494974675,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.789038852594
