Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.921869051158,7.76070625013,0.0,7.30299515053,0.0,0.201075445221,0.201075445221,0.201075445221,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.429201610015
 01/01  02:00:00,0.798368343526,7.96036798673,0.0,7.59626638912,0.0,0.209150165751,0.209150165751,0.209150165751,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.33785186741
 01/01  03:00:00,0.750947717678,8.0672235972,0.0,7.72924491622,0.0,0.212811501407,0.212811501407,0.212811501407,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.312033295469
 01/01  04:00:00,0.74199495412,8.24429115873,0.0,7.89993460516,0.0,0.217511149222,0.217511149222,0.217511149222,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318776381708
 01/01  05:00:00,0.742159220827,8.40271527692,0.0,7.98517554817,0.0,0.21985811238,0.21985811238,0.21985811238,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392925851295
 01/01  06:00:00,0.797246516741,8.70189169211,0.0,7.96365187293,0.0,0.2192654949,0.2192654949,0.2192654949,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710772710185
 01/01  07:00:00,1.01919516056,9.05109172901,0.0,7.71155626048,0.0,0.212324474611,0.212324474611,0.212324474611,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30779992515
 01/01  08:00:00,1.34152837964,8.9895222376,0.0,7.47525480409,0.0,0.205818319319,0.205818319319,0.205818319319,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48054604097
 01/01  09:00:00,1.30602780084,8.91625336019,0.0,7.4392871808,0.0,0.204828012504,0.204828012504,0.204828012504,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.4484566898
 01/01  10:00:00,1.14220188773,8.94065188118,0.0,7.59543962488,0.0,0.209127402216,0.209127402216,0.209127402216,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.32094837525
 01/01  11:00:00,1.17563430136,10.1362922762,0.0,8.94737790969,0.0,0.246350704016,0.246350704016,0.246350704016,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16407983919
 01/01  12:00:00,1.16209517032,8.84956721222,0.0,7.80457082749,0.0,0.214885471174,0.214885471174,0.214885471174,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02015424875
 01/01  13:00:00,1.1347676472,8.47424218885,0.0,7.53944045174,0.0,0.207585561034,0.207585561034,0.207585561034,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.910378075093
 01/01  14:00:00,1.10605112096,8.30729128415,0.0,7.43928739635,0.0,0.204828018439,0.204828018439,0.204828018439,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.842735669252
 01/01  15:00:00,1.1018469263,8.12094159136,0.0,7.31600972854,0.0,0.201433779304,0.201433779304,0.201433779304,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.7782408328
 01/01  16:00:00,1.17044134589,8.0527275448,0.0,7.23951074327,0.0,0.199327510957,0.199327510957,0.199327510957,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.785042091107
 01/01  17:00:00,1.43008784386,7.98505776744,0.0,7.084359027,0.0,0.195055674569,0.195055674569,0.195055674569,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.867372996014
 01/01  18:00:00,1.94328125635,8.99853869696,0.0,7.92791526441,0.0,0.218281548681,0.218281548681,0.218281548681,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.0301379791
 01/01  19:00:00,2.24829345849,7.73838089573,0.0,6.50525639736,0.0,0.179111076951,0.179111076951,0.179111076951,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18916951536
 01/01  20:00:00,2.2038926628,7.43403933107,0.0,6.165628235,0.0,0.169759998037,0.169759998037,0.169759998037,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22304091022
 01/01  21:00:00,2.04623309111,7.27584205202,0.0,6.09198671019,0.0,0.167732404963,0.167732404963,0.167732404963,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.1369253894
 01/01  22:00:00,1.8776576697,7.28683016564,0.0,6.22019225079,0.0,0.171262324623,0.171262324623,0.171262324623,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02080360333
 01/01  23:00:00,1.55467091572,7.34776009629,0.0,6.46709414411,0.0,0.178060344764,0.178060344764,0.178060344764,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.841002229405
 01/01  24:00:00,1.23436256934,7.50795501882,0.0,6.83316928773,0.0,0.188139595944,0.188139595944,0.188139595944,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.640318694036
 01/02  01:00:00,0.912613369949,7.64733890021,0.0,7.20558584565,0.0,0.19839344709,0.19839344709,0.19839344709,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.413243564978
 01/02  02:00:00,0.790362465154,7.80443236792,0.0,7.44885011354,0.0,0.205091311454,0.205091311454,0.205091311454,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.329332524182
