Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.0291958839,6.80890186973,0.0,6.78093449136,0.0,0.167571197134,0.167571197134,0.167571197134,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465516
 01/01  02:00:00,0.862101925898,7.668073685,0.0,7.64232309642,0.0,0.188136861202,0.188136861202,0.188136861202,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844101463
 01/01  03:00:00,0.810507774266,8.29309138039,0.0,8.26763934936,0.0,0.202579080669,0.202579080669,0.202579080669,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441745526
 01/01  04:00:00,0.812048891391,8.74912746296,0.0,8.724033701,0.0,0.213006159047,0.213006159047,0.213006159047,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.868753601642,9.15173440553,0.0,9.12758856378,0.0,0.222596534875,0.222596534875,0.222596534875,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137215041
 01/01  06:00:00,1.14004787702,9.35566590199,0.0,9.32872108322,0.0,0.227501598416,0.227501598416,0.227501598416,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635109517
 01/01  07:00:00,1.78231204114,10.3036882491,0.0,10.2725561607,0.0,0.250519114627,0.250519114627,0.250519114627,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385253082
 01/01  08:00:00,2.21590412137,10.3896680206,0.0,10.3565878442,0.0,0.252568414007,0.252568414007,0.252568414007,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255573
 01/01  09:00:00,2.13380978411,9.28271339113,0.0,9.25474601275,0.0,0.225697551899,0.225697551899,0.225697551899,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.87985152722,8.8704967394,0.0,8.84669423883,0.0,0.215746302422,0.215746302422,0.215746302422,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
