Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.76388040881,4.75101158604,0.0,4.37346636492,0.0,0.121312768296,0.121312768296,0.121312768296,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395305323
 01/01  02:00:00,0.666908601088,5.19783598986,0.0,4.89368642787,0.0,0.135742817756,0.135742817756,0.135742817756,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377718
 01/01  03:00:00,0.63018731065,5.43092963845,0.0,5.14649469118,0.0,0.14275530344,0.14275530344,0.14275530344,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636918757
 01/01  04:00:00,0.621884295637,5.61306658582,0.0,5.32350760488,0.0,0.14766535071,0.14766535071,0.14766535071,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095939342
 01/01  05:00:00,0.624179352116,5.78914375317,0.0,5.44302833024,0.0,0.150980659175,0.150980659175,0.150980659175,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700862
 01/01  06:00:00,0.677645923252,6.08398258721,0.0,5.48697731159,0.0,0.152199731678,0.152199731678,0.152199731678,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468313
 01/01  07:00:00,0.873616665227,6.36988190625,0.0,5.3033919286,0.0,0.147107374914,0.147107374914,0.147107374914,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.03738101081
 01/01  08:00:00,1.1703611969,6.40204726093,0.0,5.2019582009,0.0,0.144293770034,0.144293770034,0.144293770034,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915860185
 01/01  09:00:00,1.1294727877,6.32874861962,0.0,5.16089458257,0.0,0.143154732758,0.143154732758,0.143154732758,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.14170412126
 01/01  10:00:00,0.998998818514,6.01250269937,0.0,4.94973015124,0.0,0.137297378524,0.137297378524,0.137297378524,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051685519
 01/01  11:00:00,1.00675630848,6.0797034787,0.0,5.13909901169,0.0,0.142550159447,0.142550159447,0.142550159447,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825357015
 01/01  12:00:00,0.974312471411,4.15318170482,0.0,3.32353412311,0.0,0.0921893736817,0.0921893736817,0.0921893736817,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.806861492831
 01/01  13:00:00,0.926051468773,3.03183277742,0.0,2.28753868852,0.0,0.0634525631919,0.0634525631919,0.0634525631919,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.721891839193
 01/01  14:00:00,0.875035854584,2.11359190032,0.0,1.42084581335,0.0,0.0394119274178,0.0394119274178,0.0394119274178,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.669569180028
 01/01  15:00:00,0.854031915792,1.45946922461,0.0,0.815060622067,0.0,0.0226750970261,0.0226750970261,0.0226750970261,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.619926642421
