Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.967724018378,8.10625661459,0.0,7.65029882104,0.0,0.246930412442,0.246930412442,0.246930412442,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.427448303968
 01/01  02:00:00,0.846250666157,8.32588465189,0.0,7.96386195778,0.0,0.257032488383,0.257032488383,0.257032488383,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.33577296391
 01/01  03:00:00,0.811601637588,8.80563259479,0.0,8.46961626265,0.0,0.273465421317,0.273465421317,0.273465421317,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.310070946641
 01/01  04:00:00,0.809817822692,9.18017540056,0.0,8.83789394645,0.0,0.285334017794,0.285334017794,0.285334017794,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.316701282246
 01/01  05:00:00,0.820107881412,9.63845214143,0.0,9.22313424224,0.0,0.297806772965,0.297806772965,0.297806772965,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.39070402174
 01/01  06:00:00,0.880661798802,10.11114982,0.0,9.37531525543,0.0,0.302680776962,0.302680776962,0.302680776962,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.70836745557
 01/01  07:00:00,1.10276975879,10.5030224983,0.0,9.16603792691,0.0,0.295899072833,0.295899072833,0.295899072833,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30524902797
 01/01  08:00:00,1.42209864386,10.386975711,0.0,8.87535495345,0.0,0.286388583539,0.286388583539,0.286388583539,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.477899365
 01/01  09:00:00,1.35586058031,9.37607683423,0.0,7.90197818644,0.0,0.254660791977,0.254660791977,0.254660791977,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44558915821
 01/01  10:00:00,1.14698894937,7.9878820472,0.0,6.64497638886,0.0,0.213914463856,0.213914463856,0.213914463856,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31864177729
 01/01  11:00:00,1.14140064669,7.76592993675,0.0,6.57835904913,0.0,0.212117049338,0.212117049338,0.212117049338,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16273636027
 01/01  12:00:00,1.09626845265,5.68885058613,0.0,4.6446830678,0.0,0.149058753505,0.149058753505,0.149058753505,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01932538236
 01/01  13:00:00,1.04652405603,4.6527852243,0.0,3.71681860197,0.0,0.119341969857,0.119341969857,0.119341969857,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.911542960311
 01/01  14:00:00,1.00516791892,4.10483217723,0.0,3.23507074572,0.0,0.103944816398,0.103944816398,0.103944816398,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.844493212955
 01/01  15:00:00,1.01398126833,4.33423840942,0.0,3.52709360412,0.0,0.113568121331,0.113568121331,0.113568121331,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.780453775285
 01/01  16:00:00,1.10352405158,4.91942179753,0.0,4.10379144191,0.0,0.132410216648,0.132410216648,0.132410216648,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.787455645205
 01/01  17:00:00,1.3794708346,5.38024663465,0.0,4.47779141307,0.0,0.144438665313,0.144438665313,0.144438665313,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.869129477141
 01/01  18:00:00,1.90799203637,6.73513449275,0.0,5.66321562074,0.0,0.182992328707,0.182992328707,0.182992328707,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03143341856
 01/01  19:00:00,2.23765691153,6.46490740952,0.0,5.23100260597,0.0,0.168474529985,0.168474529985,0.168474529985,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18994982055
 01/01  20:00:00,2.20583932906,6.59683011607,0.0,5.32792662942,0.0,0.171706664298,0.171706664298,0.171706664298,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.2235333008
 01/01  21:00:00,2.06418742373,6.94090624648,0.0,5.75707519021,0.0,0.185686737575,0.185686737575,0.185686737575,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13690110384
 01/01  22:00:00,1.90611240954,7.2569102487,0.0,6.19090910883,0.0,0.19971706447,0.19971706447,0.19971706447,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02016682834
 01/01  23:00:00,1.59281484294,7.57935990937,0.0,6.7002515567,0.0,0.216204271986,0.216204271986,0.216204271986,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.839444629902
 01/01  24:00:00,1.28116434672,7.95154583432,0.0,7.27863248207,0.0,0.234941373327,0.234941373327,0.234941373327,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.6384463152
 01/02  01:00:00,0.96635584472,8.25029411818,0.0,7.81040185898,0.0,0.252135921861,0.252135921861,0.252135921861,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.411382769615
 01/02  02:00:00,0.848760058962,8.51563453298,0.0,8.16239056818,0.0,0.263488905262,0.263488905262,0.263488905262,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.326994234594
 01/02  03:00:00,0.807201435068,8.74608338232,0.0,8.41662454626,0.0,0.271676457225,0.271676457225,0.271676457225,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.30351345056
 01/02  04:00:00,0.806510058052,9.11343823899,0.0,8.77780381477,0.0,0.283391657326,0.283391657326,0.283391657326,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.310054252352
