Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,1.00995490679,10.9553384259,0.0,10.5022449434,0.0,0.28916130085,0.28916130085,0.28916130085,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.424583992858
 01/01  02:00:00,0.876802031727,10.8052132171,0.0,10.4449525822,0.0,0.287583853952,0.287583853952,0.287583853952,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.334010904686
 01/01  03:00:00,0.823033024939,10.6818936589,0.0,10.3473599664,0.0,0.284896808668,0.284896808668,0.284896808668,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.308588307048
 01/01  04:00:00,0.806301952686,10.5769252442,0.0,10.2355439987,0.0,0.281818147787,0.281818147787,0.281818147787,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.315801073663
 01/01  05:00:00,0.801176515956,10.5433299452,0.0,10.1286646234,0.0,0.278875407509,0.278875407509,0.278875407509,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.39005144434
 01/01  06:00:00,0.851536939729,10.6710118914,0.0,9.93546248047,0.0,0.273555917889,0.273555917889,0.273555917889,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.708082301897
 01/01  07:00:00,1.0741189871,11.0434543605,0.0,9.70637187991,0.0,0.267248301143,0.267248301143,0.267248301143,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.3053469372
 01/01  08:00:00,1.4012481328,11.1564302326,0.0,9.6442569279,0.0,0.26553807248,0.26553807248,0.26553807248,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.4784519122
 01/01  09:00:00,1.35683732263,10.7594534437,0.0,9.28467258238,0.0,0.255637534293,0.255637534293,0.255637534293,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44627137174
 01/01  10:00:00,1.16741199474,9.85422839829,0.0,8.51106255953,0.0,0.234337509226,0.234337509226,0.234337509226,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31890195771
 01/01  11:00:00,1.17919713597,10.2641793922,0.0,9.07677891055,0.0,0.249913538623,0.249913538623,0.249913538623,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16256595433
 01/01  12:00:00,1.1386014532,7.99466480928,0.0,6.95128661862,0.0,0.191391754053,0.191391754053,0.191391754053,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01853605468
 01/01  13:00:00,1.08819500541,6.7827363473,0.0,5.84793716141,0.0,0.161012919236,0.161012919236,0.161012919236,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.910375523882
 01/01  14:00:00,1.0491111444,6.23934152593,0.0,5.37124585968,0.0,0.147888041874,0.147888041874,0.147888041874,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.8428274477
 01/01  15:00:00,1.04343983422,6.00051722276,0.0,5.19468303088,0.0,0.143026687227,0.143026687227,0.143026687227,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.779143161863
 01/01  16:00:00,1.12597245763,6.4391900864,0.0,5.62441510136,0.0,0.154858622703,0.154858622703,0.154858622703,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.786600274621
 01/01  17:00:00,1.4146334267,7.42539109437,0.0,6.52305959306,0.0,0.179601257408,0.179601257408,0.179601257408,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.869005756883
 01/01  18:00:00,1.96360192542,9.73757398349,0.0,8.66595539444,0.0,0.23860221776,0.23860221776,0.23860221776,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.0311331356
 01/01  19:00:00,2.29653234276,9.49035522901,0.0,8.25727707519,0.0,0.227349961213,0.227349961213,0.227349961213,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18912317081
 01/01  20:00:00,2.27934445933,10.1740542507,0.0,8.90601308656,0.0,0.24521179456,0.24521179456,0.24521179456,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22267097826
 01/01  21:00:00,2.14570727902,10.8874418821,0.0,9.70485704882,0.0,0.267206592867,0.267206592867,0.267206592867,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13565488082
 01/01  22:00:00,1.99044842285,11.3809596708,0.0,10.3167159332,0.0,0.284053077776,0.284053077776,0.284053077776,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01840942614
 01/01  23:00:00,1.68938871145,12.2378265289,0.0,11.3600009225,0.0,0.312778140492,0.312778140492,0.312778140492,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.838161883631
 01/01  24:00:00,1.36476171842,12.2413281108,0.0,11.5692242164,0.0,0.318538745026,0.318538745026,0.318538745026,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.637636857348
 01/02  01:00:00,1.03253660708,11.9988535042,0.0,11.5611590398,0.0,0.318316684221,0.318316684221,0.318316684221,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.409184974863
 01/02  02:00:00,0.907862289583,12.0681816345,0.0,11.716405742,0.0,0.322591135884,0.322591135884,0.322591135884,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.325526162325
 01/02  03:00:00,0.862073690074,12.1884245444,0.0,11.8601436352,0.0,0.326548712231,0.326548712231,0.326548712231,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.302335523739
 01/02  04:00:00,0.844801574303,12.0177036663,0.0,11.6834288446,0.0,0.321683173576,0.321683173576,0.321683173576,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.308694649839
 01/02  05:00:00,0.843825996261,12.1749972673,0.0,11.7746954651,0.0,0.32419604343,0.32419604343,0.32419604343,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.375687924751
 01/02  06:00:00,0.897485993106,12.4491766746,0.0,11.7531077915,0.0,0.323601663866,0.323601663866,0.323601663866,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.668601774037
 01/02  07:00:00,1.14054897261,13.7521902632,0.0,12.5050026409,0.0,0.344303798877,0.344303798877,0.344303798877,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21545207894
 01/02  08:00:00,1.42839581644,12.8003169464,0.0,11.3988258412,0.0,0.313847118035,0.313847118035,0.313847118035,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.36776971262
 01/02  09:00:00,1.36550602828,12.1363251248,0.0,10.7776294478,0.0,0.296743540831,0.296743540831,0.296743540831,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33018618748
 01/02  10:00:00,1.16422394805,11.2666727255,0.0,10.030787217,0.0,0.276180521006,0.276180521006,0.276180521006,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21162162744
 01/02  11:00:00,1.18071149046,12.0757739944,0.0,10.9810407595,0.0,0.302344122404,0.302344122404,0.302344122404,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.06989870754
 01/02  12:00:00,1.16934411853,10.9406209138,0.0,9.9742250553,0.0,0.2746231789,0.2746231789,0.2746231789,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.941553722489
 01/02  13:00:00,1.10886066681,9.20168289984,0.0,8.33496942245,0.0,0.229489086735,0.229489086735,0.229489086735,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.842289815376
 01/02  14:00:00,1.06311775092,8.27211955059,0.0,7.46306452581,0.0,0.205482680915,0.205482680915,0.205482680915,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.783786806233
 01/02  15:00:00,1.05262315079,7.70132779963,0.0,6.9492462489,0.0,0.191335575972,0.191335575972,0.191335575972,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.72539052072
 01/02  16:00:00,1.13074109413,7.90474548616,0.0,7.14358034769,0.0,0.196686232057,0.196686232057,0.196686232057,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.732990428047
 01/02  17:00:00,1.40675336396,8.37894008696,0.0,7.54138547515,0.0,0.207639113918,0.207639113918,0.207639113918,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.804228867377
 01/02  18:00:00,1.94851930139,10.396908774,0.0,9.40213004052,0.0,0.258871523938,0.258871523938,0.258871523938,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.954293280054
 01/02  19:00:00,2.26712244475,9.56957907326,0.0,8.43525865527,0.0,0.232250378743,0.232250378743,0.232250378743,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09036543498
 01/02  20:00:00,2.22655960937,9.39059655354,0.0,8.23264280351,0.0,0.226671698795,0.226671698795,0.226671698795,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11258356417
 01/02  21:00:00,2.07226457638,9.38136079231,0.0,8.30337761695,0.0,0.228619260558,0.228619260558,0.228619260558,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03105322293
 01/02  22:00:00,1.90670365477,9.54543688245,0.0,8.56836258574,0.0,0.235915167165,0.235915167165,0.235915167165,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.931239985186
 01/02  23:00:00,1.59427631995,9.74280336551,0.0,8.93314992711,0.0,0.245958960919,0.245958960919,0.245958960919,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.769989715639
 01/02  24:00:00,1.28348488808,9.81120177422,0.0,9.18149657941,0.0,0.252796760021,0.252796760021,0.252796760021,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.595238157763
 01/03  01:00:00,0.971759935876,9.79306912108,0.0,9.35376999444,0.0,0.257540013017,0.257540013017,0.257540013017,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.410789637055
 01/03  02:00:00,0.844899115054,9.78252758015,0.0,9.42960360289,0.0,0.259627961354,0.259627961354,0.259627961354,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.326674247061
 01/03  03:00:00,0.800424431245,9.95032265569,0.0,9.62106248944,0.0,0.264899453401,0.264899453401,0.264899453401,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.303314780741
 01/03  04:00:00,0.789975010104,10.0277872261,0.0,9.69214576161,0.0,0.266856609377,0.266856609377,0.266856609377,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.310061292624
 01/03  05:00:00,0.788168989751,10.1551426205,0.0,9.75325098593,0.0,0.26853903692,0.26853903692,0.26853903692,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.377277757153
 01/03  06:00:00,0.845842915801,10.5753182632,0.0,9.87744792317,0.0,0.271958586561,0.271958586561,0.271958586561,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.670403231074
 01/03  07:00:00,1.0864327056,11.7896191299,0.0,10.5395173221,0.0,0.290187531865,0.290187531865,0.290187531865,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21836626445
 01/03  08:00:00,1.38502267563,11.228217797,0.0,9.82352739213,0.0,0.270473977225,0.270473977225,0.270473977225,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37096901237
 01/03  09:00:00,1.32009346048,10.4900006069,0.0,9.1282596701,0.0,0.251330973036,0.251330973036,0.251330973036,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33323144725
 01/03  10:00:00,1.1185988482,9.61234849024,0.0,8.37369834375,0.0,0.230555421154,0.230555421154,0.230555421154,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21438626544
 01/03  11:00:00,1.12082690864,9.9034483274,0.0,8.80605211206,0.0,0.242459540583,0.242459540583,0.242459540583,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07256168798
 01/03  12:00:00,1.08338825017,7.82114676287,0.0,6.85233571139,0.0,0.188667310545,0.188667310545,0.188667310545,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.943968915511
 01/03  13:00:00,1.04227421428,6.78653978723,0.0,5.91657099788,0.0,0.162902634202,0.162902634202,0.162902634202,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.845545127328
 01/03  14:00:00,1.00696944388,6.235434725,0.0,5.42377617029,0.0,0.149334373876,0.149334373876,0.149334373876,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.786390336158
 01/03  15:00:00,1.00655753724,6.03081627053,0.0,5.2761580606,0.0,0.145269962423,0.145269962423,0.145269962423,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.727967179908
 01/03  16:00:00,1.08564395897,6.26960633928,0.0,5.50566698128,0.0,0.151589096896,0.151589096896,0.151589096896,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.73576464758
 01/03  17:00:00,1.3677269173,6.96398043663,0.0,6.12395755215,0.0,0.16861266726,0.16861266726,0.16861266726,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.806697140045
 01/03  18:00:00,1.89804707007,8.56613753596,0.0,7.56899491967,0.0,0.208399292616,0.208399292616,0.208399292616,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.956657162842
 01/03  19:00:00,2.21398337571,7.64274905746,0.0,6.50526485109,0.0,0.17911130971,0.17911130971,0.17911130971,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09352922337
 01/03  20:00:00,2.18358310495,7.83260200537,0.0,6.67175006003,0.0,0.183695194379,0.183695194379,0.183695194379,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11548175949
 01/03  21:00:00,2.03351514719,7.9766394905,0.0,6.89601087883,0.0,0.189869831368,0.189869831368,0.189869831368,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03369865924
 01/03  22:00:00,1.87213620406,8.29235450173,0.0,7.31288395374,0.0,0.201347716456,0.201347716456,0.201347716456,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.93363623647
 01/03  23:00:00,1.5603544576,8.51279186702,0.0,7.70111885569,0.0,0.212037098573,0.212037098573,0.212037098573,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.772009288558
 01/03  24:00:00,1.25440429715,8.75646117199,0.0,8.12529892028,0.0,0.223716169089,0.223716169089,0.223716169089,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.596695214669
 01/04  01:00:00,0.947784413796,8.92335606637,0.0,8.48298678521,0.0,0.233564490936,0.233564490936,0.233564490936,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.411859791576
 01/04  02:00:00,0.826433653185,9.11304378471,0.0,8.75894399882,0.0,0.241162499485,0.241162499485,0.241162499485,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.327850055688
 01/04  03:00:00,0.77832776305,9.14882182061,0.0,8.81851864579,0.0,0.242802785206,0.242802785206,0.242802785206,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.304357789316
 01/04  04:00:00,0.768693856193,9.25544865991,0.0,8.91922113307,0.0,0.245575455466,0.245575455466,0.245575455466,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.310647354968
 01/04  05:00:00,0.767428014236,9.40259916047,0.0,8.99994546204,0.0,0.247798061404,0.247798061404,0.247798061404,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.378039820978
 01/04  06:00:00,0.820254149384,9.64729441299,0.0,8.9480722013,0.0,0.246369820144,0.246369820144,0.246369820144,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.671755102696
 01/04  07:00:00,1.03712531898,10.0010591435,0.0,8.74868898428,0.0,0.24088014525,0.24088014525,0.24088014525,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.22063461588
 01/04  08:00:00,1.36728752528,10.5872011279,0.0,9.17939246636,0.0,0.252738826877,0.252738826877,0.252738826877,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.37408726896
 01/04  09:00:00,1.29811343434,9.69451213569,0.0,8.32995222826,0.0,0.229350946899,0.229350946899,0.229350946899,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33605041784
 01/04  10:00:00,1.11526746577,9.49375964115,0.0,8.25270361121,0.0,0.227224038727,0.227224038727,0.227224038727,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21679214889
 01/04  11:00:00,1.13455440007,10.4036995017,0.0,9.30463016195,0.0,0.256187032015,0.256187032015,0.256187032015,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07423481239
 01/04  12:00:00,1.10799312612,8.71592771339,0.0,7.74597684952,0.0,0.213272186492,0.213272186492,0.213272186492,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.945108727892
 01/04  13:00:00,1.08843417395,8.46323968235,0.0,7.59308580689,0.0,0.209062593875,0.209062593875,0.209062593875,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.845730213441
 01/04  14:00:00,1.06688603888,8.41190463169,0.0,7.5999275258,0.0,0.20925096887,0.20925096887,0.20925096887,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.786708887338
 01/04  15:00:00,1.07137648594,8.38447295006,0.0,7.63036131742,0.0,0.210088911122,0.210088911122,0.210088911122,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.727420602619
 01/04  16:00:00,1.143394694,8.3658172902,0.0,7.60315500325,0.0,0.209339831926,0.209339831926,0.209339831926,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.734487576533
 01/04  17:00:00,1.40898420697,8.46130255349,0.0,7.62240897207,0.0,0.209869956932,0.209869956932,0.209869956932,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.805567836982
 01/04  18:00:00,1.93043684673,9.74227901129,0.0,8.74538113447,0.0,0.240789069279,0.240789069279,0.240789069279,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.95641242337
 01/04  19:00:00,2.23890742018,8.54818396435,0.0,7.41049808661,0.0,0.204035354175,0.204035354175,0.204035354175,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09373089473
 01/04  20:00:00,2.19405362833,8.21316626057,0.0,7.05203608332,0.0,0.194165717756,0.194165717756,0.194165717756,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.1157599914
 01/04  21:00:00,2.0386876278,8.16582437135,0.0,7.0838737021,0.0,0.195042311981,0.195042311981,0.195042311981,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03502071681
 01/04  22:00:00,1.87434078519,8.37356669724,0.0,7.39295362744,0.0,0.203552297584,0.203552297584,0.203552297584,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.934778758287
 01/04  23:00:00,1.562970476,8.60866296638,0.0,7.79613179806,0.0,0.214653116973,0.214653116973,0.214653116973,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.772867445555
 01/04  24:00:00,1.26631085271,9.18974211679,0.0,8.55774116808,0.0,0.235622724648,0.235622724648,0.235622724648,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.597533911659
