Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.00686882713,5.85433118646,0.0,5.82636380809,0.0,0.1452441404,0.1452441404,0.1452441404,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803465475
 01/01  02:00:00,0.836579047577,6.6135238666,0.0,6.58777327802,0.0,0.162613965525,0.162613965525,0.162613965525,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844275026
 01/01  03:00:00,0.781451849556,7.10578752049,0.0,7.08033548946,0.0,0.173523152278,0.173523152278,0.173523152278,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.081441749207
 01/01  04:00:00,0.783078765683,7.56252883718,0.0,7.53743507521,0.0,0.184036033283,0.184036033283,0.184036033283,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072554106
 01/01  05:00:00,0.837566297425,7.87194876787,0.0,7.84780292612,0.0,0.191409257023,0.191409257023,0.191409257023,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188676
 01/01  06:00:00,1.09179852611,7.37719804088,0.0,7.3502532221,0.0,0.179252262113,0.179252262113,0.179252262113,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.71504953082,7.54558370184,0.0,7.51445161345,0.0,0.183256604847,0.183256604847,0.183256604847,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,2.12398563096,6.6205430328,0.0,6.5874628564,0.0,0.160649923603,0.160649923603,0.160649923603,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,2.05911981045,6.22004509868,0.0,6.19207772031,0.0,0.151007578243,0.151007578243,0.151007578243,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.80774598331,5.90814764336,0.0,5.88434514279,0.0,0.143640758512,0.143640758512,0.143640758512,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.72486925407,6.8148589115,0.0,6.79049661552,0.0,0.167578646421,0.167578646421,0.167578646421,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958445862
 01/01  12:00:00,1.62263573679,5.80424862954,0.0,5.77987886963,0.0,0.142113418194,0.142113418194,0.142113418194,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266157933
 01/01  13:00:00,1.51755893501,5.2794657543,0.0,5.25550651102,0.0,0.129464561302,0.129464561302,0.129464561302,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750165272
 01/01  14:00:00,1.43613081965,4.84057611751,0.0,4.81578837703,0.0,0.119051018359,0.119051018359,0.119051018359,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430928000931
 01/01  15:00:00,1.3726029062,4.05075658566,0.0,4.02457308864,0.0,0.0995390036367,0.0995390036367,0.0995390036367,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516434652
 01/01  16:00:00,1.43999538292,3.80915218309,0.0,3.78151321802,0.0,0.0938343987752,0.0938343987752,0.0938343987752,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.39332805601
 01/01  17:00:00,1.75033834846,3.79557096065,0.0,3.76287890907,0.0,0.0939133894528,0.0939133894528,0.0939133894528,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888497
