Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.930813337412,8.0843012512,0.0,7.62784873506,0.0,0.210019731476,0.210019731476,0.210019731476,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.427943026556
 01/01  02:00:00,0.787800546464,7.57504036095,0.0,7.21244741704,0.0,0.198582368689,0.198582368689,0.198582368689,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.336343213702
 01/01  03:00:00,0.739318923929,7.6436268724,0.0,7.30689088755,0.0,0.201182707658,0.201182707658,0.201182707658,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.310790599341
 01/01  04:00:00,0.729606854055,7.79390517222,0.0,7.45000281662,0.0,0.205123049157,0.205123049157,0.205123049157,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318322183737
 01/01  05:00:00,0.730517443017,7.97954564301,0.0,7.56234994258,0.0,0.20821633457,0.20821633457,0.20821633457,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392581822985
 01/01  06:00:00,0.782427493546,8.16324155186,0.0,7.42542974238,0.0,0.204446471706,0.204446471706,0.204446471706,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710344700484
 01/01  07:00:00,1.01800933535,9.00759673327,0.0,7.66848747227,0.0,0.2111386494,0.2111386494,0.2111386494,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30737371762
 01/01  08:00:00,1.34411508955,9.08316759336,0.0,7.56920327175,0.0,0.208405029234,0.208405029234,0.208405029234,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48024292907
 01/01  09:00:00,1.30088015003,8.72853746379,0.0,7.25232616783,0.0,0.199680361691,0.199680361691,0.199680361691,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44770180638
 01/01  10:00:00,1.10977302747,7.76225614176,0.0,6.41763390651,0.0,0.176698541957,0.176698541957,0.176698541957,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.3203583542
 01/01  11:00:00,1.12226155843,8.19789104563,0.0,7.00889714511,0.0,0.192977961085,0.192977961085,0.192977961085,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16415937317
 01/01  12:00:00,1.10736251558,6.86223908277,0.0,5.81669850551,0.0,0.160152816428,0.160152816428,0.160152816428,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02069844129
 01/01  13:00:00,1.09918493962,7.18204892222,0.0,6.24708801849,0.0,0.172002853454,0.172002853454,0.172002853454,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.910537241718
 01/01  14:00:00,1.05672691839,6.51621922346,0.0,5.64784830854,0.0,0.155503815869,0.155503815869,0.155503815869,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.843102696369
 01/01  15:00:00,1.07012714981,6.9694677715,0.0,6.16395770328,0.0,0.169714002812,0.169714002812,0.169714002812,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.778819038209
 01/01  16:00:00,1.15094491617,7.34550969021,0.0,6.53140672026,0.0,0.179831081238,0.179831081238,0.179831081238,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.785928259529
 01/01  17:00:00,1.4182624751,7.55596723739,0.0,6.65486545747,0.0,0.183230305808,0.183230305808,0.183230305808,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.86777603549
 01/01  18:00:00,1.9328240156,8.61876492625,0.0,7.54811166204,0.0,0.207824307937,0.207824307937,0.207824307937,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03016781076
 01/01  19:00:00,2.25478530412,7.97428232948,0.0,6.74103813128,0.0,0.185602922577,0.185602922577,0.185602922577,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18928921519
 01/01  20:00:00,2.21359661162,7.78574457263,0.0,6.51807251798,0.0,0.17946394685,0.17946394685,0.17946394685,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22230186879
 01/01  21:00:00,2.0609662686,7.81015538583,0.0,6.62709095234,0.0,0.182465582449,0.182465582449,0.182465582449,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13613448105
 01/01  22:00:00,1.89526896956,7.92565666203,0.0,6.8598289669,0.0,0.188873624483,0.188873624483,0.188873624483,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.01999338361
 01/01  23:00:00,1.57431668754,8.0601550658,0.0,7.18062222416,0.0,0.19770611659,0.19770611659,0.19770611659,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.839869118871
 01/01  24:00:00,1.25548126019,8.27369973456,0.0,7.60019331035,0.0,0.209258286792,0.209258286792,0.209258286792,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.639039387164
 01/02  01:00:00,0.936394118218,8.50962615074,0.0,8.069294933,0.0,0.222174195358,0.222174195358,0.222174195358,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.411821728162
 01/02  02:00:00,0.814864652426,8.69305566642,0.0,8.33876163221,0.0,0.229593498726,0.229593498726,0.229593498726,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.328044304007
 01/02  03:00:00,0.779452890659,9.18981893302,0.0,8.85938291674,0.0,0.243927912816,0.243927912816,0.243927912816,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.304490630774
 01/02  04:00:00,0.771922409743,9.37304404379,0.0,9.03648115402,0.0,0.248804009016,0.248804009016,0.248804009016,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.310982717902
 01/02  05:00:00,0.76431348334,9.28924802505,0.0,8.88682670702,0.0,0.244683530509,0.244683530509,0.244683530509,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.377807440573
 01/02  06:00:00,0.812514782328,9.36458901905,0.0,8.66698089243,0.0,0.238630453088,0.238630453088,0.238630453088,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.670141017629
 01/02  07:00:00,1.0231297595,9.48920973172,0.0,8.24037478927,0.0,0.226884585761,0.226884585761,0.226884585761,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21709939907
 01/02  08:00:00,1.35108899952,9.99493238634,0.0,8.5910672487,0.0,0.236540301117,0.236540301117,0.236540301117,0.316491771045,0.0689554931152,0.207405929039,0.489583505201,1.3701437451
 01/02  09:00:00,1.29505970704,9.58013082951,0.0,8.21904183998,0.0,0.226297219593,0.226297219593,0.226297219593,0.303024045,0.06602121875,0.268690649238,0.413914574456,1.33257949994
 01/02  10:00:00,1.09608540613,8.79374506921,0.0,7.55601740793,0.0,0.20804197909,0.20804197909,0.20804197909,0.15487897491,0.0337441825195,0.330033495679,0.352274773936,1.21346378024
 01/02  11:00:00,1.09917382763,9.11631850181,0.0,8.01961921138,0.0,0.220806459568,0.220806459568,0.220806459568,0.127943439226,0.0278756155762,0.344876619894,0.360559693361,1.07186476307
 01/02  12:00:00,1.09668118779,8.30392130391,0.0,7.33513090714,0.0,0.20196024816,0.20196024816,0.20196024816,0.127943439226,0.0278756155762,0.361119725873,0.360670158953,0.943948260796
 01/02  13:00:00,1.08338120724,8.27835107289,0.0,7.40956368965,0.0,0.204009627157,0.204009627157,0.204009627157,0.127943439226,0.0278756155762,0.3518459739,0.354594551375,0.84436372123
 01/02  14:00:00,1.06837373861,8.46426011797,0.0,7.65396029916,0.0,0.210738668606,0.210738668606,0.210738668606,0.127943439226,0.0278756155762,0.317847783081,0.366856232124,0.785031600252
 01/02  15:00:00,1.07346721628,8.45907802309,0.0,7.70629596735,0.0,0.212179641463,0.212179641463,0.212179641463,0.134677344045,0.0293427618652,0.292642171022,0.387513297889,0.726091025726
 01/02  16:00:00,1.14742938209,8.51101060286,0.0,7.74969357,0.0,0.213374520015,0.213374520015,0.213374520015,0.168346700955,0.0366784568848,0.302863615842,0.409054088393,0.733142322446
 01/02  17:00:00,1.41028087508,8.50668011379,0.0,7.66950353844,0.0,0.21116662504,0.21116662504,0.21116662504,0.282822414136,0.0616197980958,0.353720743409,0.4838392944,0.803850830915
 01/02  18:00:00,1.89538401001,8.46680186319,0.0,7.47227343972,0.0,0.205736232565,0.205736232565,0.205736232565,0.525241650136,0.114436773096,0.445069937436,0.587787416781,0.954042970021
 01/02  19:00:00,2.23024636667,8.23177159819,0.0,7.09593142367,0.0,0.195374300662,0.195374300662,0.195374300662,0.781128612181,0.170188022461,0.398283704478,0.638159726883,1.09188519151
 01/02  20:00:00,2.19129843893,8.11134522495,0.0,6.95196849538,0.0,0.19141052836,0.19141052836,0.19141052836,0.828265695136,0.180457991846,0.315345896534,0.658706327056,1.11400654372
 01/02  21:00:00,2.03352016316,7.9754973172,0.0,6.89619305712,0.0,0.189874847335,0.189874847335,0.189874847335,0.713789981955,0.155516632422,0.275874927963,0.681351773484,1.03237430765
 01/02  22:00:00,1.86210391559,7.92691120062,0.0,6.94851448049,0.0,0.191315427984,0.191315427984,0.191315427984,0.599314185181,0.130575291211,0.258342283024,0.665444728188,0.932562408614
 01/02  23:00:00,1.54565331982,7.97821818157,0.0,7.1671782852,0.0,0.19733596079,0.19733596079,0.19733596079,0.45116911509,0.0982982549805,0.205880856148,0.57585713281,0.771376173606
 01/02  24:00:00,1.23575954881,8.07938187153,0.0,7.44812768957,0.0,0.20507142075,0.20507142075,0.20507142075,0.309757866226,0.0674883468263,0.135920781757,0.500409133249,0.596787144911
 01/03  01:00:00,0.927808146165,8.19861129586,0.0,7.75745520442,0.0,0.213588223306,0.213588223306,0.213588223306,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.412646601858
 01/03  02:00:00,0.804464800536,8.31593246783,0.0,7.96104237449,0.0,0.219193646837,0.219193646837,0.219193646837,0.0942741659095,0.0205399387695,0.0722387554862,0.381106293534,0.328640363141
 01/03  03:00:00,0.758062286245,8.41359097245,0.0,8.08248308131,0.0,0.222537308402,0.222537308402,0.222537308402,0.0673386720226,0.0146713809326,0.0597152550472,0.376687669841,0.305162505639
 01/03  04:00:00,0.747407235581,8.48328903795,0.0,8.14609795569,0.0,0.224288834854,0.224288834854,0.224288834854,0.0673386720226,0.0146713809326,0.0526110263622,0.371385321409,0.311610910386
 01/03  05:00:00,0.742134589626,8.48470599242,0.0,8.0812964591,0.0,0.222504636794,0.222504636794,0.222504636794,0.0673386720226,0.0146713809326,0.0631517086927,0.357356191184,0.378795655877
 01/03  06:00:00,0.794473571382,8.71108423062,0.0,8.01172994468,0.0,0.220589242142,0.220589242142,0.220589242142,0.0673386720226,0.0146713809326,0.0759814879778,0.398780788307,0.671887176942
 01/03  07:00:00,1.01295351871,9.12235427735,0.0,7.87077701463,0.0,0.216708344978,0.216708344978,0.216708344978,0.15487897491,0.0337441825195,0.129758030703,0.460751985603,1.21984171934
