Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.883675428428,0.863228076845,0.0,0.835260698471,0.0,0.022050773892,0.022050773892,0.022050773892,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803433284
 01/01  02:00:00,0.704340896664,1.17714046474,0.0,1.15138987617,0.0,0.0303758321333,0.0303758321333,0.0303758321333,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.098084409981
 01/01  03:00:00,0.641708965058,1.30771459193,0.0,1.28226256091,0.0,0.0337802714617,0.0337802714617,0.0337802714617,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417455258
 01/01  04:00:00,0.633696804397,1.34609932327,0.0,1.3210055613,0.0,0.0346540720529,0.0346540720529,0.0346540720529,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553544
 01/01  05:00:00,0.681922835353,1.38877818688,0.0,1.36463234513,0.0,0.0357657949518,0.0357657949518,0.0357657949518,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137188675
 01/01  06:00:00,0.94654518557,1.32334764267,0.0,1.2964028239,0.0,0.0339989215702,0.0339989215702,0.0339989215702,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635094908
 01/01  07:00:00,1.56140644637,1.16076973874,0.0,1.12963765035,0.0,0.0296135204012,0.0296135204012,0.0296135204012,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252541
 01/01  08:00:00,1.99202175606,1.12817628631,0.0,1.09509610992,0.0,0.0286860486998,0.0286860486998,0.0286860486998,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255572
 01/01  09:00:00,1.93457789976,1.03744541589,0.0,1.00947803751,0.0,0.0264656675444,0.0264656675444,0.0264656675444,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.69210716106,1.09091464845,0.0,1.06711214788,0.0,0.0280019362683,0.0280019362683,0.0280019362683,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.58780262415,1.18481835157,0.0,1.1604560556,0.0,0.0305120146321,0.0305120146321,0.0305120146321,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958447734
 01/01  12:00:00,1.49669638689,0.640422063849,0.0,0.616052303937,0.0,0.0161740679044,0.0161740679044,0.0161740679044,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266158326
 01/01  13:00:00,1.38807029552,0.0239592432832,0.0,0.0,0.0,0.0,0.0,0.0,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.47572608709
 01/01  14:00:00,1.32146729107,0.193110278565,0.0,0.168322538084,0.0,0.00440275532728,0.00440275532728,0.00440275532728,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430912735382
 01/01  15:00:00,1.27503015476,0.101205013754,0.0,0.0750215167333,0.0,0.00196625350472,0.00196625350472,0.00196625350472,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516433339
 01/01  16:00:00,1.34616098413,0.0276389650709,0.0,0.0,0.0,0.0,0.0,0.0,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328055991
 01/01  17:00:00,1.6563043726,0.0326920515826,0.0,0.0,0.0,0.0,0.0,0.0,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447794302087
 01/01  18:00:00,2.23852872489,0.0397156179158,0.0,0.0,0.0,0.0,0.0,0.0,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.5564670943
 01/01  19:00:00,2.67372471882,0.043119173971,0.0,0.0,0.0,0.0,0.0,0.0,0.744427560815,0.160369475696,0.432594020017,0.626011142216,0.663678520072
 01/01  20:00:00,2.6581829655,0.0445074665725,0.0,0.0,0.0,0.0,0.0,0.0,0.789349924612,0.170046944353,0.349590650728,0.646166598759,0.686384847049
 01/01  21:00:00,2.45055866311,0.0460375740095,0.0,0.0,0.0,0.0,0.0,0.0,0.680252812296,0.146544515569,0.310730298291,0.668380946025,0.628006090926
 01/01  22:00:00,2.20759145656,0.0449627668342,0.0,0.0,0.0,0.0,0.0,0.0,0.571155699981,0.123042103946,0.293949140492,0.652776721604,0.55002379054
