Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.79354237467,5.63867615473,0.0,5.24699805598,0.140490851799,0.140490851799,0.140490851799,0.13299183107,0.0275544175015,0.092942924749,0.38421434955,0.365211951413
 01/01  02:00:00,0.691040642445,5.99183749935,0.0,5.68037217253,0.15209464851,0.15209464851,0.15209464851,0.0775785967864,0.0160734078338,0.0761857795615,0.353760209753,0.287096976594
 01/01  03:00:00,0.660171469133,6.48729776351,0.0,6.19761431291,0.16594405118,0.16594405118,0.16594405118,0.0554132755573,0.0114810068172,0.0623264934745,0.349658642104,0.265597631977
 01/01  04:00:00,0.656952840004,6.86844480059,0.0,6.57308163717,0.17599736617,0.17599736617,0.17599736617,0.0554132755573,0.0114810068172,0.0539764305342,0.344736760925,0.271616382711
 01/01  05:00:00,0.664097942919,7.24151642618,0.0,6.88385659917,0.184318512598,0.184318512598,0.184318512598,0.0554132755573,0.0114810068172,0.0658228643082,0.331714283638,0.334810084115
 01/01  06:00:00,0.72254360207,7.73068880438,0.0,7.09816266543,0.190056658767,0.190056658767,0.190056658767,0.0554132755573,0.0114810068172,0.080078180578,0.370166480351,0.607027662344
 01/01  07:00:00,0.948428852835,9.03320271803,0.0,7.88592959275,0.211149490412,0.211149490412,0.211149490412,0.127450542036,0.0264063108338,0.14038354292,0.427690966632,1.11781214302
 01/01  08:00:00,1.21816339337,8.40562703376,0.0,7.11066091958,0.190391305426,0.190391305426,0.190391305426,0.260442373107,0.0539607283354,0.228567290958,0.454453695544,1.26366161325
 01/01  09:00:00,1.17391214575,7.69214599121,0.0,6.43116908616,0.172197590573,0.172197590573,0.172197590573,0.24935972625,0.0516645292523,0.30112795013,0.38421434955,1.23451075772
 01/01  10:00:00,1.01565501434,6.53934873492,0.0,5.39255196524,0.144388126484,0.144388126484,0.144388126484,0.127450542036,0.0264063108338,0.375064554145,0.326997480842,1.12427193813
 01/01  11:00:00,1.01930643635,6.4797952673,0.0,5.46688789025,0.146378505995,0.146378505995,0.146378505995,0.105285248323,0.0218139126677,0.395792849183,0.334687920184,0.989852798755
 01/01  12:00:00,0.986838006394,4.47595438751,0.0,3.5850684196,0.0959919006364,0.0959919006364,0.0959919006364,0.105285248323,0.0218139126677,0.413608485392,0.334790459375,0.86782432632
 01/01  13:00:00,0.936309630986,3.22669747721,0.0,2.4296559589,0.0650551861469,0.0650551861469,0.0650551861469,0.105285248323,0.0218139126677,0.399656479991,0.329150803858,0.774368357673
 01/01  14:00:00,0.893838243443,2.58571388543,0.0,1.84581664797,0.0494226127725,0.0494226127725,0.0494226127725,0.105285248323,0.0218139126677,0.361435815596,0.340532654084,0.716440051639
 01/01  15:00:00,0.883290841786,2.28047047484,0.0,1.5939610089,0.0426790590517,0.0426790590517,0.0426790590517,0.110826537357,0.0229620193354,0.331767743197,0.359707482845,0.661731444906
 01/01  16:00:00,0.948195618314,2.41141579234,0.0,1.71749371698,0.0459867056713,0.0459867056713,0.0459867056713,0.138533188893,0.0287025099169,0.339922588697,0.379702625135,0.667766712789
 01/01  17:00:00,1.19357187947,2.95409027547,0.0,2.18511976907,0.0585076141376,0.0585076141376,0.0585076141376,0.23273572157,0.0482202235015,0.389638662656,0.4491216576,0.738033296558
 01/01  18:00:00,1.65630901794,4.39437946425,0.0,3.47903077582,0.0931526926285,0.0931526926285,0.0931526926285,0.432223571359,0.0895518497538,0.480421867651,0.54561103655,0.877764922766
 01/01  19:00:00,1.92332955183,3.93406944766,0.0,2.87744501795,0.0770449497531,0.0770449497531,0.0770449497531,0.642793999216,0.133179675089,0.432594020017,0.592368907752,1.01581980384
 01/01  20:00:00,1.87646954497,3.97370800722,0.0,2.88659781835,0.077290020308,0.077290020308,0.077290020308,0.681583297609,0.141216379006,0.349590650728,0.611441197322,1.04499179108
 01/01  21:00:00,1.75346972175,4.21987005051,0.0,3.20630497131,0.0858503303683,0.0858503303683,0.0858503303683,0.587380696143,0.121698665421,0.310730298291,0.632461731524,0.969998706977
 01/01  22:00:00,1.62000490149,4.55934881645,0.0,3.64708999824,0.0976525577054,0.0976525577054,0.0976525577054,0.493178163466,0.102180951837,0.293949140492,0.617696087987,0.869709559734
 01/01  23:00:00,1.34629130143,5.01224225297,0.0,4.25914809991,0.114040702533,0.114040702533,0.114040702533,0.371268979252,0.0769227476707,0.234174068073,0.534536803897,0.716273222715
 01/01  24:00:00,1.0711930492,5.51385351613,0.0,4.93635233401,0.132173165835,0.132173165835,0.132173165835,0.254901084073,0.05281263592,0.151455627092,0.464502536285,0.545504478778
 01/02  01:00:00,0.798061964827,6.03920263956,0.0,5.66130533897,0.151584125033,0.151584125033,0.151584125033,0.13299183107,0.0275544175015,0.0863692416722,0.38421434955,0.351431153264
 01/02  02:00:00,0.698945177135,6.4271779339,0.0,6.12299961059,0.163946207275,0.163946207275,0.163946207275,0.0775785967864,0.0160734078338,0.0722387554862,0.353760209753,0.279809973087
 01/02  03:00:00,0.664809635445,6.75270685242,0.0,6.46836228039,0.17319345592,0.17319345592,0.17319345592,0.0554132755573,0.0114810068172,0.0597152550472,0.349658642104,0.260258753406
 01/02  04:00:00,0.658637825876,6.97663295321,0.0,6.68700642607,0.179047756215,0.179047756215,0.179047756215,0.0554132755573,0.0114810068172,0.0526110263622,0.344736760925,0.26587974643
 01/02  05:00:00,0.659747328545,7.16705721412,0.0,6.82113282229,0.182639053839,0.182639053839,0.182639053839,0.0554132755573,0.0114810068172,0.0631517086927,0.331714283638,0.323074648941
 01/02  06:00:00,0.710989548609,7.41840457789,0.0,6.81964803307,0.182599297906,0.182599297906,0.182599297906,0.0554132755573,0.0114810068172,0.0759814879778,0.370166480351,0.57325806821
 01/02  07:00:00,0.903487628302,7.67416425181,0.0,6.60431962668,0.176833778097,0.176833778097,0.176833778097,0.127450542036,0.0264063108338,0.129758030703,0.427690966632,1.04038364288
 01/02  08:00:00,1.1769336065,7.56182102143,0.0,6.36115313776,0.170322880476,0.170322880476,0.170322880476,0.260442373107,0.0539607283354,0.207405929039,0.454453695544,1.16936338275
 01/02  09:00:00,1.13348662108,7.29514574402,0.0,6.13282799061,0.164209366794,0.164209366794,0.164209366794,0.24935972625,0.0516645292523,0.268690649238,0.38421434955,1.13585160608
 01/02  10:00:00,0.976785490059,6.67846411245,0.0,5.62267056353,0.150549660669,0.150549660669,0.150549660669,0.127450542036,0.0264063108338,0.330033495679,0.326997480842,1.03326871737
 01/02  11:00:00,0.989263204659,7.18111634597,0.0,6.24644454039,0.16725150359,0.16725150359,0.16725150359,0.105285248323,0.0218139126677,0.344876619894,0.334687920184,0.911617227276
 01/02  12:00:00,0.97001949567,5.74317728323,0.0,4.91726709081,0.131662149431,0.131662149431,0.131662149431,0.105285248323,0.0218139126677,0.361119725873,0.334790459375,0.80284855083
 01/02  13:00:00,0.91914780159,4.31500002918,0.0,3.57431089535,0.0957038628421,0.0957038628421,0.0957038628421,0.105285248323,0.0218139126677,0.3518459739,0.329150803858,0.718015973191
 01/02  14:00:00,0.882232321666,3.73125762353,0.0,3.04027216387,0.0814047235098,0.0814047235098,0.0814047235098,0.105285248323,0.0218139126677,0.317847783081,0.340532654084,0.667528273834
 01/02  15:00:00,0.876098606552,3.42881942808,0.0,2.78659493991,0.074612395993,0.074612395993,0.074612395993,0.110826537357,0.0229620193354,0.292642171022,0.359707482845,0.617446467138
 01/02  16:00:00,0.93825513387,3.38018073166,0.0,2.73030454525,0.0731051940826,0.0731051940826,0.0731051940826,0.138533188893,0.0287025099169,0.302863615842,0.379702625135,0.623720823836
 01/02  17:00:00,1.17290626895,3.46976827284,0.0,2.75475710292,0.0737599228664,0.0737599228664,0.0737599228664,0.23273572157,0.0482202235015,0.353720743409,0.4491216576,0.684073960076
 01/02  18:00:00,1.62518559259,4.48754596548,0.0,3.63695534179,0.097381197491,0.097381197491,0.097381197491,0.432223571359,0.0895518497538,0.445069937436,0.54561103655,0.813006858021
 01/02  19:00:00,1.88630791009,3.74891025405,0.0,2.77618345452,0.0743336235531,0.0743336235531,0.0743336235531,0.642793999216,0.133179675089,0.398283704478,0.592368907752,0.931922173656
 01/02  20:00:00,1.83378204741,3.56457682517,0.0,2.57128150076,0.0688472769389,0.0688472769389,0.0688472769389,0.681583297609,0.141216379006,0.315345896534,0.611441197322,0.951176926615
 01/02  21:00:00,1.70416485183,3.590862362,0.0,2.66665064288,0.0714008307745,0.0714008307745,0.0714008307745,0.587380696143,0.121698665421,0.275874927963,0.632461731524,0.880645346898
 01/02  22:00:00,1.56416928112,3.72884472177,0.0,2.89159397653,0.0774237948034,0.0774237948034,0.0774237948034,0.493178163466,0.102180951837,0.258342283024,0.617696087987,0.79470148677
 01/02  23:00:00,1.29118682227,3.95191097682,0.0,3.25781124954,0.0872294353011,0.0872294353011,0.0872294353011,0.371268979252,0.0769227476707,0.205880856148,0.534536803897,0.657278796929
 01/02  24:00:00,1.02325291594,4.26678681008,0.0,3.72609215979,0.099767877904,0.099767877904,0.099767877904,0.254901084073,0.05281263592,0.135920781757,0.464502536285,0.508697946953
