Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.943010286577,8.52703924805,0.0,8.07083798472,0.0,0.222216680641,0.222216680641,0.222216680641,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.427691773747
 01/01  02:00:00,0.810157431319,8.38712370556,0.0,8.02444224565,0.0,0.220939253545,0.220939253545,0.220939253545,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.336431729707
 01/01  03:00:00,0.755090852042,8.21669586578,0.0,7.87972221659,0.0,0.216954635771,0.216954635771,0.216954635771,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.31102826369
 01/01  04:00:00,0.739793127005,8.16360245333,0.0,7.8199649563,0.0,0.215309322106,0.215309322106,0.215309322106,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.318057325165
 01/01  05:00:00,0.73428847554,8.11626578234,0.0,7.69931262441,0.0,0.211987367093,0.211987367093,0.211987367093,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.392339280483
 01/01  06:00:00,0.78695000306,8.32758084463,0.0,7.58968582552,0.0,0.208968981219,0.208968981219,0.208968981219,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.710427910113
 01/01  07:00:00,1.0246574892,9.24946479082,0.0,7.90994627008,0.0,0.217786803243,0.217786803243,0.217786803243,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30778297736
 01/01  08:00:00,1.34855690213,9.24489453361,0.0,7.7305284682,0.0,0.212846841809,0.212846841809,0.212846841809,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.48064467288
 01/01  09:00:00,1.29421531565,8.4867495009,0.0,7.01026153835,0.0,0.193015527313,0.193015527313,0.193015527313,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44797847296
 01/01  10:00:00,1.11763825562,8.04846665003,0.0,6.70329644979,0.0,0.184563770112,0.184563770112,0.184563770112,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.3209063192
 01/01  11:00:00,1.13332084696,8.59985186957,0.0,7.41056692825,0.0,0.204037249611,0.204037249611,0.204037249611,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16445041396
 01/01  12:00:00,1.10374346733,6.7306447724,0.0,5.68525584356,0.0,0.156533768184,0.156533768184,0.156533768184,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.02054679286
 01/01  13:00:00,1.06404537483,5.90727222039,0.0,4.97083038778,0.0,0.136863288656,0.136863288656,0.136863288656,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.912018170594
 01/01  14:00:00,1.02853815201,5.49333596002,0.0,4.62404142862,0.0,0.127315049485,0.127315049485,0.127315049485,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.844026312856
 01/01  15:00:00,1.0250345133,5.33348955387,0.0,4.52620772636,0.0,0.1246213663,0.1246213663,0.1246213663,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.780590797494
 01/01  16:00:00,1.10340873219,5.62085863186,0.0,4.80490788941,0.0,0.132294897257,0.132294897257,0.132294897257,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.78777603204
 01/01  17:00:00,1.38578734501,6.37872158824,0.0,5.47537923405,0.0,0.150755175726,0.150755175726,0.150755175726,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.870016609753
 01/01  18:00:00,1.91398298759,7.93635131935,0.0,6.86381161715,0.0,0.188983279926,0.188983279926,0.188983279926,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03205424875
 01/01  19:00:00,2.23941956187,7.41760598267,0.0,6.18295934146,0.0,0.170237180327,0.170237180327,0.170237180327,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.19069165821
 01/01  20:00:00,2.2060427618,7.51303609297,0.0,6.24371913549,0.0,0.171910097039,0.171910097039,0.171910097039,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22394677163
 01/01  21:00:00,2.0595140392,7.75883146246,0.0,6.57434645027,0.0,0.181013353053,0.181013353053,0.181013353053,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13755505976
 01/01  22:00:00,1.89761007936,8.01155062237,0.0,6.94485731799,0.0,0.191214734288,0.191214734288,0.191214734288,0.599314185181,0.130575291211,0.293949140492,0.665444728188,1.02085899286
 01/01  23:00:00,1.58365010891,8.39994687463,0.0,7.51960907023,0.0,0.20703953796,0.20703953796,0.20703953796,0.45116911509,0.0982982549805,0.234174068073,0.57585713281,0.840674081631
 01/01  24:00:00,1.27145024199,8.85442284137,0.0,8.1801815656,0.0,0.225227268592,0.225227268592,0.225227268592,0.309757866226,0.0674883468263,0.151455627092,0.500409133249,0.639774238726
 01/02  01:00:00,0.958743126809,9.32209319997,0.0,8.88100369824,0.0,0.24452320395,0.24452320395,0.24452320395,0.161612796136,0.0352113105958,0.0863692416722,0.413914574456,0.412580012145
