Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.998720106943,5.33659320092,0.0,5.30862582255,0.0,0.137095422267,0.137095422267,0.137095422267,0.154019476112,0.0331798974413,0.092942924749,0.40603492295,0.158803463423
 01/01  02:00:00,0.830594942258,6.13310336502,0.0,6.10735277645,0.0,0.156629870922,0.156629870922,0.156629870922,0.0898447275923,0.0193549373138,0.0761857795615,0.373851210082,0.0980844167871
 01/01  03:00:00,0.777407919448,6.67274047176,0.0,6.64728844073,0.0,0.169479224082,0.169479224082,0.169479224082,0.0641747963185,0.013824954979,0.0623264934745,0.369516703299,0.0814417472946
 01/01  04:00:00,0.778543439744,7.09314247788,0.0,7.06804871592,0.0,0.17950070736,0.17950070736,0.17950070736,0.0641747963185,0.013824954979,0.0539764305342,0.364315295158,0.0861072553934
 01/01  05:00:00,0.835152232137,7.4860794032,0.0,7.46193356145,0.0,0.188995174297,0.188995174297,0.188995174297,0.0641747963185,0.013824954979,0.0658228643082,0.350553236121,0.135137206114
 01/01  06:00:00,1.10538483101,7.65754770105,0.0,7.63060288228,0.0,0.192838557478,0.192838557478,0.192838557478,0.0641747963185,0.013824954979,0.080078180578,0.391189237216,0.346635104437
 01/01  07:00:00,1.72024499431,7.49988472145,0.0,7.46875263306,0.0,0.188452068202,0.188452068202,0.188452068202,0.147602041092,0.0317973945638,0.14038354292,0.451980694856,0.743385252674
 01/01  08:00:00,2.14443733079,7.23719729011,0.0,7.20411711372,0.0,0.181101623425,0.181101623425,0.181101623425,0.301621517204,0.0649772920051,0.228567290958,0.480263351619,0.856262255579
 01/01  09:00:00,2.08080989106,6.89757580674,0.0,6.86960842837,0.0,0.172697658852,0.172697658852,0.172697658852,0.2887865675,0.062212303412,0.30112795013,0.40603492295,0.833306488219
 01/01  10:00:00,1.82808925579,6.52969457904,0.0,6.50589207847,0.0,0.16398403099,0.16398403099,0.16398403099,0.147602041092,0.0317973945638,0.375064554145,0.345568553319,0.747428681675
 01/01  11:00:00,1.73315453043,6.9371065212,0.0,6.91274422522,0.0,0.175863916778,0.175863916778,0.175863916778,0.121932141685,0.0262674173776,0.395792849183,0.353695753539,0.642958451866
 01/01  12:00:00,1.61294439223,5.25219235038,0.0,5.22782259046,0.0,0.132422061557,0.132422061557,0.132422061557,0.121932141685,0.0262674173776,0.413608485392,0.353804116208,0.548266170013
 01/01  13:00:00,1.50417774198,4.56241027388,0.0,4.5384510306,0.0,0.116083362967,0.116083362967,0.116083362967,0.121932141685,0.0262674173776,0.399656479991,0.347844169381,0.475750170581
 01/01  14:00:00,1.41703593498,3.90635016734,0.0,3.88156242686,0.0,0.0999561347164,0.0999561347164,0.0999561347164,0.121932141685,0.0262674173776,0.361435815596,0.359872425705,0.430927999898
 01/01  15:00:00,1.36126596127,3.43260662501,0.0,3.40642312799,0.0,0.0882020589281,0.0882020589281,0.0882020589281,0.128349576704,0.0276499030931,0.331767743197,0.380136244918,0.388516434434
 01/01  16:00:00,1.4279566908,3.17382949171,0.0,3.14619052664,0.0,0.081795706658,0.081795706658,0.081795706658,0.160436990796,0.0345623831569,0.339922588697,0.401266965488,0.393328056
 01/01  17:00:00,1.73167537464,2.91999633245,0.0,2.88730428087,0.0,0.0752504156289,0.0752504156289,0.0752504156289,0.269534103112,0.0580648119413,0.389638662656,0.4746284928,0.447914888497
 01/01  18:00:00,2.33488153417,3.70891919168,0.0,3.66920357376,0.0,0.0961395043164,0.0961395043164,0.0961395043164,0.500563357112,0.107834640941,0.480421867651,0.576597764883,0.556680399269
