Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.767609666138,4.88545564925,0.0,4.50791042814,0.0,0.125042025624,0.125042025624,0.125042025624,0.128562410501,0.0263694190929,0.092942924749,0.379617886171,0.351395305324
 01/01  02:00:00,0.661151633086,4.99029059892,0.0,4.68614103693,0.0,0.129985849754,0.129985849754,0.129985849754,0.0749947671662,0.0153821588643,0.0761857795615,0.34952807774,0.280072377718
 01/01  03:00:00,0.620308686101,5.07479368902,0.0,4.7903587889,0.0,0.132876678891,0.132876678891,0.132876678891,0.0535676765835,0.0109872588647,0.0623264934745,0.345475578288,0.260636871607
 01/01  04:00:00,0.609824781523,5.17830707131,0.0,4.88874809772,0.0,0.135605836595,0.135605836595,0.135605836595,0.0535676765835,0.0109872588647,0.0539764305342,0.340612578945,0.266095931982
 01/01  05:00:00,0.608190282254,5.21271919115,0.0,4.8666037689,0.0,0.134991589312,0.134991589312,0.134991589312,0.0535676765835,0.0109872588647,0.0658228643082,0.327745893185,0.323538700182
 01/01  06:00:00,0.657357605219,5.35256512988,0.0,4.75555985432,0.0,0.131911413645,0.131911413645,0.131911413645,0.0535676765835,0.0109872588647,0.080078180578,0.365738075548,0.571811468249
 01/01  07:00:00,0.880439194668,6.61584202613,0.0,5.54935204848,0.0,0.153929904355,0.153929904355,0.153929904355,0.123205679416,0.0252706876143,0.14038354292,0.422574380363,1.0373810108
 01/01  08:00:00,1.14780057252,5.58871056946,0.0,4.38862145729,0.0,0.121733145648,0.121733145648,0.121733145648,0.251768089917,0.0516401067072,0.228567290958,0.449016939288,1.16915865399
 01/01  09:00:00,1.10689637028,5.51484244476,0.0,4.34698848166,0.0,0.120578315336,0.120578315336,0.120578315336,0.24105456125,0.0494426573893,0.30112795013,0.379617886171,1.1417040473
 01/01  10:00:00,0.977701853941,5.24472234631,0.0,4.18194981334,0.0,0.116000413951,0.116000413951,0.116000413951,0.123205679416,0.0252706876143,0.375064554145,0.323085518815,1.04051684003
 01/01  11:00:00,1.01113891115,6.23770135833,0.0,5.29709693426,0.0,0.146932762118,0.146932762118,0.146932762118,0.101778555585,0.0208757889786,0.395792849183,0.330683955288,0.917825314079
 01/01  12:00:00,0.99913443817,5.04804241993,0.0,4.21839488885,0.0,0.117011340441,0.117011340441,0.117011340441,0.101778555585,0.0208757889786,0.413608485392,0.330785267774,0.806861442197
 01/01  13:00:00,0.964192253915,4.40685241765,0.0,3.66255834468,0.0,0.101593348334,0.101593348334,0.101593348334,0.101778555585,0.0208757889786,0.399656479991,0.325213081027,0.721891823261
 01/01  14:00:00,0.92828063054,4.03312798955,0.0,3.34038190197,0.0,0.0926567033746,0.0926567033746,0.0926567033746,0.101778555585,0.0208757889786,0.361435815596,0.336458767007,0.669569180635
 01/01  15:00:00,0.915831112606,3.68980511851,0.0,3.04539652339,0.0,0.0844742938403,0.0844742938403,0.0844742938403,0.107135353167,0.0219745204572,0.331767743197,0.355404201945,0.619926634992
 01/01  16:00:00,0.966627784479,3.35834226374,0.0,2.7068186572,0.0,0.0750827003527,0.0750827003527,0.0750827003527,0.133919208083,0.0274681505715,0.339922588697,0.375160136774,0.625680762092
 01/01  17:00:00,1.19298466121,3.36614807479,0.0,2.64585192165,0.0,0.0733915833197,0.0733915833197,0.0733915833197,0.224984235001,0.0461464902322,0.389638662656,0.44374869,0.689728597447
 01/01  18:00:00,1.63961681382,4.51422988311,0.0,3.65947075543,0.0,0.101507703683,0.101507703683,0.101507703683,0.417827884001,0.0857006188716,0.480421867651,0.53908373961,0.817624432742
 01/01  19:00:00,1.89726258134,4.0659499711,0.0,3.08143959725,0.0,0.0854740694653,0.0854740694653,0.0854740694653,0.621385061668,0.127452196829,0.432594020017,0.585282233363,0.944193303256
 01/01  20:00:00,1.85013254935,4.16062107404,0.0,3.14780084115,0.0,0.087314821293,0.087314821293,0.087314821293,0.658882445251,0.135143276261,0.349590650728,0.604126355815,0.97120508802
 01/01  21:00:00,1.73651533549,4.60580066497,0.0,3.66035628271,0.0,0.101532266755,0.101532266755,0.101532266755,0.567817418333,0.1164649366,0.310730298291,0.624895415507,0.902398564108
 01/01  22:00:00,1.60602885965,4.89608143871,0.0,4.04347606642,0.0,0.112159379821,0.112159379821,0.112159379821,0.476752324918,0.0977865969395,0.293949140492,0.610306417479,0.81056451488
 01/01  23:00:00,1.33413360218,5.18581450632,0.0,4.47843669695,0.0,0.124224472767,0.124224472767,0.124224472767,0.358903443084,0.0736146271644,0.234174068073,0.528141991089,0.670996834994
 01/01  24:00:00,1.06242119842,5.59427794533,0.0,5.04688618413,0.0,0.139992327181,0.139992327181,0.139992327181,0.246411292335,0.050541388868,0.151455627092,0.458945562945,0.515777371416
 01/02  01:00:00,0.78887303011,5.87663785156,0.0,5.51146834442,0.0,0.152879072673,0.152879072673,0.152879072673,0.128562410501,0.0263694190929,0.0863692416722,0.379617886171,0.33901959135
 01/02  02:00:00,0.690874829263,6.19764073542,0.0,5.89999163025,0.0,0.163656070006,0.163656070006,0.163656070006,0.0749947671662,0.0153821588643,0.0722387554862,0.34952807774,0.273571920895
 01/02  03:00:00,0.647501500695,6.1444845556,0.0,5.86482955778,0.0,0.162680731912,0.162680731912,0.162680731912,0.0535676765835,0.0109872588647,0.0597152550472,0.345475578288,0.255856969302
 01/02  04:00:00,0.638368241168,6.25142433523,0.0,5.96699741769,0.0,0.165514700413,0.165514700413,0.165514700413,0.0535676765835,0.0109872588647,0.0526110263622,0.340612578945,0.260963875937
 01/02  05:00:00,0.635575162297,6.28578066895,0.0,5.95015880491,0.0,0.165047624972,0.165047624972,0.165047624972,0.0535676765835,0.0109872588647,0.0631517086927,0.327745893185,0.31304514198
 01/02  06:00:00,0.68676826931,6.53028669724,0.0,5.96353902689,0.0,0.165418770336,0.165418770336,0.165418770336,0.0535676765835,0.0109872588647,0.0759814879778,0.365738075548,0.541553863046
 01/02  07:00:00,0.875988273991,6.76903483031,0.0,5.77195325358,0.0,0.160104495894,0.160104495894,0.160104495894,0.123205679416,0.0252706876143,0.129758030703,0.422574380363,0.96797260989
 01/02  08:00:00,1.20343887313,8.27305834482,0.0,7.15733859776,0.0,0.198532808184,0.198532808184,0.198532808184,0.251768089917,0.0516401067072,0.207405929039,0.449016939288,1.08478928889
 01/02  09:00:00,1.12026931478,7.07819159155,0.0,5.99850109843,0.0,0.166388560734,0.166388560734,0.166388560734,0.24105456125,0.0494426573893,0.268690649238,0.379617886171,1.05354057733
 01/02  10:00:00,0.960893378465,6.18100822705,0.0,5.1994067486,0.0,0.144222996941,0.144222996941,0.144222996941,0.123205679416,0.0252706876143,0.330033495679,0.323085518815,0.959345785502
 01/02  11:00:00,0.956086769552,6.01892687327,0.0,5.14799248604,0.0,0.142796849807,0.142796849807,0.142796849807,0.101778555585,0.0208757889786,0.344876619894,0.330683955288,0.848155277242
 01/02  12:00:00,0.928932477816,4.351662088,0.0,3.57981340108,0.0,0.0992981396063,0.0992981396063,0.0992981396063,0.101778555585,0.0208757889786,0.361119725873,0.330785267774,0.749062598043
 01/02  13:00:00,0.898141704734,3.6991643839,0.0,3.00498358096,0.0,0.083353305244,0.083353305244,0.083353305244,0.101778555585,0.0208757889786,0.3518459739,0.325213081027,0.671778553231
 01/02  14:00:00,0.851763706658,2.80254724118,0.0,2.15325707698,0.0,0.0597278120067,0.0597278120067,0.0597278120067,0.101778555585,0.0208757889786,0.317847783081,0.336458767007,0.626113257244
 01/02  15:00:00,0.848106593473,2.61942947409,0.0,2.01437122944,0.0,0.0558753468824,0.0558753468824,0.0558753468824,0.107135353167,0.0219745204572,0.292642171022,0.355404201945,0.580576284529
 01/02  16:00:00,0.91153136765,2.66892313014,0.0,2.05654782721,0.0,0.0570452563791,0.0570452563791,0.0570452563791,0.133919208083,0.0274681505715,0.302863615842,0.375160136774,0.586532458477
 01/02  17:00:00,1.13497119528,2.52147186111,0.0,1.84928177028,0.0,0.051296036643,0.051296036643,0.051296036643,0.224984235001,0.0461464902322,0.353720743409,0.44374869,0.641622535142
 01/02  18:00:00,1.58409684497,3.72925203022,0.0,2.93238951032,0.0,0.0813396650474,0.0813396650474,0.0813396650474,0.417827884001,0.0857006188716,0.445069937436,0.53908373961,0.759727824972
 01/02  19:00:00,1.8362548413,3.02824560097,0.0,2.11896639897,0.0,0.0587766449622,0.0587766449622,0.0587766449622,0.621385061668,0.127452196829,0.398283704478,0.585282233363,0.868962131407
 01/02  20:00:00,1.78908532892,3.11006835613,0.0,2.1815407663,0.0,0.0605123550586,0.0605123550586,0.0605123550586,0.658882445251,0.135143276261,0.315345896534,0.604126355815,0.886912444946
 01/02  21:00:00,1.6713266753,3.43197392172,0.0,2.56680591048,0.0,0.0711989768975,0.0711989768975,0.0711989768975,0.567817418333,0.1164649366,0.275874927963,0.624895415507,0.822122193098
 01/02  22:00:00,1.54960252133,4.07824384506,0.0,3.29290957189,0.0,0.0913398989684,0.0913398989684,0.0913398989684,0.476752324918,0.0977865969395,0.258342283024,0.610306417479,0.743293415765
 01/02  23:00:00,1.29963877228,4.90932332432,0.0,4.25486115753,0.0,0.118022854794,0.118022854794,0.118022854794,0.358903443084,0.0736146271644,0.205880856148,0.528141991089,0.618081192407
 01/02  24:00:00,1.04612503672,5.53386119297,0.0,5.01943984374,0.0,0.139231010812,0.139231010812,0.139231010812,0.246411292335,0.050541388868,0.135920781757,0.458945562945,0.48280695944
