Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,0.795707388837,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.092942924749,0.405549025336,0.127208609158
 01/01  02:00:00,0.690008804027,0.0,0.050965487025,0.0,0.00155006646595,0.0525155534909,0.00155006646595,0.0749947671662,0.0153821588643,0.0761857795615,0.37340382637,0.0824517185744
 01/01  03:00:00,0.838058406111,0.0,0.248989609133,0.0,0.00760888194536,0.256598491078,0.00760888194536,0.0535676765835,0.0109872588647,0.0623264934745,0.369074506644,0.0704289794666
 01/01  04:00:00,1.01745642974,0.0,0.432765914299,0.0,0.0133363454098,0.446102259709,0.0133363454098,0.0535676765835,0.0109872588647,0.0539764305342,0.363879322973,0.0738684810754
 01/01  05:00:00,1.19758118374,0.0,0.574091234414,0.0,0.0177548173803,0.591846051795,0.0177548173803,0.0535676765835,0.0109872588647,0.0658228643082,0.350133732842,0.110148599342
 01/01  06:00:00,1.51711190236,0.0,0.677097778228,0.0,0.021023871251,0.698121649479,0.021023871251,0.0535676765835,0.0109872588647,0.080078180578,0.390721105274,0.268561031582
 01/01  07:00:00,2.00737807803,0.0,0.666235959496,0.0,0.0206975793903,0.686933538886,0.0206975793903,0.123205679416,0.0252706876143,0.14038354292,0.451439814432,0.565069814763
 01/01  08:00:00,2.40447725997,0.0,0.679932128722,0.0,0.0210562437272,0.70098837245,0.0210562437272,0.251768089917,0.0516401067072,0.228567290958,0.479688625644,0.646749774292
 01/01  09:00:00,1.90732106572,0.0,0.259594804299,0.0,0.00792254513767,0.267517349436,0.00792254513767,0.24105456125,0.0494426573893,0.30112795013,0.405549025336,0.627554522175
 01/01  10:00:00,1.44519385639,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.375064554145,0.345155015158,0.56142292006
 01/01  11:00:00,1.36946535933,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.395792849183,0.353272489644,0.48267067594
 01/01  12:00:00,1.3165708093,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.413608485392,0.353380722637,0.411852256703
 01/01  13:00:00,1.2426368044,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.399656479991,0.347427908014,0.357823071835
 01/01  14:00:00,1.1840477201,0.0,0.0,0.0,0.0,0.0,0.0,0.101778555585,0.0208757889786,0.361435815596,0.359441770253,0.325440789685
 01/01  15:00:00,1.14954604415,0.0,0.0,0.0,0.0,0.0,0.0,0.107135353167,0.0219745204572,0.331767743197,0.379681339973,0.293912087351
 01/01  16:00:00,1.21487590127,0.0,0.0,0.0,0.0,0.0,0.0,0.133919208083,0.0274681505715,0.339922588697,0.400786773637,0.297704180284
 01/01  17:00:00,1.48824152115,0.0,0.0,0.0,0.0,0.0,0.0,0.224984235001,0.0461464902322,0.389638662656,0.47406051,0.33833662326
 01/01  18:00:00,1.99592450371,0.0,0.0,0.0,0.0,0.0,0.0,0.417827884001,0.0857006188716,0.480421867651,0.575907756555,0.420991376628
 01/01  19:00:00,2.35467571859,0.0,0.0,0.0,0.0,0.0,0.0,0.621385061668,0.127452196829,0.432594020017,0.625262001432,0.50290743864
 01/01  20:00:00,2.32484793681,0.0,0.0,0.0,0.0,0.0,0.0,0.658882445251,0.135143276261,0.349590650728,0.645393338158,0.520763226418
 01/01  21:00:00,2.15367944327,0.0,0.0,0.0,0.0,0.0,0.0,0.567817418333,0.1164649366,0.310730298291,0.667581101753,0.476010688294
 01/01  22:00:00,1.952328931,0.0,0.0,0.0,0.0,0.0,0.0,0.476752324918,0.0977865969395,0.293949140492,0.65199555074,0.416770317914
 01/01  23:00:00,1.57471364197,0.0,0.0,0.0,0.0,0.0,0.0,0.358903443084,0.0736146271644,0.234174068073,0.564218593295,0.32872791035
 01/01  24:00:00,1.18460794749,0.0,0.0,0.0,0.0,0.0,0.0,0.246411292335,0.050541388868,0.151455627092,0.490295458973,0.230829180225
 01/02  01:00:00,0.780426336423,0.0,0.0,0.0,0.0,0.0,0.0,0.128562410501,0.0263694190929,0.0863692416722,0.405549025336,0.118501239821
 01/02  02:00:00,0.627989684674,0.0,0.0,0.0,0.0,0.0,0.0,0.0749947671662,0.0153821588643,0.0722387554862,0.37340382637,0.0768951767871
 01/02  03:00:00,0.574599138482,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0597152550472,0.369074506644,0.0661794413432
 01/02  04:00:00,0.565685587958,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0526110263622,0.363879322973,0.0695653031754
 01/02  05:00:00,0.59553701407,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0631517086927,0.350133732842,0.102621637086
 01/02  06:00:00,0.794829151129,0.0,0.0,0.0,0.0,0.0,0.0,0.0535676765835,0.0109872588647,0.0759814879778,0.390721105274,0.248496622429
 01/02  07:00:00,1.26482795733,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.129758030703,0.451439814432,0.520078745168
 01/02  08:00:00,1.62806935674,0.0,0.0,0.0,0.0,0.0,0.0,0.251768089917,0.0516401067072,0.207405929039,0.479688625644,0.592491605429
 01/02  09:00:00,1.55121148932,0.0,0.0,0.0,0.0,0.0,0.0,0.24105456125,0.0494426573893,0.268690649238,0.405549025336,0.571399596105
 01/02  10:00:00,1.34881292854,0.0,0.0,0.0,0.0,0.0,0.0,0.123205679416,0.0252706876143,0.330033495679,0.345155015158,0.510073050671
