Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,4.53770451576,0.0,3.38080702437,0.0,0.116944778875,3.49775180324,0.116944778875,0.205180948854,0.044615467641,0.122837147866,0.492803099408,0.154086048751
 01/01  02:00:00,4.90973212006,0.0,3.94825123135,0.0,0.136602881939,4.08485411329,0.136602881939,0.119688825964,0.0260256990727,0.102975685881,0.453741844932,0.102015950921
 01/01  03:00:00,5.32771728469,0.0,4.4265311172,0.0,0.153227902201,4.5797590194,0.153227902201,0.0854920495992,0.0185897824145,0.0864965903205,0.448481069918,0.0884687730368
 01/01  04:00:00,5.22117850787,0.0,4.33508812632,0.0,0.15012289295,4.48521101927,0.15012289295,0.0854920495992,0.0185897824145,0.0763456071944,0.442168139901,0.092941909481
 01/01  05:00:00,5.3777996875,0.0,4.44827600788,0.0,0.154074564704,4.60235057258,0.154074564704,0.0854920495992,0.0185897824145,0.0899621050554,0.425465179233,0.135509998615
 01/01  06:00:00,5.93843745817,0.0,4.747358399,0.0,0.164440826952,4.91179922595,0.164440826952,0.0854920495992,0.0185897824145,0.106595392246,0.474784944986,0.320746062976
 01/01  07:00:00,7.04814497971,0.0,5.21472714583,0.0,0.180626719211,5.39535386504,0.180626719211,0.196631694114,0.0427565023227,0.177474275597,0.548567314553,0.666931328083
 01/01  08:00:00,6.31179771068,0.0,3.99974789786,0.0,0.138613981666,4.13836187953,0.138613981666,0.401812642967,0.0873719699637,0.281086459277,0.582893871518,0.762340887429
 01/01  09:00:00,5.45906985457,0.0,3.25890992251,0.0,0.11299006293,3.37189998544,0.11299006293,0.384714237118,0.08365401625,0.36605048386,0.492803099408,0.739518032494
 01/01  10:00:00,4.68700849921,0.0,2.79675809523,0.0,0.096907987242,2.89366608247,0.096907987242,0.196631694114,0.0427565023227,0.45251754537,0.419415287967,0.661591386963
 01/01  11:00:00,4.33353301442,0.0,2.55271721286,0.0,0.0884066704731,2.64112388333,0.0884066704731,0.162434887409,0.0353205718184,0.476182943291,0.429279241118,0.568761487447
 01/01  12:00:00,3.64229062749,0.0,1.94490300245,0.0,0.0673429085708,2.01224591102,0.0673429085708,0.162434887409,0.0353205718184,0.496972028135,0.429410760493,0.485476468612
 01/01  13:00:00,3.15999248455,0.0,1.56260044248,0.0,0.0540968307087,1.61669727319,0.0540968307087,0.162434887409,0.0353205718184,0.481415945109,0.422177194849,0.421516612177
 01/01  14:00:00,2.66279450552,0.0,1.14856655675,0.0,0.0397507719257,1.18831732868,0.0397507719257,0.162434887409,0.0353205718184,0.43681890348,0.436775845512,0.38269696862
 01/01  15:00:00,2.34832123438,0.0,0.880025712475,0.0,0.0304477687934,0.910473481268,0.0304477687934,0.170984139652,0.0371795602137,0.402002089622,0.461369968701,0.345881994928
 01/01  16:00:00,2.20715730829,0.0,0.654893534975,0.0,0.0226521571817,0.677545692157,0.0226521571817,0.213730097466,0.0464744560363,0.411726405573,0.487016246893,0.350234410165
 01/01  17:00:00,2.70806609143,0.0,0.779263522406,0.0,0.0269482885144,0.806211810921,0.0269482885144,0.359066581522,0.078077074141,0.470575105936,0.576054864,0.397650654909
 01/01  18:00:00,3.67179290331,0.0,1.03178295824,0.0,0.0356755188332,1.06745847707,0.0356755188332,0.666837950491,0.145000287141,0.578065905983,0.699814596197,0.494185686427
 01/01  19:00:00,3.99179486305,0.0,0.831692056921,0.0,0.0287526567012,0.860444713622,0.0287526567012,0.991707725308,0.215641453855,0.522761393651,0.759787431353,0.59102214526
 01/01  20:00:00,4.03944262102,0.0,0.885972635978,0.0,0.0306320679065,0.916604703884,0.0306320679065,1.05155219011,0.228654303391,0.425376441419,0.784250035167,0.61257494705
 01/01  21:00:00,4.03059774444,0.0,1.11667696315,0.0,0.0386095226091,1.15528648576,0.0386095226091,0.906215706049,0.197051685286,0.37951047539,0.811211507112,0.560891884847
 01/01  22:00:00,3.64827526075,0.0,1.02238429613,0.0,0.0353485866342,1.05773288276,0.0353485866342,0.76087922449,0.165449067182,0.359614732068,0.792272717063,0.491896637184
 01/01  23:00:00,3.92410908207,0.0,1.78070052073,0.0,0.0615774079665,1.8422779287,0.0615774079665,0.572796678988,0.124551530177,0.289154633287,0.68561050366,0.389287807262
 01/01  24:00:00,3.96526926652,0.0,2.32299718304,0.0,0.0803308188432,2.40332800188,0.0803308188432,0.393263388227,0.0855129815683,0.191618322082,0.595782770301,0.275333802456
 01/02  01:00:00,3.92439360687,0.0,2.80441894551,0.0,0.0970012514676,2.90142019698,0.0970012514676,0.205180948854,0.044615467641,0.115167850971,0.492803099408,0.144776043021
 01/02  02:00:00,3.86395485287,0.0,2.94775559748,0.0,0.101982219547,3.04973781703,0.101982219547,0.119688825964,0.0260256990727,0.0983708244822,0.453741844932,0.0959598413983
 01/02  03:00:00,4.11731763178,0.0,3.26439654082,0.0,0.112961816748,3.37735835757,0.112961816748,0.0854920495992,0.0185897824145,0.0834501454999,0.448481069918,0.0835162267862
 01/02  04:00:00,4.38149033415,0.0,3.53033589969,0.0,0.122178884674,3.65251478436,0.122178884674,0.0854920495992,0.0185897824145,0.0747526356716,0.442168139901,0.0875429422042
 01/02  05:00:00,4.53114122721,0.0,3.642280079,0.0,0.126050590543,3.76833066954,0.126050590543,0.0854920495992,0.0185897824145,0.0868457568597,0.425465179233,0.125987789557
 01/02  06:00:00,4.80116543395,0.0,3.676613072,0.0,0.127259566367,3.80387263837,0.127259566367,0.0854920495992,0.0185897824145,0.101815917579,0.474784944986,0.296180100999
 01/02  07:00:00,5.20474408638,0.0,3.49711791349,0.0,0.121055299189,3.61817321268,0.121055299189,0.196631694114,0.0427565023227,0.165077844744,0.548567314553,0.613107517967
 01/02  08:00:00,5.29398189209,0.0,3.10234465679,0.0,0.107395966386,3.20974062317,0.107395966386,0.401812642967,0.0873719699637,0.25639820385,0.582893871518,0.697834580619
 01/02  09:00:00,4.60431812245,0.0,2.53437517334,0.0,0.0877312228013,2.62210639614,0.0877312228013,0.384714237118,0.08365401625,0.32820696637,0.492803099408,0.67240340716
 01/02  10:00:00,3.76991097156,0.0,2.02123252524,0.0,0.0699603675118,2.09119289275,0.0699603675118,0.196631694114,0.0427565023227,0.39998131075,0.419415287967,0.599503283654
 01/02  11:00:00,3.78834350177,0.0,2.13575409705,0.0,0.0738938455759,2.20964794262,0.0738938455759,0.162434887409,0.0353205718184,0.416780676038,0.429279241118,0.514450182765
 01/02  12:00:00,3.29671566863,0.0,1.712888144,0.0,0.0592525707014,1.7721407147,0.0592525707014,0.162434887409,0.0353205718184,0.435735142253,0.429410760493,0.441243591958
 01/02  13:00:00,2.12493153353,0.0,0.653020871333,0.0,0.022597360988,0.675618232321,0.022597360988,0.162434887409,0.0353205718184,0.425637021538,0.422177194849,0.383313625593
 01/02  14:00:00,1.84362448862,0.0,0.438486081129,0.0,0.0151702213874,0.453656302517,0.0151702213874,0.162434887409,0.0353205718184,0.385966199058,0.436775845512,0.349040682305
