Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.22253624713,3.41999814262,0.0,3.38545592827,0.0,0.0937849486765,0.0937849486765,0.0937849486765,0.247690813811,0.0559880573062,0.122837147866,0.500699824915,0.178765454557
 01/01  02:00:00,0.982166852866,4.01490187057,0.0,3.98309758995,0.0,0.110366331216,0.110366331216,0.110366331216,0.144486286704,0.0326596952687,0.102975685881,0.461012649041,0.107896204755
 01/01  03:00:00,0.885058723096,3.82332183554,0.0,3.7918863002,0.0,0.105078650826,0.105078650826,0.105078650826,0.103204501234,0.0233283533497,0.0864965903205,0.455667574849,0.0885130525165
 01/01  04:00:00,0.884122616936,4.18948107506,0.0,4.15848803406,0.0,0.11524202054,0.11524202054,0.11524202054,0.103204501234,0.0233283533497,0.0763456071944,0.449253485819,0.0939786487986
 01/01  05:00:00,0.943006986342,4.36911596176,0.0,4.33929368703,0.0,0.120259901186,0.120259901186,0.120259901186,0.103204501234,0.0233283533497,0.0899621050554,0.43228287526,0.151199250256
 01/01  06:00:00,1.25303741298,4.24652970884,0.0,4.21325044709,0.0,0.11678534579,0.11678534579,0.11678534579,0.103204501234,0.0233283533497,0.106595392246,0.482392945808,0.397960874556
 01/01  07:00:00,2.02566551822,4.22910512545,0.0,4.19065421112,0.0,0.116172918937,0.116172918937,0.116172918937,0.237370309854,0.0536552095187,0.177474275597,0.557357611348,0.860865192962
 01/01  08:00:00,2.65718765491,4.95917486061,0.0,4.91831788331,0.0,0.136367608679,0.136367608679,0.136367608679,0.485061123664,0.109643266825,0.281086459277,0.592234220449,0.992524976012
 01/01  09:00:00,2.54900022283,4.52236447148,0.0,4.48782225713,0.0,0.124459324357,0.124459324357,0.124459324357,0.464420241369,0.104977600209,0.36605048386,0.500699824915,0.965622748123
 01/01  10:00:00,2.17730908073,4.33195172734,0.0,4.30255350969,0.0,0.119369154265,0.119369154265,0.119369154265,0.237370309854,0.0536552095187,0.45251754537,0.42613603994,0.865490821786
