Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.29230452466,5.99564846014,0.0,5.96110624579,0.0,0.164127562903,0.164127562903,0.164127562903,0.247690813811,0.0559880573062,0.122837147866,0.500699824915,0.178191117862
 01/01  02:00:00,1.04521781133,6.34806070782,0.0,6.3162564272,0.0,0.173896540398,0.173896540398,0.173896540398,0.144486286704,0.0326596952687,0.102975685881,0.461012649041,0.107416954032
 01/01  03:00:00,0.956485877438,6.45978401982,0.0,6.42834848448,0.0,0.17697717214,0.17697717214,0.17697717214,0.103204501234,0.0233283533497,0.0864965903205,0.455667574849,0.0880416855444
 01/01  04:00:00,0.934952145407,6.07884329006,0.0,6.04785024906,0.0,0.166494740098,0.166494740098,0.166494740098,0.103204501234,0.0233283533497,0.0763456071944,0.449253485819,0.0935554577111
 01/01  05:00:00,0.99208556682,6.19555219279,0.0,6.16572991806,0.0,0.169728349899,0.169728349899,0.169728349899,0.103204501234,0.0233283533497,0.0899621050554,0.43228287526,0.150809382021
 01/01  06:00:00,1.30438735576,6.15497937626,0.0,6.12170011451,0.0,0.168513547498,0.168513547498,0.168513547498,0.103204501234,0.0233283533497,0.106595392246,0.482392945808,0.397582615622
 01/01  07:00:00,2.07698342145,6.13700958301,0.0,6.09855866867,0.0,0.167870245638,0.167870245638,0.167870245638,0.237370309854,0.0536552095187,0.177474275597,0.557357611348,0.86048576949
 01/01  08:00:00,2.70957702869,6.91236806596,0.0,6.87151108865,0.0,0.189137142907,0.189137142907,0.189137142907,0.485061123664,0.109643266825,0.281086459277,0.592234220449,0.992144815573
 01/01  09:00:00,2.6033858584,6.54587878774,0.0,6.51133657339,0.0,0.179221080769,0.179221080769,0.179221080769,0.464420241369,0.104977600209,0.36605048386,0.500699824915,0.965246627281
 01/01  10:00:00,2.232578625,6.38764580568,0.0,6.35824758803,0.0,0.175022676673,0.175022676673,0.175022676673,0.237370309854,0.0536552095187,0.45251754537,0.42613603994,0.86510684364
 01/01  11:00:00,2.08043011068,5.90161353189,0.0,5.87152391683,0.0,0.161609305687,0.161609305687,0.161609305687,0.196088550257,0.0443238762875,0.476182943291,0.436158054049,0.743297381108
 01/01  12:00:00,1.9706394994,5.16475102508,0.0,5.13465219139,0.0,0.141316993546,0.141316993546,0.141316993546,0.196088550257,0.0443238762875,0.496972028135,0.436291680904,0.632876370267
 01/01  13:00:00,1.83241099448,4.04527981404,0.0,4.01568800511,0.0,0.110508428165,0.110508428165,0.110508428165,0.196088550257,0.0443238762875,0.481415945109,0.42894220389,0.548361990767
 01/01  14:00:00,1.70389787946,2.35305188513,0.0,2.32243680804,0.0,0.0639016665739,0.0639016665739,0.0639016665739,0.196088550257,0.0443238762875,0.43681890348,0.443774784773,0.496220098085
 01/01  15:00:00,1.63911055281,1.69390657905,0.0,1.66156761777,0.0,0.045711321435,0.045711321435,0.045711321435,0.206409051718,0.0466566951156,0.402002089622,0.468763006619,0.446798388304
 01/01  16:00:00,1.73784021093,1.48046491675,0.0,1.44632832222,0.0,0.0397881740248,0.0397881740248,0.0397881740248,0.258011189652,0.0583208761344,0.411726405573,0.494820243304,0.45240332224
 01/01  17:00:00,2.17098586602,1.67213271657,0.0,1.63175510813,0.0,0.0448891606537,0.0448891606537,0.0448891606537,0.433458860111,0.0979790858062,0.470575105936,0.585285624,0.516028029518
 01/01  18:00:00,3.05781014357,4.27959873371,0.0,4.2305463925,0.0,0.116412520462,0.116412520462,0.116412520462,0.80499507833,0.181961142806,0.578065905983,0.711028494362,0.64257700163
 01/01  19:00:00,3.65832941663,2.78792282665,0.0,2.73466678921,0.0,0.0752708677719,0.0752708677719,0.0752708677719,1.19717217884,0.270608895381,0.522761393651,0.771962340148,0.767783740835
 01/01  20:00:00,3.69182030272,3.55029784684,0.0,3.49532714384,0.0,0.0962151792188,0.0962151792188,0.0962151792188,1.2694153222,0.286938743016,0.425376441419,0.79681693514,0.794287681728
 01/01  21:00:00,3.40946509154,4.25773079491,0.0,4.20087027234,0.0,0.115647462972,0.115647462972,0.115647462972,1.09396765174,0.247280533344,0.37951047539,0.824210440373,0.726078527724
 01/01  22:00:00,3.09936200311,5.53669085381,0.0,5.48115781425,0.0,0.150905572726,0.150905572726,0.150905572726,0.918519983775,0.207622352631,0.359614732068,0.804968173282,0.634961188633
 01/01  23:00:00,2.52532760922,6.33149824415,0.0,6.2834415152,0.0,0.173006470922,0.173006470922,0.173006470922,0.691470175382,0.156299961941,0.289154633287,0.696596794044,0.496029573647
 01/01  24:00:00,1.92091503308,6.49513779488,0.0,6.45337739163,0.0,0.17769279164,0.17769279164,0.17769279164,0.474740745326,0.107310419037,0.191618322082,0.605329652219,0.341453102774
 01/02  01:00:00,1.29964651577,6.99130154642,0.0,6.95675933208,0.0,0.191555471444,0.191555471444,0.191555471444,0.247690813811,0.0559880573062,0.115167850971,0.500699824915,0.165774497322
 01/02  02:00:00,1.06757317035,7.565215254,0.0,7.53341097338,0.0,0.207423207308,0.207423207308,0.207423207308,0.144486286704,0.0326596952687,0.0983708244822,0.461012649041,0.100850507546
 01/02  03:00:00,0.9919197003,8.03257614891,0.0,8.00114061358,0.0,0.220297684532,0.220297684532,0.220297684532,0.103204501234,0.0233283533497,0.0834501454999,0.455667574849,0.0832014408346
 01/02  04:00:00,0.99911155252,8.65701210378,0.0,8.62601906279,0.0,0.237515342134,0.237515342134,0.237515342134,0.103204501234,0.0233283533497,0.0747526356716,0.449253485819,0.0882872343115
 01/02  05:00:00,1.05648725109,9.03275008498,0.0,9.00292781025,0.0,0.247907872504,0.247907872504,0.247907872504,0.103204501234,0.0233283533497,0.0868457568597,0.43228287526,0.140147891881
 01/02  06:00:00,1.35686521159,9.33185565901,0.0,9.29857639726,0.0,0.256068328213,0.256068328213,0.256068328213,0.103204501234,0.0233283533497,0.101815917579,0.482392945808,0.367285165408
 01/02  07:00:00,2.11889187672,10.6204752114,0.0,10.5820242971,0.0,0.291450443648,0.291450443648,0.291450443648,0.237370309854,0.0536552095187,0.165077844744,0.557357611348,0.791210457609
 01/02  08:00:00,2.65423016897,8.85243613888,0.0,8.81157916157,0.0,0.242733336518,0.242733336518,0.242733336518,0.485061123664,0.109643266825,0.25639820385,0.592234220449,0.907890017661
 01/02  09:00:00,2.51090007751,7.74965772356,0.0,7.71511550922,0.0,0.212539284764,0.212539284764,0.212539284764,0.464420241369,0.104977600209,0.32820696637,0.500699824915,0.877286159887
 01/02  10:00:00,2.13729860041,7.77452760627,0.0,7.74512938862,0.0,0.213368281981,0.213368281981,0.213368281981,0.237370309854,0.0536552095187,0.39998131075,0.42613603994,0.784017448368
 01/02  11:00:00,1.99521993728,7.48965841586,0.0,7.4595688008,0.0,0.205505374458,0.205505374458,0.205505374458,0.196088550257,0.0443238762875,0.416780676038,0.436158054049,0.673593406185
 01/02  12:00:00,1.88567222907,6.3985427017,0.0,6.36844386801,0.0,0.175441899294,0.175441899294,0.175441899294,0.196088550257,0.0443238762875,0.435735142253,0.436291680904,0.575021080075
 01/02  13:00:00,1.77295802541,5.73039510888,0.0,5.70080329996,0.0,0.15704178294,0.15704178294,0.15704178294,0.196088550257,0.0443238762875,0.425637021538,0.42894220389,0.498154590498
 01/02  14:00:00,1.70082452842,5.67103358767,0.0,5.64041851058,0.0,0.15537318532,0.15537318532,0.15537318532,0.196088550257,0.0443238762875,0.385966199058,0.443774784773,0.452527932721
 01/02  15:00:00,1.66057780425,5.56692124724,0.0,5.53458228596,0.0,0.152455004129,0.152455004129,0.152455004129,0.206409051718,0.0466566951156,0.356355588907,0.468763006619,0.407168457758
 01/02  16:00:00,1.77259079956,5.74019075091,0.0,5.70605415637,0.0,0.157178213761,0.157178213761,0.157178213761,0.258011189652,0.0583208761344,0.368490937387,0.494820243304,0.412999339324
 01/02  17:00:00,2.18557166475,5.47318688135,0.0,5.43280927291,0.0,0.149655461905,0.149655461905,0.149655461905,0.433458860111,0.0979790858062,0.428670866964,0.585285624,0.46775176596
 01/02  18:00:00,3.00132462325,5.8181923983,0.0,5.76914005709,0.0,0.158931222084,0.158931222084,0.158931222084,0.80499507833,0.181961142806,0.536821987543,0.711028494362,0.584816698123
 01/02  19:00:00,3.61038880502,5.217367993,0.0,5.16411195557,0.0,0.142282215411,0.142282215411,0.142282215411,1.19717217884,0.270608895381,0.482732692333,0.771962340148,0.692860482903
 01/02  20:00:00,3.61410410406,5.21895232704,0.0,5.16398162404,0.0,0.142288655252,0.142288655252,0.142288655252,1.2694153222,0.286938743016,0.385424228339,0.79681693514,0.710450220117
