Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.60211918672,17.8278647175,0.0,17.3775551174,0.0,0.626389339848,0.626389339848,0.626389339848,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.46238807418,19.1902748535,0.0,18.8495771001,0.0,0.679624994013,0.679624994013,0.679624994013,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.40504426718,19.6464204054,0.0,19.3359010765,0.0,0.69724951229,0.69724951229,0.69724951229,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.41309994731,20.3387512624,0.0,20.0206102222,0.0,0.722006145741,0.722006145741,0.722006145741,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.39819142587,20.1118245811,0.0,19.7083728147,0.0,0.710811255903,0.710811255903,0.710811255903,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.48252259295,20.9435199964,0.0,20.1656287079,0.0,0.727337493666,0.727337493666,0.727337493666,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.84926450801,22.9436532945,0.0,21.4643727745,0.0,0.774297238141,0.774297238141,0.774297238141,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,2.32088866292,22.4956249952,0.0,20.8126617865,0.0,0.75100809554,0.75100809554,0.75100809554,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,2.08154082186,17.8330603431,0.0,16.1930616383,0.0,0.58418521137,0.58418521137,0.58418521137,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.66546786792,13.9532372919,0.0,12.465238258,0.0,0.449458801781,0.449458801781,0.449458801781,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.57891976825,11.9072833392,0.0,10.6004532469,0.0,0.382041898356,0.382041898356,0.382041898356,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.47348357997,8.23957326852,0.0,7.0981542628,0.0,0.255680167521,0.255680167521,0.255680167521,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.39187684822,6.48984392804,0.0,5.4757012733,0.0,0.197134692973,0.197134692973,0.197134692973,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.35076894302,6.08928288982,0.0,5.15363178497,0.0,0.18547702334,0.18547702334,0.18547702334,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.34358472958,5.70691307484,0.0,4.84446603462,0.0,0.174334228749,0.174334228749,0.174334228749,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.44638763375,5.7225890036,0.0,4.85005966164,0.0,0.174514865706,0.174514865706,0.174514865706,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.83846221174,6.25466058039,0.0,5.28022261192,0.0,0.189977364556,0.189977364556,0.189977364556,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.6395758193,8.8929168679,0.0,7.72151107439,0.0,0.277914975623,0.277914975623,0.277914975623,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.18675999738,9.25946064605,0.0,7.89855994026,0.0,0.28438501156,0.28438501156,0.28438501156,1.25248956773,0.285407820314,0.522761393651,0.788316204123
 01/01  20:00:00,3.22961393054,10.7423875401,0.0,9.34195792843,0.0,0.336438619077,0.336438619077,0.336438619077,1.32807082119,0.302630710236,0.425376441419,0.813697338616
 01/01  21:00:00,3.04325207802,12.2198580156,0.0,10.9195430151,0.0,0.393350439644,0.393350439644,0.393350439644,1.14451631022,0.260803683128,0.37951047539,0.841671169644
 01/01  22:00:00,2.82295548466,13.3187979477,0.0,12.1561508693,0.0,0.437981005218,0.437981005218,0.437981005218,0.960961801745,0.218976686564,0.359614732068,0.822021259068
 01/01  23:00:00,2.41561890816,14.9151014159,0.0,13.9705263989,0.0,0.503441937083,0.503441937083,0.503441937083,0.723420662017,0.164847621407,0.289154633287,0.71135405437
 01/01  24:00:00,1.97290149377,15.4069337858,0.0,14.7027585818,0.0,0.529873881537,0.529873881537,0.529873881537,0.496676901655,0.113178951643,0.191618322082,0.618153436849
 01/02  01:00:00,1.55460288393,16.7056382631,0.0,16.2736998336,0.0,0.586542333955,0.586542333955,0.586542333955,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/02  02:00:00,1.38329130999,17.1202629907,0.0,16.7886352262,0.0,0.60513309122,0.60513309122,0.60513309122,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/02  03:00:00,1.33488862642,17.7853003863,0.0,17.4811535162,0.0,0.63014031635,0.63014031635,0.63014031635,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/02  04:00:00,1.35142342821,18.672492846,0.0,18.3612480828,0.0,0.661922598166,0.661922598166,0.661922598166,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
 01/02  05:00:00,1.36618709179,19.3018011307,0.0,18.9136155649,0.0,0.681923270019,0.681923270019,0.681923270019,0.107973243613,0.0246041219143,0.0868457568597,0.441440699384
 01/02  06:00:00,1.44988072132,20.1305111164,0.0,19.3976205679,0.0,0.699475096703,0.699475096703,0.699475096703,0.107973243613,0.0246041219143,0.101815917579,0.492612341507
 01/02  07:00:00,1.82830128449,22.6047362679,0.0,21.2292900137,0.0,0.765730445476,0.765730445476,0.765730445476,0.248338385058,0.0565894910929,0.165077844744,0.569165118123
 01/02  08:00:00,2.2715316913,21.6895343234,0.0,20.1336356564,0.0,0.726339379351,0.726339379351,0.726339379351,0.507474149482,0.115639377579,0.25639820385,0.604780581041
 01/02  09:00:00,2.03431678309,17.4429285224,0.0,15.9365409408,0.0,0.57480469008,0.57480469008,0.57480469008,0.485879522289,0.11071855625,0.32820696637,0.511307048096
 01/02  10:00:00,1.6326671804,14.3784302787,0.0,13.0144344403,0.0,0.469194348883,0.469194348883,0.469194348883,0.248338385058,0.0565894910929,0.39998131075,0.435163644616
 01/02  11:00:00,1.52106860908,11.844940144,0.0,10.6447685962,0.0,0.383593006444,0.383593006444,0.383593006444,0.205149135666,0.0467478178928,0.416780676038,0.445397973041
 01/02  12:00:00,1.41644284476,8.26808371108,0.0,7.2153277395,0.0,0.259876318194,0.259876318194,0.259876318194,0.205149135666,0.0467478178928,0.435735142253,0.445534430753
 01/02  13:00:00,1.34891835967,6.76895878106,0.0,5.83191903604,0.0,0.209955127999,0.209955127999,0.209955127999,0.205149135666,0.0467478178928,0.425637021538,0.438029256575
 01/02  14:00:00,1.26203302642,4.97063015261,0.0,4.1013013819,0.0,0.147593811162,0.147593811162,0.147593811162,0.205149135666,0.0467478178928,0.385966199058,0.453176062644
 01/02  15:00:00,1.27057571784,4.88773801241,0.0,4.08507875127,0.0,0.146971717723,0.146971717723,0.146971717723,0.215946512535,0.0492082438285,0.356355588907,0.478693654849
 01/02  16:00:00,1.37554833994,4.89656882733,0.0,4.08371761714,0.0,0.146911040087,0.146911040087,0.146911040087,0.269933141293,0.0615103124214,0.368490937387,0.505302908753
 01/02  17:00:00,1.79966199543,6.26742098569,0.0,5.36648369587,0.0,0.193081387214,0.193081387214,0.193081387214,0.453487652263,0.103337308986,0.428670866964,0.59768478
 01/02  18:00:00,2.5975587723,8.78300419289,0.0,7.69978512712,0.0,0.277141847067,0.277141847067,0.277141847067,0.842191296402,0.191912153986,0.536821987543,0.726091487301
 01/02  19:00:00,3.1503053447,9.2449707426,0.0,7.9977550925,0.0,0.287959060194,0.287959060194,0.287959060194,1.25248956773,0.285407820314,0.482732692333,0.788316204123
 01/02  20:00:00,3.17804067429,10.2930976563,0.0,9.01959899917,0.0,0.324817575912,0.324817575912,0.324817575912,1.32807082119,0.302630710236,0.385424228339,0.813697338616
 01/02  21:00:00,2.9718899648,11.2482138495,0.0,10.0686846952,0.0,0.362652924993,0.362652924993,0.362652924993,1.14451631022,0.260803683128,0.338845876819,0.841671169644
