Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.846028954003,0.427476875118,0.0,0.0,0.0,0.0,0.0,0.0,0.201474942826,0.043624015812,0.122837147866,0.457866847499
 01/01  02:00:00,0.687750787579,0.345357215041,0.0,0.0,0.0,0.0,0.0,0.0,0.117526990232,0.0254473519587,0.102975685881,0.421574759507
 01/01  03:00:00,0.625534082309,0.323133377776,0.0,0.0,0.0,0.0,0.0,0.0,0.0839478806446,0.0181766751353,0.0864965903205,0.416686936208
 01/01  04:00:00,0.620626163053,0.715007553171,0.0,0.383262923103,0.0,0.0111084518287,0.0111084518287,0.0111084518287,0.0839478806446,0.0181766751353,0.0763456071944,0.41082154825
 01/01  05:00:00,0.642229888801,1.59413479229,0.0,1.19468717019,0.0,0.034614518689,0.034614518689,0.034614518689,0.0839478806446,0.0181766751353,0.0899621050554,0.395302709277
 01/01  06:00:00,0.723414193796,2.53844636302,0.0,1.84236167622,0.0,0.0533421930685,0.0533421930685,0.0533421930685,0.0839478806446,0.0181766751353,0.106595392246,0.441126052701
 01/01  07:00:00,1.02191056755,3.99746536048,0.0,2.7514251033,0.0,0.0796460508943,0.0796460508943,0.0796460508943,0.193080105882,0.0418063607087,0.177474275597,0.509677774465
 01/01  08:00:00,1.4243166885,3.61125465007,0.0,2.20860328638,0.0,0.0639479825047,0.0639479825047,0.0639479825047,0.394555048708,0.0854303765206,0.281086459277,0.541570821488
 01/01  09:00:00,1.34037318171,2.62624934602,0.0,1.2657050752,0.0,0.0366693300686,0.0366693300686,0.0366693300686,0.377765476535,0.08179504375,0.36605048386,0.457866847499
 01/01  10:00:00,1.09731172444,1.22439044126,0.0,0.0,0.0,0.0,0.0,0.0,0.193080105882,0.0418063607087,0.45251754537,0.389681712483
 01/01  11:00:00,1.08929196359,1.0514496038,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.476182943291,0.398846381168
 01/01  12:00:00,1.11020324402,0.898999488482,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.496972028135,0.398968576751
 01/01  13:00:00,1.08792640396,0.790458009528,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.481415945109,0.392247819715
 01/01  14:00:00,1.05689307198,0.727815589879,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.43681890348,0.405811529369
 01/01  15:00:00,1.05513934416,0.672925478506,0.0,0.0,0.0,0.0,0.0,0.0,0.167895800977,0.0363533502707,0.402002089622,0.42866210329
 01/01  16:00:00,1.13975401648,0.686039097662,0.0,0.0,0.0,0.0,0.0,0.0,0.209869675559,0.0454416934793,0.411726405573,0.452490241871
 01/01  17:00:00,1.45494086286,0.774598865035,0.0,0.0,0.0,0.0,0.0,0.0,0.352581072411,0.076342033312,0.470575105936,0.5352166512
 01/01  18:00:00,2.04506620361,0.938831546917,0.0,0.0,0.0,0.0,0.0,0.0,0.654793535011,0.141778068312,0.578065905983,0.6502026943
 01/01  19:00:00,2.46355617771,1.10316543293,0.0,0.0,0.0,0.0,0.0,0.0,0.97379546807,0.210849436083,0.522761393651,0.705923879905
 01/01  20:00:00,2.43038672405,1.14744018396,0.0,0.0,0.0,0.0,0.0,0.0,1.03255891233,0.223573112062,0.425376441419,0.728652258243
 01/01  21:00:00,2.23595909318,1.07791348055,0.0,0.0,0.0,0.0,0.0,0.0,0.889847515476,0.192672749665,0.37951047539,0.753702352649
 01/01  22:00:00,2.02485545179,0.975014057483,0.0,0.0,0.0,0.0,0.0,0.0,0.74713612112,0.161772409833,0.359614732068,0.736106188774
 01/01  23:00:00,1.63062078116,0.807845415694,0.0,0.0,0.0,0.0,0.0,0.0,0.562450849685,0.121783726791,0.289154633287,0.637005571394
 01/01  24:00:00,1.23516322127,0.623668204477,0.0,0.0,0.0,0.0,0.0,0.0,0.386160211764,0.0836126988533,0.191618322082,0.55354598857
 01/02  01:00:00,0.838359657108,0.41295701546,0.0,0.0,0.0,0.0,0.0,0.0,0.201474942826,0.043624015812,0.115167850971,0.457866847499
 01/02  02:00:00,0.68314592618,0.335590839033,0.0,0.0,0.0,0.0,0.0,0.0,0.117526990232,0.0254473519587,0.0983708244822,0.421574759507
 01/02  03:00:00,0.622487637488,0.317296617904,0.0,0.0,0.0,0.0,0.0,0.0,0.0839478806446,0.0181766751353,0.0834501454999,0.416686936208
 01/02  04:00:00,0.60823710703,0.334912920561,0.0,0.0107779416991,0.0,0.000312367328666,0.000312367328666,0.000312367328666,0.0839478806446,0.0181766751353,0.0747526356716,0.41082154825
 01/02  05:00:00,0.622127136757,0.992276445742,0.0,0.60817413214,0.0,0.0176281148406,0.0176281148406,0.0176281148406,0.0839478806446,0.0181766751353,0.0868457568597,0.395302709277
 01/02  06:00:00,0.697340197471,1.76101487119,0.0,1.10626899655,0.0,0.0320476714106,0.0320476714106,0.0320476714106,0.0839478806446,0.0181766751353,0.101815917579,0.441126052701
 01/02  07:00:00,0.988374147662,3.18087925046,0.0,2.02139066757,0.0,0.0585060618628,0.0585060618628,0.0585060618628,0.193080105882,0.0418063607087,0.165077844744,0.509677774465
 01/02  08:00:00,1.394265031,3.32394344178,0.0,2.02435937449,0.0,0.0585845804375,0.0585845804375,0.0585845804375,0.394555048708,0.0854303765206,0.25639820385,0.541570821488
 01/02  09:00:00,1.31782632841,3.05254815342,0.0,1.79549656425,0.0,0.0519659942557,0.0519659942557,0.0519659942557,0.377765476535,0.08179504375,0.32820696637,0.457866847499
