Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.846028954003,0.432249151252,0.0,0.0,0.0,0.0,0.0,0.0,0.201474942826,0.043624015812,0.122837147866,0.457866847499
 01/01  02:00:00,0.688730910856,0.383856631782,0.0,0.0353345838876,0.0,0.000980123277583,0.000980123277583,0.000980123277583,0.117526990232,0.0254473519587,0.102975685881,0.421574759507
 01/01  03:00:00,0.651661669828,1.27144167313,0.0,0.941929912373,0.0,0.026127587519,0.026127587519,0.026127587519,0.0839478806446,0.0181766751353,0.0864965903205,0.416686936208
 01/01  04:00:00,0.653307142669,1.91552747743,0.0,1.57865992386,0.0,0.0437894314444,0.0437894314444,0.0437894314444,0.0839478806446,0.0181766751353,0.0763456071944,0.41082154825
 01/01  05:00:00,0.663182202054,2.40738273657,0.0,2.00324890708,0.0,0.055566831942,0.055566831942,0.055566831942,0.0839478806446,0.0181766751353,0.0899621050554,0.395302709277
 01/01  06:00:00,0.733531610295,2.98603342744,0.0,2.28779271854,0.0,0.0634596095673,0.0634596095673,0.0634596095673,0.0839478806446,0.0181766751353,0.106595392246,0.441126052701
 01/01  07:00:00,1.007251365,3.5892034035,0.0,2.34285145237,0.0,0.0649868483437,0.0649868483437,0.0649868483437,0.193080105882,0.0418063607087,0.177474275597,0.509677774465
 01/01  08:00:00,1.42926405707,3.88648192236,0.0,2.48375752077,0.0,0.0688953510736,0.0688953510736,0.0688953510736,0.394555048708,0.0854303765206,0.281086459277,0.541570821488
 01/01  09:00:00,1.35401175256,3.1758407066,0.0,1.81365832812,0.0,0.0503079009117,0.0503079009117,0.0503079009117,0.377765476535,0.08179504375,0.36605048386,0.457866847499
 01/01  10:00:00,1.12722531558,2.30711030596,0.0,1.07841974538,0.0,0.0299135911384,0.0299135911384,0.0299135911384,0.193080105882,0.0418063607087,0.45251754537,0.389681712483
 01/01  11:00:00,1.10559750653,1.65802641246,0.0,0.587833783792,0.0,0.01630554294,0.01630554294,0.01630554294,0.159500966529,0.0345356726033,0.476182943291,0.398846381168
 01/01  12:00:00,1.11020324402,0.925548871744,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.496972028135,0.398968576751
 01/01  13:00:00,1.08792640396,0.815022304627,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.481415945109,0.392247819715
 01/01  14:00:00,1.05689307198,0.748648777503,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.43681890348,0.405811529369
 01/01  15:00:00,1.05513934416,0.692309192367,0.0,0.0,0.0,0.0,0.0,0.0,0.167895800977,0.0363533502707,0.402002089622,0.42866210329
