Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.09160446385,8.95989391273,0.0,8.44826073697,0.226206172462,0.226206172462,0.226206172462,0.210085920843,0.0459277025038,0.122837147866,0.465847520178
 01/01  02:00:00,0.930155857648,8.9417660089,0.0,8.52332511706,0.228216056702,0.228216056702,0.228216056702,0.122550102381,0.0267911558346,0.102975685881,0.428922856849
 01/01  03:00:00,0.868613127333,9.01278549094,0.0,8.61961909257,0.230794373389,0.230794373389,0.230794373389,0.0875357858627,0.0191365395425,0.0864965903205,0.423949838219
 01/01  04:00:00,0.855131786224,9.11753600421,0.0,8.71811462348,0.233431637761,0.233431637761,0.233431637761,0.0875357858627,0.0191365395425,0.0763456071944,0.417982215863
 01/01  05:00:00,0.855792191537,9.29590665185,0.0,8.82392943626,0.236264879364,0.236264879364,0.236264879364,0.0875357858627,0.0191365395425,0.0899621050554,0.402192881712
 01/01  06:00:00,0.916427264046,9.51912027099,0.0,8.72606881606,0.233644615025,0.233644615025,0.233644615025,0.0875357858627,0.0191365395425,0.106595392246,0.44881493137
 01/01  07:00:00,1.18737663259,9.80821810706,0.0,8.41421215052,0.225294505474,0.225294505474,0.225294505474,0.201332295531,0.0440140383346,0.177474275597,0.518561517658
 01/01  08:00:00,1.63608749627,10.695456388,0.0,9.128900197,0.24443061556,0.24443061556,0.24443061556,0.411418216375,0.0899417408384,0.281086459277,0.551010464219
 01/01  09:00:00,1.52765729544,8.80963510737,0.0,7.28404638712,0.195033783233,0.195033783233,0.195033783233,0.393911071919,0.0861144362557,0.36605048386,0.465847520178
 01/01  10:00:00,1.24905784828,6.3893766847,0.0,5.00532937746,0.13402005876,0.13402005876,0.13402005876,0.201332295531,0.0440140383346,0.45251754537,0.396473910288
 01/01  11:00:00,1.19767333037,4.65495712385,0.0,3.44773099015,0.0923146260802,0.0923146260802,0.0923146260802,0.166318011612,0.0363594291692,0.476182943291,0.405798320219
 01/01  12:00:00,1.17950312897,3.03587928322,0.0,1.98805135937,0.0532310143666,0.0532310143666,0.0532310143666,0.166318011612,0.0363594291692,0.496972028135,0.405922645685
 01/01  13:00:00,1.13051465574,1.92387638789,0.0,0.994810636642,0.0266365247766,0.0266365247766,0.0266365247766,0.166318011612,0.0363594291692,0.481415945109,0.399084745068
 01/01  14:00:00,1.07308121603,0.857946925135,0.0,0.0,0.0,0.0,0.0,0.166318011612,0.0363594291692,0.43681890348,0.412884871767
 01/01  15:00:00,1.07218042133,0.796717336735,0.0,0.0,0.0,0.0,0.0,0.175071528259,0.0382730695827,0.402002089622,0.436133733863
 01/01  16:00:00,1.15948438567,0.809188204647,0.0,0.0,0.0,0.0,0.0,0.218839437491,0.0478413429173,0.411726405573,0.460377199685
 01/01  17:00:00,1.51908021431,2.22260791592,0.0,1.31597281128,0.0352357937297,0.0352357937297,0.0352357937297,0.367650307143,0.0803734675038,0.470575105936,0.54454554
 01/01  18:00:00,2.17981079299,4.35844226867,0.0,3.26660927121,0.0874650064878,0.0874650064878,0.0874650064878,0.682779079743,0.149264997504,0.578065905983,0.661535803274
 01/01  19:00:00,2.61706356022,4.55246606567,0.0,3.28565205184,0.0879748859357,0.0879748859357,0.0879748859357,1.01541520914,0.221983855842,0.522761393651,0.718228215658
 01/01  20:00:00,2.6060389922,5.2886496804,0.0,3.97901865891,0.106540104408,0.106540104408,0.106540104408,1.07669026033,0.235379433759,0.425376441419,0.741352752288
 01/01  21:00:00,2.41139660265,5.469520377,0.0,4.24343417021,0.113619954642,0.113619954642,0.113619954642,0.927879390674,0.202847309173,0.37951047539,0.766839472767
 01/01  22:00:00,2.22339405469,6.5179183706,0.0,5.40640264828,0.144758985066,0.144758985066,0.144758985066,0.779068523518,0.170315208342,0.359614732068,0.748936605699
 01/01  23:00:00,1.85657620364,7.79895062807,0.0,6.86853846514,0.183908362322,0.183908362322,0.183908362322,0.586489744634,0.128214810421,0.289154633287,0.648108652973
 01/01  24:00:00,1.46983114096,8.33161039588,0.0,7.60493738454,0.203625791288,0.203625791288,0.203625791288,0.402664591062,0.0880280766692,0.191618322082,0.563194359863
 01/02  01:00:00,1.08206975759,8.87365515798,0.0,8.37859214864,0.224340763096,0.224340763096,0.224340763096,0.210085920843,0.0459277025038,0.115167850971,0.465847520178
 01/02  02:00:00,0.936770872299,9.35316233676,0.0,8.9423607131,0.239435932752,0.239435932752,0.239435932752,0.122550102381,0.0267911558346,0.0983708244822,0.428922856849
 01/02  03:00:00,0.880401310613,9.56210029775,0.0,9.17365705167,0.245629001489,0.245629001489,0.245629001489,0.0875357858627,0.0191365395425,0.0834501454999,0.423949838219
 01/02  04:00:00,0.870485946216,9.74656265893,0.0,9.35104954397,0.250378769276,0.250378769276,0.250378769276,0.0875357858627,0.0191365395425,0.0747526356716,0.417982215863
 01/02  05:00:00,0.870340850588,9.94528279184,0.0,9.48367530226,0.253929886611,0.253929886611,0.253929886611,0.0875357858627,0.0191365395425,0.0868457568597,0.402192881712
 01/02  06:00:00,0.924616440021,9.96754837459,0.0,9.21041696991,0.246613265666,0.246613265666,0.246613265666,0.0875357858627,0.0191365395425,0.101815917579,0.44881493137
 01/02  07:00:00,1.17814973472,9.83965040007,0.0,8.53258664372,0.228464038454,0.228464038454,0.228464038454,0.201332295531,0.0440140383346,0.165077844744,0.518561517658
 01/02  08:00:00,1.60328825736,10.285488436,0.0,8.82597431961,0.236319632081,0.236319632081,0.236319632081,0.411418216375,0.0899417408384,0.25639820385,0.551010464219
 01/02  09:00:00,1.49659184859,8.95008802998,0.0,7.53719115066,0.20181185387,0.20181185387,0.20181185387,0.393911071919,0.0861144362557,0.32820696637,0.465847520178
 01/02  10:00:00,1.1737385517,5.43206105519,0.0,4.15443638125,0.111236996797,0.111236996797,0.111236996797,0.201332295531,0.0440140383346,0.39998131075,0.396473910288
 01/02  11:00:00,1.11308814173,3.61935302457,0.0,2.50720897108,0.0671317046867,0.0671317046867,0.0671317046867,0.166318011612,0.0363594291692,0.416780676038,0.405798320219
 01/02  12:00:00,1.10468870959,2.44919280099,0.0,1.48096288395,0.0396534808722,0.0396534808722,0.0396534808722,0.166318011612,0.0363594291692,0.435735142253,0.405922645685
 01/02  13:00:00,1.06964932408,1.66632971864,0.0,0.804845432719,0.0215501166959,0.0215501166959,0.0215501166959,0.166318011612,0.0363594291692,0.425637021538,0.399084745068
 01/02  14:00:00,1.02256336032,0.81454806386,0.0,0.0125058003599,0.000334848712777,0.000334848712777,0.000334848712777,0.166318011612,0.0363594291692,0.385966199058,0.412884871767
 01/02  15:00:00,1.02653392061,0.745245478164,0.0,0.0,0.0,0.0,0.0,0.175071528259,0.0382730695827,0.356355588907,0.436133733863
 01/02  16:00:00,1.11624891748,0.75865699232,0.0,0.0,0.0,0.0,0.0,0.218839437491,0.0478413429173,0.368490937387,0.460377199685
 01/02  17:00:00,1.46798471953,1.81513613826,0.0,0.972701340215,0.0260445379196,0.0260445379196,0.0260445379196,0.367650307143,0.0803734675038,0.428670866964,0.54454554
 01/02  18:00:00,2.12701249188,3.84928826904,0.0,2.83508065109,0.075910623816,0.075910623816,0.075910623816,0.682779079743,0.149264997504,0.536821987543,0.661535803274
 01/02  19:00:00,2.55097855019,3.47766883777,0.0,2.31251110051,0.0619185772208,0.0619185772208,0.0619185772208,1.01541520914,0.221983855842,0.482732692333,0.718228215658
 01/02  20:00:00,2.52326946115,3.57151557838,0.0,2.37989400944,0.063722786441,0.063722786441,0.063722786441,1.07669026033,0.235379433759,0.385424228339,0.741352752288
 01/02  21:00:00,2.32942556144,3.8163563443,0.0,2.70073710904,0.0723135120096,0.0723135120096,0.0723135120096,0.927879390674,0.202847309173,0.338845876819,0.766839472767
 01/02  22:00:00,2.12408105401,4.26408895577,0.0,3.24876874437,0.0869873179533,0.0869873179533,0.0869873179533,0.779068523518,0.170315208342,0.318073398495,0.748936605699
 01/02  23:00:00,1.74426478652,4.75814197584,0.0,3.90677298492,0.104605692356,0.104605692356,0.104605692356,0.586489744634,0.128214810421,0.256145886137,0.648108652973
 01/02  24:00:00,1.37087548158,5.25912622563,0.0,4.58606728188,0.122794118078,0.122794118078,0.122794118078,0.402664591062,0.0880280766692,0.173494335907,0.563194359863
 01/03  01:00:00,0.993666750178,5.56072101484,0.0,5.07695078124,0.135937755682,0.135937755682,0.135937755682,0.210085920843,0.0459277025038,0.115167850971,0.465847520178
 01/03  02:00:00,0.840672135698,5.75076599077,0.0,5.35330222515,0.14333719615,0.14333719615,0.14333719615,0.122550102381,0.0267911558346,0.0983708244822,0.428922856849
 01/03  03:00:00,0.784711737294,5.97282957285,0.0,5.5998798359,0.149939428169,0.149939428169,0.149939428169,0.0875357858627,0.0191365395425,0.0834501454999,0.423949838219
 01/03  04:00:00,0.775559823798,6.18411282752,0.0,5.80578539752,0.155452646858,0.155452646858,0.155452646858,0.0875357858627,0.0191365395425,0.0747526356716,0.417982215863
 01/03  05:00:00,0.778583176341,6.50053892459,0.0,6.05674513399,0.162172212363,0.162172212363,0.162172212363,0.0875357858627,0.0191365395425,0.0868457568597,0.402192881712
 01/03  06:00:00,0.842928770917,6.89819888313,0.0,6.1595774633,0.164925596562,0.164925596562,0.164925596562,0.0875357858627,0.0191365395425,0.101815917579,0.44881493137
 01/03  07:00:00,1.12681397347,7.90441031777,0.0,6.61531846558,0.177128277205,0.177128277205,0.177128277205,0.201332295531,0.0440140383346,0.165077844744,0.518561517658
 01/03  08:00:00,1.5462661829,8.13920858772,0.0,6.69633591245,0.17929755762,0.17929755762,0.17929755762,0.411418216375,0.0899417408384,0.25639820385,0.551010464219
 01/03  09:00:00,1.40887139198,5.65745034515,0.0,4.26104142699,0.114091397261,0.114091397261,0.114091397261,0.393911071919,0.0861144362557,0.32820696637,0.465847520178
 01/03  10:00:00,1.13617680127,4.01350957604,0.0,2.75159463768,0.0736752463655,0.0736752463655,0.0736752463655,0.201332295531,0.0440140383346,0.39998131075,0.396473910288
 01/03  11:00:00,1.07389407837,2.14288530077,0.0,1.0434042351,0.0279376413326,0.0279376413326,0.0279376413326,0.166318011612,0.0363594291692,0.416780676038,0.405798320219
 01/03  12:00:00,1.06503522872,0.955432545454,0.0,0.0,0.0,0.0,0.0,0.166318011612,0.0363594291692,0.435735142253,0.405922645685
 01/03  13:00:00,1.04809920739,0.844095454212,0.0,0.0,0.0,0.0,0.0,0.166318011612,0.0363594291692,0.425637021538,0.399084745068
 01/03  14:00:00,1.02222851161,0.784651812887,0.0,0.0,0.0,0.0,0.0,0.166318011612,0.0363594291692,0.385966199058,0.412884871767
 01/03  15:00:00,1.02653392061,0.728138122926,0.0,0.0,0.0,0.0,0.0,0.175071528259,0.0382730695827,0.356355588907,0.436133733863
 01/03  16:00:00,1.11624891748,0.740670307157,0.0,0.0,0.0,0.0,0.0,0.218839437491,0.0478413429173,0.368490937387,0.460377199685
 01/03  17:00:00,1.44194018161,0.826165251162,0.0,0.0,0.0,0.0,0.0,0.367650307143,0.0803734675038,0.428670866964,0.54454554
 01/03  18:00:00,2.05365631008,1.09525815857,0.0,0.0954023133833,0.00255444201195,0.00255444201195,0.00255444201195,0.682779079743,0.149264997504,0.536821987543,0.661535803274
 01/03  19:00:00,2.49237809569,1.2761249931,0.0,0.123923965543,0.00331812272309,0.00331812272309,0.00331812272309,1.01541520914,0.221983855842,0.482732692333,0.718228215658
 01/03  20:00:00,2.48827187463,2.25588799292,0.0,1.07281766875,0.0287251999144,0.0287251999144,0.0287251999144,1.07669026033,0.235379433759,0.385424228339,0.741352752288
 01/03  21:00:00,2.30850704651,3.02514931954,0.0,1.91948049478,0.0513949970719,0.0513949970719,0.0513949970719,0.927879390674,0.202847309173,0.338845876819,0.766839472767
 01/03  22:00:00,2.11204341683,3.80654003973,0.0,2.79919172155,0.0749496807727,0.0749496807727,0.0749496807727,0.779068523518,0.170315208342,0.318073398495,0.748936605699
 01/03  23:00:00,1.73791814539,4.51400069284,0.0,3.6697410841,0.0982590512303,0.0982590512303,0.0982590512303,0.586489744634,0.128214810421,0.256145886137,0.648108652973
 01/03  24:00:00,1.36811278516,5.14847570338,0.0,4.48288716333,0.120031421658,0.120031421658,0.120031421658,0.402664591062,0.0880280766692,0.173494335907,0.563194359863
 01/04  01:00:00,0.998887496202,5.74990537955,0.0,5.27193318676,0.141158501706,0.141158501706,0.141158501706,0.210085920843,0.0459277025038,0.115167850971,0.465847520178
 01/04  02:00:00,0.857097311314,6.35896489563,0.0,5.96674333839,0.159762371766,0.159762371766,0.159762371766,0.122550102381,0.0267911558346,0.0983708244822,0.428922856849
 01/04  03:00:00,0.808138859709,6.84472397348,0.0,6.47482695308,0.173366550585,0.173366550585,0.173366550585,0.0875357858627,0.0191365395425,0.0834501454999,0.423949838219
 01/04  04:00:00,0.804410615533,7.26073070495,0.0,6.88329362108,0.184303438593,0.184303438593,0.184303438593,0.0875357858627,0.0191365395425,0.0747526356716,0.417982215863
 01/04  05:00:00,0.818970544111,8.01118581608,0.0,7.56511694227,0.202559580133,0.202559580133,0.202559580133,0.0875357858627,0.0191365395425,0.0868457568597,0.402192881712
 01/04  06:00:00,0.887901557868,8.58135536672,0.0,7.83920373566,0.209898383514,0.209898383514,0.209898383514,0.0875357858627,0.0191365395425,0.101815917579,0.44881493137
 01/04  07:00:00,1.15530013111,8.97295382762,0.0,7.67920847582,0.205614434845,0.205614434845,0.205614434845,0.201332295531,0.0440140383346,0.165077844744,0.518561517658
 01/04  08:00:00,1.55491574955,8.4669021014,0.0,7.01937658616,0.187947124273,0.187947124273,0.187947124273,0.411418216375,0.0899417408384,0.25639820385,0.551010464219
 01/04  09:00:00,1.4396303141,6.80966891168,0.0,5.40981376703,0.144850319382,0.144850319382,0.144850319382,0.393911071919,0.0861144362557,0.32820696637,0.465847520178
 01/04  10:00:00,1.16864502383,5.22971043471,0.0,3.96420526997,0.106143468921,0.106143468921,0.106143468921,0.201332295531,0.0440140383346,0.39998131075,0.396473910288
 01/04  11:00:00,1.12721673265,4.14314307843,0.0,3.03487812667,0.0812602956154,0.0812602956154,0.0812602956154,0.166318011612,0.0363594291692,0.416780676038,0.405798320219
 01/04  12:00:00,1.10116852152,2.31422049684,0.0,1.34949225993,0.0361332928031,0.0361332928031,0.0361332928031,0.166318011612,0.0363594291692,0.435735142253,0.405922645685
 01/04  13:00:00,1.06822121459,1.60693499189,0.0,0.751508951095,0.0201220072025,0.0201220072025,0.0201220072025,0.166318011612,0.0363594291692,0.425637021538,0.399084745068
 01/04  14:00:00,1.02222851161,0.79155896603,0.0,0.0,0.0,0.0,0.0,0.166318011612,0.0363594291692,0.385966199058,0.412884871767
 01/04  15:00:00,1.02653392061,0.734910279568,0.0,0.0,0.0,0.0,0.0,0.175071528259,0.0382730695827,0.356355588907,0.436133733863
 01/04  16:00:00,1.11624891748,0.746181901764,0.0,0.0,0.0,0.0,0.0,0.218839437491,0.0478413429173,0.368490937387,0.460377199685
 01/04  17:00:00,1.44544564843,0.958591791513,0.0,0.130920820501,0.00350546682011,0.00350546682011,0.00350546682011,0.367650307143,0.0803734675038,0.428670866964,0.54454554
 01/04  18:00:00,2.08173277269,2.13986524977,0.0,1.14399119224,0.0306309046303,0.0306309046303,0.0306309046303,0.682779079743,0.149264997504,0.536821987543,0.661535803274
 01/04  19:00:00,2.52871042464,2.62734052884,0.0,1.48084975055,0.0396504516719,0.0396504516719,0.0396504516719,1.01541520914,0.221983855842,0.482732692333,0.718228215658
 01/04  20:00:00,2.53292299838,3.9187834042,0.0,2.74043058815,0.0733763236651,0.0733763236651,0.0733763236651,1.07669026033,0.235379433759,0.385424228339,0.741352752288
 01/04  21:00:00,2.34431710679,4.35889771422,0.0,3.25690079151,0.0872050573571,0.0872050573571,0.0872050573571,0.927879390674,0.202847309173,0.338845876819,0.766839472767
 01/04  22:00:00,2.14109769621,4.89140899259,0.0,3.88429972314,0.104003960155,0.104003960155,0.104003960155,0.779068523518,0.170315208342,0.318073398495,0.748936605699
 01/04  23:00:00,1.76646934294,5.57993918274,0.0,4.73606017954,0.126810248774,0.126810248774,0.126810248774,0.586489744634,0.128214810421,0.256145886137,0.648108652973
 01/04  24:00:00,1.39431144804,6.12763783628,0.0,5.46134470298,0.146230084537,0.146230084537,0.146230084537,0.402664591062,0.0880280766692,0.173494335907,0.563194359863
 01/05  01:00:00,1.02832975205,6.84932579764,0.0,6.37153118363,0.170600757558,0.170600757558,0.170600757558,0.210085920843,0.0459277025038,0.115167850971,0.465847520178
 01/05  02:00:00,0.886627019739,7.4625231295,0.0,7.06960748018,0.189292080191,0.189292080191,0.189292080191,0.122550102381,0.0267911558346,0.0983708244822,0.428922856849
 01/05  03:00:00,0.837632524709,7.9476200724,0.0,7.57634495896,0.202860215585,0.202860215585,0.202860215585,0.0875357858627,0.0191365395425,0.0834501454999,0.423949838219
 01/05  04:00:00,0.834065684406,8.36983878878,0.0,7.99083967646,0.213958507467,0.213958507467,0.213958507467,0.0875357858627,0.0191365395425,0.0747526356716,0.417982215863
 01/05  05:00:00,0.857438563051,9.45056202524,0.0,9.00180565196,0.241027599073,0.241027599073,0.241027599073,0.0875357858627,0.0191365395425,0.0868457568597,0.402192881712
 01/05  06:00:00,0.933431161654,10.2867662021,0.0,9.53962578799,0.255427987299,0.255427987299,0.255427987299,0.0875357858627,0.0191365395425,0.101815917579,0.44881493137
 01/05  07:00:00,1.23128723373,11.8194514044,0.0,10.5171454275,0.281601537459,0.281601537459,0.281601537459,0.201332295531,0.0440140383346,0.165077844744,0.518561517658
 01/05  08:00:00,1.63346486294,11.410766997,0.0,9.95299852627,0.266496237657,0.266496237657,0.266496237657,0.411418216375,0.0899417408384,0.25639820385,0.551010464219
