Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.05536913152,7.47567416925,0.0,6.98770140937,0.0,0.209340177513,0.209340177513,0.209340177513,0.201474942826,0.043624015812,0.122837147866,0.457866847499
 01/01  02:00:00,0.916875793881,8.05042783543,0.0,7.64581513699,0.0,0.229125006302,0.229125006302,0.229125006302,0.117526990232,0.0254473519587,0.102975685881,0.421574759507
 01/01  03:00:00,0.849479720879,7.85587696377,0.0,7.47338473273,0.0,0.22394563857,0.22394563857,0.22394563857,0.0839478806446,0.0181766751353,0.0864965903205,0.416686936208
 01/01  04:00:00,0.85742702817,8.66237494318,0.0,8.27190852911,0.0,0.247909316946,0.247909316946,0.247909316946,0.0839478806446,0.0181766751353,0.0763456071944,0.41082154825
 01/01  05:00:00,0.851409645776,8.59200783584,0.0,8.1343887753,0.0,0.243794275663,0.243794275663,0.243794275663,0.0839478806446,0.0181766751353,0.0899621050554,0.395302709277
 01/01  06:00:00,0.914719431685,8.915140861,0.0,8.16297062509,0.0,0.244647430958,0.244647430958,0.244647430958,0.0839478806446,0.0181766751353,0.106595392246,0.441126052701
 01/01  07:00:00,1.21905121985,10.5343480013,0.0,9.23304717643,0.0,0.276786703197,0.276786703197,0.276786703197,0.193080105882,0.0418063607087,0.177474275597,0.509677774465
 01/01  08:00:00,1.55843598755,8.05979884821,0.0,6.60466120551,0.0,0.19806728156,0.19806728156,0.19806728156,0.394555048708,0.0854303765206,0.281086459277,0.541570821488
 01/01  09:00:00,1.47060972499,6.97153241162,0.0,5.56310014785,0.0,0.166905873349,0.166905873349,0.166905873349,0.377765476535,0.08179504375,0.36605048386,0.457866847499
 01/01  10:00:00,1.2372411637,5.93916963583,0.0,4.66812445161,0.0,0.139929439257,0.139929439257,0.139929439257,0.193080105882,0.0418063607087,0.45251754537,0.389681712483
 01/01  11:00:00,1.20560425108,4.99653226722,0.0,3.88195959798,0.0,0.116312287488,0.116312287488,0.116312287488,0.159500966529,0.0345356726033,0.476182943291,0.398846381168
 01/01  12:00:00,1.20153214454,4.02615282938,0.0,3.04914903974,0.0,0.0913289005247,0.0913289005247,0.0913289005247,0.159500966529,0.0345356726033,0.496972028135,0.398968576751
 01/01  13:00:00,1.16267641224,3.37176442856,0.0,2.49651405088,0.0,0.0747500082785,0.0747500082785,0.0747500082785,0.159500966529,0.0345356726033,0.481415945109,0.392247819715
 01/01  14:00:00,1.10561701658,2.44162166438,0.0,1.627971412,0.0,0.0487239445947,0.0487239445947,0.0487239445947,0.159500966529,0.0345356726033,0.43681890348,0.405811529369
 01/01  15:00:00,1.0934564345,2.03643547711,0.0,1.28047423897,0.0,0.0383170903394,0.0383170903394,0.0383170903394,0.167895800977,0.0363533502707,0.402002089622,0.42866210329
