Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.922794302963,3.09800557625,0.0,2.63829872097,0.0,0.0767653489599,0.0767653489599,0.0767653489599,0.201474942826,0.043624015812,0.122837147866,0.457866847499
 01/01  02:00:00,0.791012732134,3.92492098117,0.0,3.54877117507,0.0,0.103261944555,0.103261944555,0.103261944555,0.117526990232,0.0254473519587,0.102975685881,0.421574759507
 01/01  03:00:00,0.745053911769,4.45905244705,0.0,4.10543319771,0.0,0.119519829461,0.119519829461,0.119519829461,0.0839478806446,0.0181766751353,0.0864965903205,0.416686936208
 01/01  04:00:00,0.760473212604,5.54729014767,0.0,5.18540837296,0.0,0.15095550138,0.15095550138,0.15095550138,0.0839478806446,0.0181766751353,0.0763456071944,0.41082154825
 01/01  05:00:00,0.753415702301,5.43663386949,0.0,5.00735108696,0.0,0.145800332189,0.145800332189,0.145800332189,0.0839478806446,0.0181766751353,0.0899621050554,0.395302709277
 01/01  06:00:00,0.825707823156,6.06671589319,0.0,5.34492362419,0.0,0.155635822428,0.155635822428,0.155635822428,0.0839478806446,0.0181766751353,0.106595392246,0.441126052701
 01/01  07:00:00,1.09789361786,6.61269211776,0.0,5.34250031458,0.0,0.155629101202,0.155629101202,0.155629101202,0.193080105882,0.0418063607087,0.177474275597,0.509677774465
 01/01  08:00:00,1.53282966265,7.34771673005,0.0,5.92094194151,0.0,0.17246095666,0.17246095666,0.17246095666,0.394555048708,0.0854303765206,0.281086459277,0.541570821488
 01/01  09:00:00,1.42712877892,5.62041632766,0.0,4.23714765986,0.0,0.123424927278,0.123424927278,0.123424927278,0.377765476535,0.08179504375,0.36605048386,0.457866847499
 01/01  10:00:00,1.16358771432,3.51341502853,0.0,2.27395751153,0.0,0.0662759898739,0.0662759898739,0.0662759898739,0.193080105882,0.0418063607087,0.45251754537,0.389681712483
 01/01  11:00:00,1.10375536185,1.56534073106,0.0,0.496407773849,0.0,0.0144633982598,0.0144633982598,0.0144633982598,0.159500966529,0.0345356726033,0.476182943291,0.398846381168
 01/01  12:00:00,1.11020324402,0.917170971452,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.496972028135,0.398968576751
 01/01  13:00:00,1.08792640396,0.806689356411,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.481415945109,0.392247819715
 01/01  14:00:00,1.05689307198,0.745338113614,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.43681890348,0.405811529369
 01/01  15:00:00,1.05513934416,0.691429185682,0.0,0.0,0.0,0.0,0.0,0.0,0.167895800977,0.0363533502707,0.402002089622,0.42866210329
 01/01  16:00:00,1.13975401648,0.70495879411,0.0,0.0,0.0,0.0,0.0,0.0,0.209869675559,0.0454416934793,0.411726405573,0.452490241871
 01/01  17:00:00,1.45494086286,0.796776509892,0.0,0.0,0.0,0.0,0.0,0.0,0.352581072411,0.076342033312,0.470575105936,0.5352166512
