Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.21078851478,7.1118494676,0.0,6.65334118024,0.0,0.235058667913,0.235058667913,0.235058667913,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.09217058951,9.10739684158,0.0,8.75783450779,0.0,0.309407509346,0.309407509346,0.309407509346,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.03436686875,9.56252834053,0.0,9.24313146111,0.0,0.32657211386,0.32657211386,0.32657211386,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.05973953113,10.7599719153,0.0,10.4330524861,0.0,0.368645729557,0.368645729557,0.368645729557,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.04029803523,10.3987032039,0.0,9.98660430946,0.0,0.352917865266,0.352917865266,0.352917865266,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.11218294362,10.8890963743,0.0,10.102174034,0.0,0.356997844335,0.356997844335,0.356997844335,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.48539855058,13.1006980652,0.0,11.6123931085,0.0,0.410431280709,0.410431280709,0.410431280709,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,1.9624207613,12.7955911724,0.0,11.1035929851,0.0,0.392540193924,0.392540193924,0.392540193924,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.70795005336,7.60838762762,0.0,5.95892949269,0.0,0.210594442867,0.210594442867,0.210594442867,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.36265148984,5.64878420487,0.0,4.15158004556,0.0,0.146642423707,0.146642423707,0.146642423707,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.28818794595,3.90205467042,0.0,2.58610360643,0.0,0.0913100760637,0.0913100760637,0.0913100760637,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.21925591788,1.19180487697,0.0,0.0411457692149,0.0,0.00145250542998,0.00145250542998,0.00145250542998,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.19474215524,1.02263224608,0.0,0.0,0.0,0.0,0.0,0.0,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.16529191968,0.943501853877,0.0,0.0,0.0,0.0,0.0,0.0,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.16925050084,0.870039773304,0.0,0.0,0.0,0.0,0.0,0.0,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.27187276804,0.879474663211,0.0,0.0,0.0,0.0,0.0,0.0,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.64848484718,0.981141764443,0.0,0.0,0.0,0.0,0.0,0.0,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.39203148158,2.03801351834,0.0,0.859671818027,0.0,0.0303706379036,0.0303706379036,0.0303706379036,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,2.92197130341,1.92339734677,0.0,0.555143381898,0.0,0.019596317592,0.019596317592,0.019596317592,1.25248956773,0.285407820314,0.522761393651,0.788316204123
 01/01  20:00:00,2.97310279255,3.67144570818,0.0,2.26392572291,0.0,0.0799274810928,0.0799274810928,0.0799274810928,1.32807082119,0.302630710236,0.425376441419,0.813697338616
 01/01  21:00:00,2.80292328614,5.63948039663,0.0,4.33248849125,0.0,0.153021647761,0.153021647761,0.153021647761,1.14451631022,0.260803683128,0.37951047539,0.841671169644
 01/01  22:00:00,2.50244122923,4.49542668219,0.0,3.32533047244,0.0,0.117466749789,0.117466749789,0.117466749789,0.960961801745,0.218976686564,0.359614732068,0.822021259068
 01/01  23:00:00,2.12248306967,6.90569104852,0.0,5.9534558979,0.0,0.210306098587,0.210306098587,0.210306098587,0.723420662017,0.164847621407,0.289154633287,0.71135405437
 01/01  24:00:00,1.68277144487,7.49787712671,0.0,6.78612141195,0.0,0.239743832641,0.239743832641,0.239743832641,0.496676901655,0.113178951643,0.191618322082,0.618153436849
 01/02  01:00:00,1.17873554639,6.40391770148,0.0,5.96358594442,0.0,0.210674996415,0.210674996415,0.210674996415,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/02  02:00:00,1.00516507766,6.76752794215,0.0,6.42700554794,0.0,0.227006858889,0.227006858889,0.227006858889,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/02  03:00:00,1.02173128407,9.28652798878,0.0,8.97391091213,0.0,0.316982974003,0.316982974003,0.316982974003,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/02  04:00:00,1.03367720858,10.0612468331,0.0,9.74175904123,0.0,0.344176378534,0.344176378534,0.344176378534,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
 01/02  05:00:00,1.00289808919,9.41517375752,0.0,9.01828085201,0.0,0.318634267419,0.318634267419,0.318634267419,0.107973243613,0.0246041219143,0.0868457568597,0.441440699384
 01/02  06:00:00,1.09845875027,10.5928375569,0.0,9.85101599874,0.0,0.348053125655,0.348053125655,0.348053125655,0.107973243613,0.0246041219143,0.101815917579,0.492612341507
 01/02  07:00:00,1.40097477186,10.9619190589,0.0,9.57694099091,0.0,0.33840393284,0.33840393284,0.33840393284,0.248338385058,0.0565894910929,0.165077844744,0.569165118123
 01/02  08:00:00,1.90982854091,11.8847113427,0.0,10.3190767016,0.0,0.364636228957,0.364636228957,0.364636228957,0.507474149482,0.115639377579,0.25639820385,0.604780581041
 01/02  09:00:00,1.68328250458,7.84859780094,0.0,6.33289361257,0.0,0.22377041157,0.22377041157,0.22377041157,0.485879522289,0.11071855625,0.32820696637,0.511307048096
 01/02  10:00:00,1.30606791696,5.41059471246,0.0,4.03722514823,0.0,0.142595085446,0.142595085446,0.142595085446,0.248338385058,0.0565894910929,0.39998131075,0.435163644616
 01/02  11:00:00,1.21784509432,3.48581321639,0.0,2.27637950421,0.0,0.0803694916853,0.0803694916853,0.0803694916853,0.205149135666,0.0467478178928,0.416780676038,0.445397973041
 01/02  12:00:00,1.17794511622,1.66736083253,0.0,0.605728063166,0.0,0.0213785896582,0.0213785896582,0.0213785896582,0.205149135666,0.0467478178928,0.435735142253,0.445534430753
 01/02  13:00:00,1.13896323167,0.945530375032,0.0,0.0,0.0,0.0,0.0,0.0,0.205149135666,0.0467478178928,0.425637021538,0.438029256575
 01/02  14:00:00,1.11443921526,0.876739614249,0.0,0.0,0.0,0.0,0.0,0.0,0.205149135666,0.0467478178928,0.385966199058,0.453176062644
 01/02  15:00:00,1.12360400012,0.809536462505,0.0,0.0,0.0,0.0,0.0,0.0,0.215946512535,0.0492082438285,0.356355588907,0.478693654849
 01/02  16:00:00,1.22863729986,0.81946259332,0.0,0.0,0.0,0.0,0.0,0.0,0.269933141293,0.0615103124214,0.368490937387,0.505302908753
 01/02  17:00:00,1.60658060821,0.90766377884,0.0,0.0,0.0,0.0,0.0,0.0,0.453487652263,0.103337308986,0.428670866964,0.59768478
 01/02  18:00:00,2.32041692523,1.09081061378,0.0,0.0,0.0,0.0,0.0,0.0,0.842191296402,0.191912153986,0.536821987543,0.726091487301
 01/02  19:00:00,2.87780348844,1.69224338755,0.0,0.437509879909,0.0,0.0154572039318,0.0154572039318,0.0154572039318,1.25248956773,0.285407820314,0.482732692333,0.788316204123
 01/02  20:00:00,2.90198587393,2.66196986427,0.0,1.38120377105,0.0,0.048762775556,0.048762775556,0.048762775556,1.32807082119,0.302630710236,0.385424228339,0.813697338616
 01/02  21:00:00,2.70142948417,3.79800657813,0.0,2.61138202537,0.0,0.0921924443631,0.0921924443631,0.0921924443631,1.14451631022,0.260803683128,0.338845876819,0.841671169644
 01/02  22:00:00,2.4296322781,3.51015645923,0.0,2.44148118722,0.0,0.0861991322246,0.0861991322246,0.0861991322246,0.960961801745,0.218976686564,0.318073398495,0.822021259068
