Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.20925551548,7.52191072039,0.0,7.06081466607,0.0,0.233525668608,0.233525668608,0.233525668608,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.03543972298,7.99087134991,0.0,7.63901338057,0.0,0.25267664281,0.25267664281,0.25267664281,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,0.979581027466,8.53812673092,0.0,8.21639055889,0.0,0.271786272577,0.271786272577,0.271786272577,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,0.978361651291,9.0135113793,0.0,8.68406066048,0.0,0.28726784972,0.28726784972,0.28726784972,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,0.990940126942,9.59085903184,0.0,9.17617510623,0.0,0.303559956976,0.303559956976,0.303559956976,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.06819851196,10.250303724,0.0,9.46130771328,0.0,0.313013412679,0.313013412679,0.313013412679,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.41758690691,11.8463882664,0.0,10.3556403545,0.0,0.342619637039,0.342619637039,0.342619637039,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,1.90747895247,11.8963679739,0.0,10.2021521238,0.0,0.337598385093,0.337598385093,0.337598385093,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.7567947451,9.49085744421,0.0,7.84028661895,0.0,0.259439134604,0.259439134604,0.259439134604,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.41411325983,7.48640639662,0.0,5.98862183027,0.0,0.198104193697,0.198104193697,0.198104193697,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.37828598636,6.80101571438,0.0,5.48513418936,0.0,0.181408116471,0.181408116471,0.181408116471,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.33475767213,4.68683904893,0.0,3.53710570835,0.0,0.116954259688,0.116954259688,0.116954259688,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.32113305425,4.84450033829,0.0,3.82307803849,0.0,0.126390899006,0.126390899006,0.126390899006,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.22101165647,2.62923181956,0.0,1.68573067872,0.0,0.0557197367853,0.0557197367853,0.0557197367853,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.22411793778,2.53053033925,0.0,1.66020788665,0.0,0.0548674369449,0.0548674369449,0.0548674369449,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.34295157423,3.0308015014,0.0,2.15086865826,0.0,0.0710788061847,0.0710788061847,0.0710788061847,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.75717101766,4.26940036862,0.0,3.28811887063,0.0,0.108686170476,0.108686170476,0.108686170476,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.51275135506,5.7473326203,0.0,4.56900734242,0.0,0.151090511389,0.151090511389,0.151090511389,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.05872370522,6.09436905134,0.0,4.72631544591,0.0,0.1563487194,0.1563487194,0.1563487194,1.25248956773,0.285407820314,0.522761393651,0.788316204123
