Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.08837375152,7.55824107588,0.0,7.06094690097,0.0,0.242344797515,0.242344797515,0.242344797515,0.201474942826,0.043624015812,0.122837147866,0.457866847499
 01/01  02:00:00,0.959269226313,8.32846800781,0.0,7.91454163535,0.0,0.271518438734,0.271518438734,0.271518438734,0.117526990232,0.0254473519587,0.102975685881,0.421574759507
 01/01  03:00:00,0.891253760567,8.13859183433,0.0,7.74614940349,0.0,0.265719678259,0.265719678259,0.265719678259,0.0839478806446,0.0181766751353,0.0864965903205,0.416686936208
 01/01  04:00:00,0.889487397283,8.55257171022,0.0,8.15343587609,0.0,0.279969686059,0.279969686059,0.279969686059,0.0839478806446,0.0181766751353,0.0763456071944,0.41082154825
 01/01  05:00:00,0.891331975901,8.72839902816,0.0,8.26235228387,0.0,0.283716605789,0.283716605789,0.283716605789,0.0839478806446,0.0181766751353,0.0899621050554,0.395302709277
 01/01  06:00:00,0.981371043818,9.82725190741,0.0,9.06500514964,0.0,0.31129904309,0.31129904309,0.31129904309,0.0839478806446,0.0181766751353,0.106595392246,0.441126052701
 01/01  07:00:00,1.24676878872,10.1777303049,0.0,8.8661884093,0.0,0.30450427207,0.30450427207,0.30450427207,0.193080105882,0.0418063607087,0.177474275597,0.509677774465
 01/01  08:00:00,1.63874139526,9.57221916575,0.0,8.10229384265,0.0,0.278372689266,0.278372689266,0.278372689266,0.394555048708,0.0854303765206,0.281086459277,0.541570821488
 01/01  09:00:00,1.5147188475,7.56285361217,0.0,6.13883756382,0.0,0.21101499586,0.21101499586,0.21101499586,0.377765476535,0.08179504375,0.36605048386,0.457866847499
 01/01  10:00:00,1.23572433448,5.30339072072,0.0,4.02601076131,0.0,0.138412610041,0.138412610041,0.138412610041,0.193080105882,0.0418063607087,0.45251754537,0.389681712483
 01/01  11:00:00,1.20402098924,4.45278077618,0.0,3.34007384959,0.0,0.114729025651,0.114729025651,0.114729025651,0.159500966529,0.0345356726033,0.476182943291,0.398846381168
