Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.03078732238,0.0,0.0,0.0,0.0,0.0,0.0,0.205180948854,0.044615467641,0.122837147866,0.492803099408,0.144920658613
 01/01  02:00:00,0.814757076113,0.0,0.0,0.0,0.0,0.0,0.0,0.119688825964,0.0260256990727,0.102975685881,0.453741844932,0.0918950202647
 01/01  03:00:00,0.737913981498,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0864965903205,0.448481069918,0.0784244892465
 01/01  04:00:00,0.72551396674,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0763456071944,0.442168139901,0.0824883876307
 01/01  05:00:00,0.764940215974,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0899621050554,0.425465179233,0.125001099672
 01/01  06:00:00,1.01572248917,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.106595392246,0.474784944986,0.309830319927
 01/01  07:00:00,1.64178769406,0.0,0.0,0.0,0.0,0.0,0.0,0.196631694114,0.0427565023227,0.177474275597,0.548567314553,0.655927907477
 01/01  08:00:00,2.18860755704,0.0,0.025292400575,0.0,0.000863863235765,0.0261562638108,0.000863863235765,0.401812642967,0.0873719699637,0.281086459277,0.582893871518,0.751356349501
 01/01  09:00:00,2.0766337112,0.0,0.0,0.0,0.0,0.0,0.0,0.384714237118,0.08365401625,0.36605048386,0.492803099408,0.728981874559
 01/01  10:00:00,1.80425930051,0.0,0.0199282644957,0.0,0.000680855556996,0.0206091200527,0.000680855556996,0.196631694114,0.0427565023227,0.45251754537,0.419415287967,0.651899150683
 01/01  11:00:00,1.88258446386,0.0,0.19248441989,0.0,0.0065726239241,0.199057043814,0.0065726239241,0.162434887409,0.0353205718184,0.476182943291,0.429279241118,0.559879776405
 01/01  12:00:00,1.62049664767,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.496972028135,0.429410760493,0.475928399817
 01/01  13:00:00,1.53095067355,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.481415945109,0.422177194849,0.409172074368
 01/01  14:00:00,1.46087539816,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.43681890348,0.436775845512,0.369095189942
 01/01  15:00:00,1.42470974838,0.0,0.0,0.0,0.0,0.0,0.0,0.170984139652,0.0371795602137,0.402002089622,0.461369968701,0.332743990194
 01/01  16:00:00,1.51696259966,0.0,0.0,0.0,0.0,0.0,0.0,0.213730097466,0.0464744560363,0.411726405573,0.487016246893,0.337585393691
 01/01  17:00:00,1.88978804809,0.0,0.0,0.0,0.0,0.0,0.0,0.359066581522,0.078077074141,0.470575105936,0.576054864,0.385584422489
 01/01  18:00:00,2.59248353617,0.0,0.0,0.0,0.0,0.0,0.0,0.666837950491,0.145000287141,0.578065905983,0.699814596197,0.482334796359
 01/01  19:00:00,3.11977162272,0.0,0.0,0.0,0.0,0.0,0.0,0.991707725308,0.215641453855,0.522761393651,0.759787431353,0.579443618557
 01/01  20:00:00,3.11196225927,0.0,0.0,0.0,0.0,0.0,0.0,1.05155219011,0.228654303391,0.425376441419,0.784250035167,0.601699289188
 01/01  21:00:00,2.86504734071,0.0,0.0,0.0,0.0,0.0,0.0,0.906215706049,0.197051685286,0.37951047539,0.811211507112,0.550627966868
 01/01  22:00:00,2.58118551191,0.0,0.0,0.0,0.0,0.0,0.0,0.76087922449,0.165449067182,0.359614732068,0.792272717063,0.482539771107
 01/01  23:00:00,2.07251072717,0.0,0.0,0.0,0.0,0.0,0.0,0.572796678988,0.124551530177,0.289154633287,0.68561050366,0.379967381059
 01/01  24:00:00,1.55282153758,0.0,0.0,0.0,0.0,0.0,0.0,0.393263388227,0.0855129815683,0.191618322082,0.595782770301,0.266214075399
 01/02  01:00:00,1.01398047822,0.0,0.0,0.0,0.0,0.0,0.0,0.205180948854,0.044615467641,0.115167850971,0.492803099408,0.135783111351
 01/02  02:00:00,0.805205118596,0.0,0.0,0.0,0.0,0.0,0.0,0.119688825964,0.0260256990727,0.0983708244822,0.453741844932,0.0869479241466
 01/02  03:00:00,0.730993345085,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0834501454999,0.448481069918,0.0745502976537
 01/02  04:00:00,0.720095723402,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0747526356716,0.442168139901,0.0786631158152
 01/02  05:00:00,0.754110051694,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.0868457568597,0.425465179233,0.117287283588
 01/02  06:00:00,0.988671781,0.0,0.0,0.0,0.0,0.0,0.0,0.0854920495992,0.0185897824145,0.101815917579,0.474784944986,0.28755908642
 01/02  07:00:00,1.57761773131,0.0,0.0,0.0,0.0,0.0,0.0,0.196631694114,0.0427565023227,0.165077844744,0.548567314553,0.604154375577
 01/02  08:00:00,2.07505021127,0.0,0.0,0.0,0.0,0.0,0.0,0.401812642967,0.0873719699637,0.25639820385,0.582893871518,0.688643522975
 01/02  09:00:00,1.97347212725,0.0,0.0,0.0,0.0,0.0,0.0,0.384714237118,0.08365401625,0.32820696637,0.492803099408,0.663663808108
 01/02  10:00:00,1.67100201883,0.0,0.0,0.0,0.0,0.0,0.0,0.196631694114,0.0427565023227,0.39998131075,0.419415287967,0.591787223677
 01/02  11:00:00,1.57166729595,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.416780676038,0.429279241118,0.507421919564
 01/02  12:00:00,1.51701714586,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.435735142253,0.429410760493,0.433685783886
 01/02  13:00:00,1.44238122015,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.425637021538,0.422177194849,0.376381544537
 01/02  14:00:00,1.38396612673,0.0,0.0,0.0,0.0,0.0,0.0,0.162434887409,0.0353205718184,0.385966199058,0.436775845512,0.343038622933
 01/02  15:00:00,1.35588569455,0.0,0.0,0.0,0.0,0.0,0.0,0.170984139652,0.0371795602137,0.356355588907,0.461369968701,0.309566437075
 01/02  16:00:00,1.45047730101,0.0,0.0,0.0,0.0,0.0,0.0,0.213730097466,0.0464744560363,0.368490937387,0.487016246893,0.314335563232
 01/02  17:00:00,1.81770339647,0.0,0.0,0.0,0.0,0.0,0.0,0.359066581522,0.078077074141,0.428670866964,0.576054864,0.355404009847
 01/02  18:00:00,2.51353228853,0.0,0.0,0.0,0.0,0.0,0.0,0.666837950491,0.145000287141,0.536821987543,0.699814596197,0.444627467155
 01/02  19:00:00,3.02863944148,0.0,0.0,0.0,0.0,0.0,0.0,0.991707725308,0.215641453855,0.482732692333,0.759787431353,0.52834013863
 01/02  20:00:00,3.013746617,0.0,0.0,0.0,0.0,0.0,0.0,1.05155219011,0.228654303391,0.385424228339,0.784250035167,0.543435860001
 01/02  21:00:00,2.76911246725,0.0,0.0,0.0,0.0,0.0,0.0,0.906215706049,0.197051685286,0.338845876819,0.811211507112,0.495357691984
 01/02  22:00:00,2.49328625537,0.0,0.0,0.0,0.0,0.0,0.0,0.76087922449,0.165449067182,0.318073398495,0.792272717063,0.436181848146
 01/02  23:00:00,2.00334279718,0.0,0.0,0.0,0.0,0.0,0.0,0.572796678988,0.124551530177,0.256145886137,0.68561050366,0.343808198223
 01/02  24:00:00,1.76729434765,0.0,0.24581582669,0.0,0.00840145022156,0.254217276912,0.00840145022156,0.393263388227,0.0855129815683,0.173494335907,0.595782770301,0.244593594739
 01/03  01:00:00,1.64954663717,0.0,0.612272239699,0.0,0.0209034169731,0.633175656672,0.0209034169731,0.205180948854,0.044615467641,0.115167850971,0.492803099408,0.138173613626
 01/03  02:00:00,1.72403653042,0.0,0.886255135752,0.0,0.0302405216648,0.916495657417,0.0302405216648,0.119688825964,0.0260256990727,0.0983708244822,0.453741844932,0.0892836785552
 01/03  03:00:00,1.90378544666,0.0,1.1321423604,0.0,0.0386297389285,1.17077209932,0.0386297389285,0.0854920495992,0.0185897824145,0.0834501454999,0.448481069918,0.0765702999078
 01/03  04:00:00,2.16883914261,0.0,1.39910678719,0.0,0.0477597103195,1.44686649751,0.0477597103195,0.0854920495992,0.0185897824145,0.0747526356716,0.442168139901,0.0805400375199
 01/03  05:00:00,2.36231792119,0.0,1.55324563619,0.0,0.0530355781085,1.6062812143,0.0530355781085,0.0854920495992,0.0185897824145,0.0868457568597,0.425465179233,0.119213938787
 01/03  06:00:00,2.66822920769,0.0,1.6220601681,0.0,0.0554000410695,1.67746020917,0.0554000410695,0.0854920495992,0.0185897824145,0.101815917579,0.474784944986,0.289656303945
 01/03  07:00:00,3.20539259263,0.0,1.57119292366,0.0,0.0536761279019,1.62486905156,0.0536761279019,0.196631694114,0.0427565023227,0.165077844744,0.548567314553,0.607060185332
 01/03  08:00:00,4.0239911244,0.0,1.88134729746,0.0,0.0642914356435,1.94563873311,0.0642914356435,0.401812642967,0.0873719699637,0.25639820385,0.582893871518,0.691945702991
 01/03  09:00:00,3.46680520028,0.0,1.44057407905,0.0,0.0492416666894,1.48981574574,0.0492416666894,0.384714237118,0.08365401625,0.32820696637,0.492803099408,0.667181135384
 01/03  10:00:00,2.87381564701,0.0,1.15965711949,0.0,0.0396616738464,1.19931879333,0.0396616738464,0.196631694114,0.0427565023227,0.39998131075,0.419415287967,0.595282058527
 01/03  11:00:00,2.65886473454,0.0,1.04742170124,0.0,0.0358166536562,1.0832383549,0.0358166536562,0.162434887409,0.0353205718184,0.416780676038,0.429279241118,0.511381003257
 01/03  12:00:00,2.08830646528,0.0,0.549461086936,0.0,0.0187927589556,0.568253845892,0.0187927589556,0.162434887409,0.0353205718184,0.435735142253,0.429410760493,0.436721257418
 01/03  13:00:00,1.8404505634,0.0,0.382926300888,0.0,0.013096451734,0.396022752622,0.013096451734,0.162434887409,0.0353205718184,0.425637021538,0.422177194849,0.37842813516
 01/03  14:00:00,1.61112587435,0.0,0.217795098506,0.0,0.00744759273214,0.225242691238,0.00744759273214,0.162434887409,0.0353205718184,0.385966199058,0.436775845512,0.344955679311
 01/03  15:00:00,1.37292943643,0.0,0.0150927594689,0.0,0.00051612243235,0.0156088819012,0.00051612243235,0.170984139652,0.0371795602137,0.356355588907,0.461369968701,0.311001297052
 01/03  16:00:00,1.45149215214,0.0,0.0,0.0,0.0,0.0,0.0,0.213730097466,0.0464744560363,0.368490937387,0.487016246893,0.315350414362
 01/03  17:00:00,1.8186741476,0.0,0.0,0.0,0.0,0.0,0.0,0.359066581522,0.078077074141,0.428670866964,0.576054864,0.356374760973
 01/03  18:00:00,2.51448792178,0.0,0.0,0.0,0.0,0.0,0.0,0.666837950491,0.145000287141,0.536821987543,0.699814596197,0.445583100411
 01/03  19:00:00,3.0297339561,0.0,0.0,0.0,0.0,0.0,0.0,0.991707725308,0.215641453855,0.482732692333,0.759787431353,0.529434653254
 01/03  20:00:00,3.01453041851,0.0,0.0,0.0,0.0,0.0,0.0,1.05155219011,0.228654303391,0.385424228339,0.784250035167,0.544219661503
 01/03  21:00:00,2.7697661963,0.0,0.0,0.0,0.0,0.0,0.0,0.906215706049,0.197051685286,0.338845876819,0.811211507112,0.496011421033
 01/03  22:00:00,2.49377426031,0.0,0.0,0.0,0.0,0.0,0.0,0.76087922449,0.165449067182,0.318073398495,0.792272717063,0.436669853083
 01/03  23:00:00,2.14161956114,0.0,0.132987360696,0.0,0.00454725356069,0.137534614256,0.00454725356069,0.572796678988,0.124551530177,0.256145886137,0.68561050366,0.344550347917
 01/03  24:00:00,2.04954456619,0.0,0.518288202968,0.0,0.017711808983,0.536000011951,0.017711808983,0.393263388227,0.0855129815683,0.173494335907,0.595782770301,0.245061078233
 01/04  01:00:00,1.94415449054,0.0,0.896787204888,0.0,0.0306355522752,0.927422757163,0.0306355522752,0.205180948854,0.044615467641,0.115167850971,0.492803099408,0.138534366506
 01/04  02:00:00,2.23676753992,0.0,1.38116848531,0.0,0.0471822001312,1.42835068544,0.0471822001312,0.119688825964,0.0260256990727,0.0983708244822,0.453741844932,0.0901596600329
 01/04  03:00:00,2.31841882672,0.0,1.53228012234,0.0,0.0523537522757,1.58463387462,0.0523537522757,0.0854920495992,0.0185897824145,0.0834501454999,0.448481069918,0.0773419046747
 01/04  04:00:00,2.61855780565,0.0,1.83293375735,0.0,0.0626439757194,1.89557773307,0.0626439757194,0.0854920495992,0.0185897824145,0.0747526356716,0.442168139901,0.0815474649859
 01/04  05:00:00,2.7958435096,0.0,1.97128994227,0.0,0.0673913192076,2.03868126148,0.0673913192076,0.0854920495992,0.0185897824145,0.0868457568597,0.425465179233,0.120339480019
 01/04  06:00:00,3.09534416655,0.0,2.03387063687,0.0,0.0695441498993,2.10341478677,0.0695441498993,0.0854920495992,0.0185897824145,0.101815917579,0.474784944986,0.290816685196
 01/04  07:00:00,4.23281576397,0.0,2.56311407953,0.0,0.0876638743397,2.65077795387,0.0876638743397,0.196631694114,0.0427565023227,0.165077844744,0.548567314553,0.60857445437
