Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,9.4528495243,0.0,8.11964244527,0.0,0.28248584831,8.40212829358,0.28248584831,0.205180948854,0.044615467641,0.122837147866,0.492803099408,0.164854566951
 01/01  02:00:00,9.23995284625,0.0,8.122629625,0.0,0.28248584831,8.40511547331,0.28248584831,0.119688825964,0.0260256990727,0.102975685881,0.453741844932,0.111975317094
 01/01  03:00:00,9.15965776315,0.0,8.11966412145,0.0,0.28248584831,8.40214996976,0.28248584831,0.0854920495992,0.0185897824145,0.0864965903205,0.448481069918,0.0980183011426
 01/01  04:00:00,9.16887305786,0.0,8.14124443833,0.0,0.28248584831,8.42373028664,0.28248584831,0.0854920495992,0.0185897824145,0.0763456071944,0.442168139901,0.102117192111
 01/01  05:00:00,9.2084655285,0.0,8.14163675156,0.0,0.28248584831,8.42412259987,0.28248584831,0.0854920495992,0.0185897824145,0.0899621050554,0.425465179233,0.144403812329
 01/01  06:00:00,9.45653950454,0.0,8.13892303569,0.0,0.28248584831,8.421408884,0.28248584831,0.0854920495992,0.0185897824145,0.106595392246,0.474784944986,0.329238451293
 01/01  07:00:00,10.1002582553,0.0,8.15667494905,0.0,0.28248584831,8.43916079736,0.28248584831,0.196631694114,0.0427565023227,0.177474275597,0.548567314553,0.67523767139
 01/01  08:00:00,10.4576273579,0.0,7.99855184599,0.0,0.277504555515,8.27605640151,0.277504555515,0.401812642967,0.0873719699637,0.281086459277,0.582893871518,0.770476012635
 01/01  09:00:00,10.0590349769,0.0,7.69575231242,0.0,0.267916709412,7.96366902183,0.267916709412,0.384714237118,0.08365401625,0.36605048386,0.492803099408,0.747714118386
 01/01  10:00:00,8.99995770627,0.0,6.95581260822,0.0,0.242327569693,7.19814017791,0.242327569693,0.196631694114,0.0427565023227,0.45251754537,0.419415287967,0.670066498591
 01/01  11:00:00,8.11841368223,0.0,6.20237076263,0.0,0.216098524071,6.4184692867,0.216098524071,0.162434887409,0.0353205718184,0.476182943291,0.429279241118,0.576296751899
 01/01  12:00:00,6.81186072174,0.0,5.00106177257,0.0,0.174285659988,5.17534743256,0.174285659988,0.162434887409,0.0353205718184,0.496972028135,0.429410760493,0.491945041327
 01/01  13:00:00,6.20346346386,0.0,4.49722237032,0.0,0.156641421613,4.65386379193,0.156641421613,0.162434887409,0.0353205718184,0.481415945109,0.422177194849,0.427821072745
 01/01  14:00:00,5.55304970592,0.0,3.93488542768,0.0,0.136977051351,4.07186247904,0.136977051351,0.162434887409,0.0353205718184,0.43681890348,0.436775845512,0.389407018661
 01/01  15:00:00,4.92497869639,0.0,3.36306506985,0.0,0.117044457417,3.48010952727,0.117044457417,0.170984139652,0.0371795602137,0.402002089622,0.461369968701,0.352903410933
 01/01  16:00:00,5.14318065837,0.0,3.48500498174,0.0,0.121222932546,3.60622791429,0.121222932546,0.213730097466,0.0464744560363,0.411726405573,0.487016246893,0.357575538114
 01/01  17:00:00,5.87835480321,0.0,3.8351712667,0.0,0.133284823803,3.9684560905,0.133284823803,0.359066581522,0.078077074141,0.470575105936,0.576054864,0.405695087112
 01/01  18:00:00,7.55342914055,0.0,4.774493313,0.0,0.165867470069,4.94036078307,0.165867470069,0.666837950491,0.145000287141,0.578065905983,0.699814596197,0.502919617675
 01/01  19:00:00,8.16259619834,0.0,4.85310530456,0.0,0.168655175107,5.02176047966,0.168655175107,0.991707725308,0.215641453855,0.522761393651,0.759787431353,0.600507714506
 01/01  20:00:00,8.61228323744,0.0,5.29510980616,0.0,0.184058403787,5.47916820994,0.184058403787,1.05155219011,0.228654303391,0.425376441419,0.784250035167,0.622852057413
 01/01  21:00:00,8.98133664458,0.0,5.8904684844,0.0,0.204735355427,6.09520383983,0.204735355427,0.906215706049,0.197051685286,0.37951047539,0.811211507112,0.571713430919
 01/01  22:00:00,9.16581485659,0.0,6.3437060434,0.0,0.220534392111,6.56424043551,0.220534392111,0.76087922449,0.165449067182,0.359614732068,0.792272717063,0.502928680283
 01/01  23:00:00,9.61137404199,0.0,7.26546967907,0.0,0.252604475719,7.51807415478,0.252604475719,0.572796678988,0.124551530177,0.289154633287,0.68561050366,0.400756541092
 01/01  24:00:00,9.68125768394,0.0,7.83560988363,0.0,0.272481429036,8.10809131267,0.272481429036,0.393263388227,0.0855129815683,0.191618322082,0.595782770301,0.286558909096
 01/02  01:00:00,9.44845034992,0.0,8.13196361928,0.0,0.28248584831,8.41444946759,0.28248584831,0.205180948854,0.044615467641,0.115167850971,0.492803099408,0.155803515459
 01/02  02:00:00,9.27011267681,0.0,8.16212111467,0.0,0.28248584831,8.44460696298,0.28248584831,0.119688825964,0.0260256990727,0.0983708244822,0.453741844932,0.107248519375
 01/02  03:00:00,9.27294304019,0.0,8.23911497973,0.0,0.28248584831,8.52160082804,0.28248584831,0.0854920495992,0.0185897824145,0.0834501454999,0.448481069918,0.094899164728
 01/02  04:00:00,9.35913162925,0.0,8.33580266158,0.0,0.28248584831,8.61828850989,0.28248584831,0.0854920495992,0.0185897824145,0.0747526356716,0.442168139901,0.0994105117778
 01/02  05:00:00,9.47022128584,0.0,8.41297012424,0.0,0.28248584831,8.69545597255,0.28248584831,0.0854920495992,0.0185897824145,0.0868457568597,0.425465179233,0.137942545182
 01/02  06:00:00,9.74862849055,0.0,8.45644626072,0.0,0.28248584831,8.73893210903,0.28248584831,0.0854920495992,0.0185897824145,0.101815917579,0.474784944986,0.308583686939
 01/02  07:00:00,10.4143706644,0.0,8.53280630979,0.0,0.28248584831,8.8152921581,0.28248584831,0.196631694114,0.0427565023227,0.165077844744,0.548567314553,0.625615150565
 01/02  08:00:00,11.0083933746,0.0,8.62914583748,0.0,0.28248584831,8.91163168579,0.28248584831,0.401812642967,0.0873719699637,0.25639820385,0.582893871518,0.710355000465
 01/02  09:00:00,10.7042248105,0.0,8.42725851231,0.0,0.28248584831,8.70974436062,0.28248584831,0.384714237118,0.08365401625,0.32820696637,0.492803099408,0.684672130738
 01/02  10:00:00,10.2474519748,0.0,8.27460845744,0.0,0.28248584831,8.55709430575,0.28248584831,0.196631694114,0.0427565023227,0.39998131075,0.419415287967,0.611142873919
 01/02  11:00:00,9.39010228328,0.0,7.53922364884,0.0,0.261369863213,7.80059351206,0.261369863213,0.162434887409,0.0353205718184,0.416780676038,0.429279241118,0.525263394843
 01/02  12:00:00,7.77130272566,0.0,6.02823608997,0.0,0.210138662861,6.23837475283,0.210138662861,0.162434887409,0.0353205718184,0.435735142253,0.429410760493,0.449596610861
 01/02  13:00:00,6.32816619674,0.0,4.70701007691,0.0,0.164204170321,4.87121424724,0.164204170321,0.162434887409,0.0353205718184,0.425637021538,0.422177194849,0.390952273894
 01/02  14:00:00,5.69547628245,0.0,4.15216145496,0.0,0.144738111357,4.29689956632,0.144738111357,0.162434887409,0.0353205718184,0.385966199058,0.436775845512,0.357649212334
 01/02  15:00:00,4.9401879326,0.0,3.44956344221,0.0,0.120195048318,3.56975849052,0.120195048318,0.170984139652,0.0371795602137,0.356355588907,0.461369968701,0.324110184596
 01/02  16:00:00,5.13179511864,0.0,3.54317702113,0.0,0.123357921141,3.66653494227,0.123357921141,0.213730097466,0.0464744560363,0.368490937387,0.487016246893,0.329118438592
 01/02  17:00:00,6.14174066764,0.0,4.16366774475,0.0,0.144816430112,4.30848417486,0.144816430112,0.359066581522,0.078077074141,0.428670866964,0.576054864,0.370957106145
 01/02  18:00:00,7.49942193617,0.0,4.80249399404,0.0,0.167011681579,4.96950567562,0.167011681579,0.666837950491,0.145000287141,0.536821987543,0.699814596197,0.461011439184
 01/02  19:00:00,8.18810504038,0.0,4.96980712785,0.0,0.172899578588,5.14270670644,0.172899578588,0.991707725308,0.215641453855,0.482732692333,0.759787431353,0.545099031093
