Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.36937872081,14.1493958757,0.0,13.6958654137,0.0,0.393648873941,0.393648873941,0.393648873941,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.1795278952,14.1476207747,0.0,13.8031447969,0.0,0.396764815032,0.396764815032,0.396764815032,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.12577966344,14.8550626446,0.0,14.5407136125,0.0,0.41798490855,0.41798490855,0.41798490855,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.12670373566,15.4748319708,0.0,15.1528033393,0.0,0.43560993409,0.43560993409,0.43560993409,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.12786265844,15.7281208605,0.0,15.3208998914,0.0,0.440482488478,0.440482488478,0.440482488478,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.16124357677,14.9043923246,0.0,14.1223905159,0.0,0.406058477485,0.406058477485,0.406058477485,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.5205343308,16.981370352,0.0,15.4974524002,0.0,0.445567060931,0.445567060931,0.445567060931,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,2.01185944356,17.057688574,0.0,15.3703016392,0.0,0.441978876185,0.441978876185,0.441978876185,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.91403978234,16.1313180634,0.0,14.4882790972,0.0,0.41668417184,0.41668417184,0.41668417184,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.61260199695,15.280109155,0.0,13.7905866112,0.0,0.396592930815,0.396592930815,0.396592930815,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.6422803195,16.7966508015,0.0,15.4894218826,0.0,0.445402449613,0.445402449613,0.445402449613,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.61466063964,14.9405406217,0.0,13.8002237608,0.0,0.396857227196,0.396857227196,0.396857227196,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.57804864185,14.34230663,0.0,13.330105797,0.0,0.383306486602,0.383306486602,0.383306486602,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.53133739609,13.665009191,0.0,12.7314455364,0.0,0.366045476412,0.366045476412,0.366045476412,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.52377786337,13.1923070856,0.0,12.3318536513,0.0,0.354527362539,0.354527362539,0.354527362539,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.62393562773,13.1174877945,0.0,12.2470691073,0.0,0.352062859687,0.352062859687,0.352062859687,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.9822906279,12.5853861785,0.0,11.6126711092,0.0,0.333805780716,0.333805780716,0.333805780716,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.68839862909,12.5384629752,0.0,11.3671342062,0.0,0.326737785416,0.326737785416,0.326737785416,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.22585270239,12.615694092,0.0,11.2541137299,0.0,0.323477716566,0.323477716566,0.323477716566,1.25248956773,0.285407820314,0.522761393651,0.788316204123
 01/01  20:00:00,3.17473502321,11.1964061153,0.0,9.79498075477,0.0,0.281559711754,0.281559711754,0.281559711754,1.32807082119,0.302630710236,0.425376441419,0.813697338616
 01/01  21:00:00,2.92331043729,10.8126887036,0.0,9.5104499951,0.0,0.273408798911,0.273408798911,0.273408798911,1.14451631022,0.260803683128,0.37951047539,0.841671169644
 01/01  22:00:00,2.6728767009,11.1810065698,0.0,10.0157833458,0.0,0.287902221459,0.287902221459,0.287902221459,0.960961801745,0.218976686564,0.359614732068,0.822021259068
 01/01  23:00:00,2.20991430063,11.3067670993,0.0,10.359230998,0.0,0.297737329552,0.297737329552,0.297737329552,0.723420662017,0.164847621407,0.289154633287,0.71135405437
 01/01  24:00:00,1.77548949036,12.2756102332,0.0,11.5683608726,0.0,0.332461878132,0.332461878132,0.332461878132,0.496676901655,0.113178951643,0.191618322082,0.618153436849
 01/02  01:00:00,1.3101520586,12.3386006164,0.0,11.903467599,0.0,0.34209150862,0.34209150862,0.34209150862,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/02  02:00:00,1.13349590462,12.6997601191,0.0,12.3646062175,0.0,0.355337685854,0.355337685854,0.355337685854,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/02  03:00:00,1.07178032017,13.0800803174,0.0,12.7721724794,0.0,0.367032010097,0.367032010097,0.367032010097,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/02  04:00:00,1.09449654094,14.4070732232,0.0,14.0921857072,0.0,0.40499571089,0.40499571089,0.40499571089,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
 01/02  05:00:00,1.10461333186,15.0166640354,0.0,14.6247837258,0.0,0.420349510091,0.420349510091,0.420349510091,0.107973243613,0.0246041219143,0.0868457568597,0.441440699384
 01/02  06:00:00,1.17554198479,15.5268123313,0.0,14.7901199879,0.0,0.425136360173,0.425136360173,0.425136360173,0.107973243613,0.0246041219143,0.101815917579,0.492612341507
 01/02  07:00:00,1.52788211938,17.564070974,0.0,16.1847171545,0.0,0.465311280362,0.465311280362,0.465311280362,0.248338385058,0.0565894910929,0.165077844744,0.569165118123
 01/02  08:00:00,1.99426774629,17.1767832798,0.0,15.6170568474,0.0,0.449075434336,0.449075434336,0.449075434336,0.507474149482,0.115639377579,0.25639820385,0.604780581041
 01/02  09:00:00,1.90175219816,16.8859903024,0.0,15.3771323377,0.0,0.442240105159,0.442240105159,0.442240105159,0.485879522289,0.11071855625,0.32820696637,0.511307048096
 01/02  10:00:00,1.5661988172,15.3694920253,0.0,14.0040417459,0.0,0.402725985684,0.402725985684,0.402725985684,0.248338385058,0.0565894910929,0.39998131075,0.435163644616
 01/02  11:00:00,1.50974308186,14.1477230348,0.0,12.9468321942,0.0,0.372267479219,0.372267479219,0.372267479219,0.205149135666,0.0467478178928,0.416780676038,0.445397973041
 01/02  12:00:00,1.4670619964,11.8529008567,0.0,10.8002126757,0.0,0.310495469836,0.310495469836,0.310495469836,0.205149135666,0.0467478178928,0.435735142253,0.445534430753
 01/02  13:00:00,1.39753842118,9.93255433309,0.0,8.99585905186,0.0,0.258575189507,0.258575189507,0.258575189507,0.205149135666,0.0467478178928,0.425637021538,0.438029256575
 01/02  14:00:00,1.35242007478,9.14863990006,0.0,8.28038141913,0.0,0.23798085952,0.23798085952,0.23798085952,0.205149135666,0.0467478178928,0.385966199058,0.453176062644
 01/02  15:00:00,1.34223867241,8.409094403,0.0,7.60762511702,0.0,0.218634672291,0.218634672291,0.218634672291,0.215946512535,0.0492082438285,0.356355588907,0.478693654849
 01/02  16:00:00,1.44438274402,8.3194001363,0.0,7.50762746632,0.0,0.215745444166,0.215745444166,0.215745444166,0.269933141293,0.0615103124214,0.368490937387,0.505302908753
 01/02  17:00:00,1.85849418945,9.66471255197,0.0,8.76481750052,0.0,0.251913581239,0.251913581239,0.251913581239,0.453487652263,0.103337308986,0.428670866964,0.59768478
 01/02  18:00:00,2.61648401954,11.3801017458,0.0,10.2974066003,0.0,0.296067094309,0.296067094309,0.296067094309,0.842191296402,0.191912153986,0.536821987543,0.726091487301
 01/02  19:00:00,3.16356450944,11.7200969913,0.0,10.4732795483,0.0,0.301218224936,0.301218224936,0.301218224936,1.25248956773,0.285407820314,0.482732692333,0.788316204123
 01/02  20:00:00,3.17592963087,12.4914867356,0.0,11.218091706,0.0,0.322706532487,0.322706532487,0.322706532487,1.32807082119,0.302630710236,0.385424228339,0.813697338616
 01/02  21:00:00,2.95490836422,13.1945327087,0.0,12.0149479669,0.0,0.345671324414,0.345671324414,0.345671324414,1.14451631022,0.260803683128,0.338845876819,0.841671169644
 01/02  22:00:00,2.72897904886,14.4600672087,0.0,13.3988546197,0.0,0.385545902984,0.385545902984,0.385545902984,0.960961801745,0.218976686564,0.318073398495,0.822021259068
 01/02  23:00:00,2.26785974175,14.371844869,0.0,13.5063462631,0.0,0.388691517819,0.388691517819,0.388691517819,0.723420662017,0.164847621407,0.256145886137,0.71135405437
 01/02  24:00:00,1.8281753705,14.668585471,0.0,14.0130557659,0.0,0.403271744444,0.403271744444,0.403271744444,0.496676901655,0.113178951643,0.173494335907,0.618153436849
 01/03  01:00:00,1.38556319814,14.9409796353,0.0,14.5072553437,0.0,0.417502648164,0.417502648164,0.417502648164,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/03  02:00:00,1.23577388507,16.2349522075,0.0,15.9015867241,0.0,0.457615666307,0.457615666307,0.457615666307,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/03  03:00:00,1.1695086457,16.4544543833,0.0,16.1486909529,0.0,0.464760335636,0.464760335636,0.464760335636,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/03  04:00:00,1.16357472884,16.7843117567,0.0,16.4712127484,0.0,0.474073898792,0.474073898792,0.474073898792,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
