Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.38588748745,14.9094084562,0.0,14.4559172664,0.0,0.410157640578,0.410157640578,0.410157640578,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.20666099834,15.278959869,0.0,14.9350418306,0.0,0.423897918178,0.423897918178,0.423897918178,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.14099784379,15.5752993944,0.0,15.26145277,0.0,0.433203088898,0.433203088898,0.433203088898,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.12755007582,15.6965596074,0.0,15.3749357513,0.0,0.436456274251,0.436456274251,0.436456274251,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.13598212659,16.208931856,0.0,15.8019862041,0.0,0.448601956623,0.448601956623,0.448601956623,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.1881613328,16.0323365573,0.0,15.2508226258,0.0,0.432976233517,0.432976233517,0.432976233517,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.50875030586,16.7627014373,0.0,15.2792033709,0.0,0.433783035984,0.433783035984,0.433783035984,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,1.95557117418,15.2724860552,0.0,13.5849061758,0.0,0.385690606801,0.385690606801,0.385690606801,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.86485060548,14.588760125,0.0,12.9449663797,0.0,0.367494994989,0.367494994989,0.367494994989,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.54824081192,13.1957322037,0.0,11.7053479616,0.0,0.332231745783,0.332231745783,0.332231745783,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.51573552304,12.5446990346,0.0,11.2360326979,0.0,0.318857653145,0.318857653145,0.318857653145,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.49410006959,10.8797397954,0.0,9.73762416362,0.0,0.276296657148,0.276296657148,0.276296657148,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.43458151681,9.469238621,0.0,8.45488173429,0.0,0.239839361563,0.239839361563,0.239839361563,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.40272418585,9.30655844265,0.0,8.37105873924,0.0,0.237432266164,0.237432266164,0.237432266164,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.35949168279,7.57068580278,0.0,6.70803231996,0.0,0.190241181957,0.190241181957,0.190241181957,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.46398347907,7.6477862486,0.0,6.77512977824,0.0,0.192110711032,0.192110711032,0.192110711032,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.82050173856,7.04141643368,0.0,6.06663736442,0.0,0.172016891372,0.172016891372,0.172016891372,0.453487652263,0.103337308986,0.470575105936,0.59768478
