Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.59928765234,22.3553147687,0.0,21.9135460082,0.0,0.623557805467,0.623557805467,0.623557805467,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.38324711011,21.4404214741,0.0,21.1066071096,0.0,0.600484029941,0.600484029941,0.600484029941,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.30689401428,21.366529408,0.0,21.0624009775,0.0,0.599099259392,0.599099259392,0.599099259392,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.29881396753,21.680287107,0.0,21.368035337,0.0,0.607720165961,0.607720165961,0.607720165961,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.29886848121,21.8997208382,0.0,21.502086251,0.0,0.611488311247,0.611488311247,0.611488311247,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.3640347999,22.1818740521,0.0,21.4096279745,0.0,0.608849700618,0.608849700618,0.608849700618,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.68810988663,23.0358844524,0.0,21.5615343524,0.0,0.61314261676,0.61314261676,0.61314261676,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,2.19331604849,23.6020920463,0.0,21.9240884226,0.0,0.623435481108,0.623435481108,0.623435481108,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,2.06875560585,21.7274110106,0.0,20.0934578818,0.0,0.571399995352,0.571399995352,0.571399995352,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.76498671362,20.7884605133,0.0,19.3080462476,0.0,0.548977647478,0.548977647478,0.548977647478,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.7253517687,19.8877426306,0.0,18.5891842164,0.0,0.528473898806,0.528473898806,0.528473898806,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.71141477269,18.4970546408,0.0,17.365146544,0.0,0.493611360241,0.493611360241,0.493611360241,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.64499536031,16.8469323214,0.0,15.8427858219,0.0,0.45025320507,0.45025320507,0.45025320507,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.5963152003,16.0936389124,0.0,15.1682216557,0.0,0.431023280613,0.431023280613,0.431023280613,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.62231144522,16.796252473,0.0,15.9442515364,0.0,0.453060944387,0.453060944387,0.453060944387,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.73038769157,16.9969196759,0.0,16.1352904203,0.0,0.458514923533,0.458514923533,0.458514923533,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
