Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,1.27802058925,0.0,0.237943770786,0.0,0.00808433734742,0.246028108133,0.00808433734742,0.205180948854,0.044615467641,0.122837147866,0.492803099408,0.146125817351
 01/01  02:00:00,1.39297046248,0.0,0.557714932149,0.0,0.0189533350112,0.57666826716,0.0189533350112,0.119688825964,0.0260256990727,0.102975685881,0.453741844932,0.0934401394729
 01/01  03:00:00,1.55360178688,0.0,0.787543360245,0.0,0.0267600907252,0.81430345097,0.0267600907252,0.0854920495992,0.0185897824145,0.0864965903205,0.448481069918,0.0798088436614
 01/01  04:00:00,1.72503908369,0.0,0.964660179301,0.0,0.0327783203559,0.997438499656,0.0327783203559,0.0854920495992,0.0185897824145,0.0763456071944,0.442168139901,0.0845750049237
 01/01  05:00:00,1.92917215704,0.0,1.1240437859,0.0,0.0381980142674,1.16224180016,0.0381980142674,0.0854920495992,0.0185897824145,0.0899621050554,0.425465179233,0.126991240571
 01/01  06:00:00,2.28809781509,0.0,1.22821435784,0.0,0.0417430975942,1.26995745543,0.0417430975942,0.0854920495992,0.0185897824145,0.106595392246,0.474784944986,0.312248190415
 01/01  07:00:00,3.23291985697,0.0,1.53640136861,0.0,0.0522261947443,1.58862756335,0.0522261947443,0.196631694114,0.0427565023227,0.177474275597,0.548567314553,0.658432507034
 01/01  08:00:00,3.52932985089,0.0,1.31946657313,0.0,0.0448581906669,1.36432476379,0.0448581906669,0.401812642967,0.0873719699637,0.281086459277,0.582893871518,0.753910143376
 01/01  09:00:00,3.55390993359,0.0,1.42617791506,0.0,0.0484896115266,1.47466752659,0.0484896115266,0.384714237118,0.08365401625,0.36605048386,0.492803099408,0.731590570365
 01/01  10:00:00,3.06176928534,0.0,1.23347881749,0.0,0.041949394688,1.27542821218,0.041949394688,0.196631694114,0.0427565023227,0.45251754537,0.419415287967,0.654590043392
