Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.35447253317,13.9607196662,0.0,13.506507398,0.0,0.378742686299,0.378742686299,0.378742686299,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.17681303068,14.3924658738,0.0,14.0478532575,0.0,0.394049950514,0.394049950514,0.394049950514,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.10535853287,14.4866376287,0.0,14.1720254289,0.0,0.397563777977,0.397563777977,0.397563777977,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.08875820528,14.4977933983,0.0,14.1753261867,0.0,0.397664403707,0.397664403707,0.397664403707,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.0824936235,14.4923211445,0.0,14.0844429246,0.0,0.395113453536,0.395113453536,0.395113453536,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.15097869737,14.8909047796,0.0,14.1084151135,0.0,0.395793598085,0.395793598085,0.395793598085,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.49421339856,16.4289836359,0.0,14.9444572042,0.0,0.419246128692,0.419246128692,0.419246128692,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,2.00248763968,17.1081112581,0.0,15.4200872743,0.0,0.432607072303,0.432607072303,0.432607072303,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.9026068284,16.0834413917,0.0,14.4401046111,0.0,0.405251217901,0.405251217901,0.405251217901,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.5733861547,14.225613913,0.0,12.7354236434,0.0,0.357377088561,0.357377088561,0.357377088561,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.54890748322,13.8548124786,0.0,12.5466027772,0.0,0.352029613327,0.352029613327,0.352029613327,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.47625915825,10.3560966634,0.0,9.21374922937,0.0,0.258455745802,0.258455745802,0.258455745802,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.40721116882,8.59152721113,0.0,7.57665121866,0.0,0.212469013575,0.212469013575,0.212469013575,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.34548679199,7.36375197694,0.0,6.42728135445,0.0,0.18019487231,0.18019487231,0.18019487231,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.3329181933,6.70188707287,0.0,5.83853143029,0.0,0.163667692465,0.163667692465,0.163667692465,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.4172949975,6.06150707715,0.0,5.18815911865,0.0,0.145422229457,0.145422229457,0.145422229457,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.78157763329,5.72440712476,0.0,4.74869260295,0.0,0.133092786106,0.133092786106,0.133092786106,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.53053168655,7.19809551329,0.0,6.02465383203,0.0,0.168870842876,0.168870842876,0.168870842876,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.06561248873,7.18642150908,0.0,5.82285195403,0.0,0.163237502911,0.163237502911,0.163237502911,1.25248956773,0.285407820314,0.522761393651,0.788316204123
 01/01  20:00:00,3.08400839175,8.20936187317,0.0,6.80606003882,0.0,0.190833080288,0.190833080288,0.190833080288,1.32807082119,0.302630710236,0.425376441419,0.813697338616
 01/01  21:00:00,2.85337881993,8.56006342311,0.0,7.25637235877,0.0,0.203477181553,0.203477181553,0.203477181553,1.14451631022,0.260803683128,0.37951047539,0.841671169644
 01/01  22:00:00,2.59030772358,8.48866291642,0.0,7.32229074301,0.0,0.205333244133,0.205333244133,0.205333244133,0.960961801745,0.218976686564,0.359614732068,0.822021259068
 01/01  23:00:00,2.12971011654,8.70687156101,0.0,7.75796141647,0.0,0.217533145461,0.217533145461,0.217533145461,0.723420662017,0.164847621407,0.289154633287,0.71135405437
 01/01  24:00:00,1.68033500643,9.1735328418,0.0,8.46472076082,0.0,0.237307394203,0.237307394203,0.237307394203,0.496676901655,0.113178951643,0.191618322082,0.618153436849
 01/02  01:00:00,1.20764778025,8.98386519802,0.0,8.54684116729,0.0,0.239587230272,0.239587230272,0.239587230272,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/02  02:00:00,1.02607542063,9.18238724468,0.0,8.84523649862,0.0,0.247917201861,0.247917201861,0.247917201861,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/02  03:00:00,0.955865862038,9.27038196632,0.0,8.96037792372,0.0,0.25111755197,0.25111755197,0.25111755197,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/02  04:00:00,0.94457346052,9.41997889788,0.0,9.10247212957,0.0,0.255072630472,0.255072630472,0.255072630472,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
 01/02  05:00:00,0.938739609555,9.47726657887,0.0,9.08240106541,0.0,0.254475787784,0.254475787784,0.254475787784,0.107973243613,0.0246041219143,0.0868457568597,0.441440699384
 01/02  06:00:00,1.01174897162,10.0691471154,0.0,9.32917665408,0.0,0.261343347004,0.261343347004,0.261343347004,0.107973243613,0.0246041219143,0.101815917579,0.492612341507
 01/02  07:00:00,1.31058792267,10.237285792,0.0,8.85404631979,0.0,0.248017083652,0.248017083652,0.248017083652,0.248338385058,0.0565894910929,0.165077844744,0.569165118123
 01/02  08:00:00,1.81297002731,11.1238858146,0.0,9.55986925543,0.0,0.267777715359,0.267777715359,0.267777715359,0.507474149482,0.115639377579,0.25639820385,0.604780581041
 01/02  09:00:00,1.68732637436,9.6471844578,0.0,8.13392352905,0.0,0.227814281352,0.227814281352,0.227814281352,0.485879522289,0.11071855625,0.32820696637,0.511307048096
 01/02  10:00:00,1.34463073447,7.84050567628,0.0,6.47027742859,0.0,0.181157902957,0.181157902957,0.181157902957,0.248338385058,0.0565894910929,0.39998131075,0.435163644616
 01/02  11:00:00,1.28812638367,6.58869271669,0.0,5.38262948722,0.0,0.150650781033,0.150650781033,0.150650781033,0.205149135666,0.0467478178928,0.416780676038,0.445397973041
 01/02  12:00:00,1.30202402527,6.25557489317,0.0,5.19837621752,0.0,0.145457498703,0.145457498703,0.145457498703,0.205149135666,0.0467478178928,0.435735142253,0.445534430753
 01/02  13:00:00,1.2757824557,5.83091602937,0.0,4.89024450366,0.0,0.136819224027,0.136819224027,0.136819224027,0.205149135666,0.0467478178928,0.425637021538,0.438029256575
 01/02  14:00:00,1.23117691898,5.04529401655,0.0,4.17299780941,0.0,0.116737703717,0.116737703717,0.116737703717,0.205149135666,0.0467478178928,0.385966199058,0.453176062644
 01/02  15:00:00,1.24372141529,5.10032436175,0.0,4.29462474534,0.0,0.120117415174,0.120117415174,0.120117415174,0.215946512535,0.0492082438285,0.356355588907,0.478693654849
 01/02  16:00:00,1.34540473714,4.99108563342,0.0,4.1751660656,0.0,0.116767437283,0.116767437283,0.116767437283,0.269933141293,0.0615103124214,0.368490937387,0.505302908753
 01/02  17:00:00,1.7321187916,5.39393739223,0.0,4.48936257105,0.0,0.125538183391,0.125538183391,0.125538183391,0.453487652263,0.103337308986,0.428670866964,0.59768478
 01/02  18:00:00,2.43611439552,5.22597502682,0.0,4.13750576881,0.0,0.115697470284,0.115697470284,0.115697470284,0.842191296402,0.191912153986,0.536821987543,0.726091487301
 01/02  19:00:00,2.98739548241,5.72515953688,0.0,4.47206292658,0.0,0.125049197904,0.125049197904,0.125049197904,1.25248956773,0.285407820314,0.482732692333,0.788316204123
 01/02  20:00:00,2.96792324176,5.38124389144,0.0,4.10192059391,0.0,0.114700143384,0.114700143384,0.114700143384,1.32807082119,0.302630710236,0.385424228339,0.813697338616
 01/02  21:00:00,2.73051607783,5.52269062086,0.0,4.33711245342,0.0,0.121279038021,0.121279038021,0.121279038021,1.14451631022,0.260803683128,0.338845876819,0.841671169644
 01/02  22:00:00,2.47288272637,5.69756081014,0.0,4.62991143542,0.0,0.129449580496,0.129449580496,0.129449580496,0.960961801745,0.218976686564,0.318073398495,0.822021259068
 01/02  23:00:00,2.02229213778,5.99197661743,0.0,5.12008758668,0.0,0.143123913853,0.143123913853,0.143123913853,0.723420662017,0.164847621407,0.256145886137,0.71135405437
 01/02  24:00:00,1.57209769879,5.92890074497,0.0,5.26702328071,0.0,0.147194072732,0.147194072732,0.147194072732,0.496676901655,0.113178951643,0.173494335907,0.618153436849
 01/03  01:00:00,1.11300118812,5.62800320536,0.0,5.18777619035,0.0,0.144940638145,0.144940638145,0.144940638145,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/03  02:00:00,0.948939645912,6.45564585863,0.0,6.11537833519,0.0,0.170781427145,0.170781427145,0.170781427145,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
