Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.21871760378,8.93888792255,0.0,8.48048685763,0.0,0.242987756908,0.242987756908,0.242987756908,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.03704879811,9.22468343107,0.0,8.8752388743,0.0,0.25428571794,0.25428571794,0.25428571794,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,0.974238754328,9.61931322648,0.0,9.29986861582,0.0,0.266443999439,0.266443999439,0.266443999439,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,0.967125528326,9.96191373516,0.0,9.63464224246,0.0,0.276031726755,0.276031726755,0.276031726755,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,0.970968300697,10.3109919538,0.0,9.89835752626,0.0,0.283588130731,0.283588130731,0.283588130731,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.02096752973,10.0641401749,0.0,9.2767817893,0.0,0.265782430453,0.265782430453,0.265782430453,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.41249485891,13.2680535987,0.0,11.7795757899,0.0,0.337527589043,0.337527589043,0.337527589043,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,1.87730747609,12.419723897,0.0,10.7275119191,0.0,0.307426908713,0.307426908713,0.307426908713,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.80902194516,12.5230046365,0.0,10.8750389411,0.0,0.311666334662,0.311666334662,0.311666334662,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.47619240058,10.5744414931,0.0,9.07980175646,0.0,0.260183334441,0.260183334441,0.260183334441,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.43233928352,9.53153898513,0.0,8.21864092253,0.0,0.235461413624,0.235461413624,0.235461413624,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.40915054119,7.82644722643,0.0,6.67994187712,0.0,0.191347128747,0.191347128747,0.191347128747,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.3416122492,6.14719474786,0.0,5.12837898897,0.0,0.146870093957,0.146870093957,0.146870093957,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.2798041651,4.93964939226,0.0,3.99926817468,0.0,0.114512245414,0.114512245414,0.114512245414,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.26805046586,4.31808794127,0.0,3.45085696057,0.0,0.0987999650238,0.0987999650238,0.0987999650238,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.38716937825,4.90379531522,0.0,4.02708093737,0.0,0.115296610209,0.115296610209,0.115296610209,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.79205391185,5.99175373488,0.0,5.01346352572,0.0,0.143569064661,0.143569064661,0.143569064661,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.50380507009,6.13906925655,0.0,4.96276708081,0.0,0.142144226415,0.142144226415,0.142144226415,0.842191296402,0.191912153986,0.578065905983,0.726091487301
