Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.47949240533,18.1684892298,0.0,17.7233985866,0.0,0.50376255846,0.50376255846,0.50376255846,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.28507926338,18.0148575742,0.0,17.6780306787,0.0,0.502316183212,0.502316183212,0.502316183212,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.19481178502,17.4518922249,0.0,17.1444665249,0.0,0.487017030129,0.487017030129,0.487017030129,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.15432561747,16.6263372443,0.0,16.3105083051,0.0,0.463231815903,0.463231815903,0.463231815903,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.13122839883,16.0339783454,0.0,15.6320606334,0.0,0.443848228868,0.443848228868,0.443848228868,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.17573950601,15.5927450293,0.0,14.8157802163,0.0,0.420554406726,0.420554406726,0.420554406726,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.49939017114,16.4346932793,0.0,14.9556059598,0.0,0.424422901269,0.424422901269,0.424422901269,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,2.04063240276,18.2717099022,0.0,16.5887050158,0.0,0.47075183538,0.47075183538,0.47075183538,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.9412051274,17.2778962429,0.0,15.6397935401,0.0,0.443849516908,0.443849516908,0.443849516908,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.62823658333,16.0116574933,0.0,14.5269553787,0.0,0.412227517188,0.412227517188,0.412227517188,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.6120029664,15.9324407399,0.0,14.6299259551,0.0,0.415125096506,0.415125096506,0.415125096506,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.57450281714,13.7080447617,0.0,12.572085663,0.0,0.356699404689,0.356699404689,0.356699404689,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.52541002386,12.6638135253,0.0,11.6559389343,0.0,0.330667868616,0.330667868616,0.330667868616,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.48709167966,12.2726397584,0.0,11.3437200066,0.0,0.321799759974,0.321799759974,0.321799759974,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.50763003538,12.7829524242,0.0,11.9275940856,0.0,0.33837953455,0.33837953455,0.33837953455,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.65471801277,14.3561969096,0.0,13.4918120091,0.0,0.382845244728,0.382845244728,0.382845244728,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,2.09822727693,16.808125963,0.0,15.8428949158,0.0,0.449742429744,0.449742429744,0.449742429744,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.88685856884,19.653156921,0.0,18.4909456368,0.0,0.525197725171,0.525197725171,0.525197725171,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.42925508964,19.8946001213,0.0,18.5426303675,0.0,0.526880103818,0.526880103818,0.526880103818,1.25248956773,0.285407820314,0.522761393651,0.788316204123
 01/01  20:00:00,3.44346773913,20.753865484,0.0,19.3619086111,0.0,0.550292427666,0.550292427666,0.550292427666,1.32807082119,0.302630710236,0.425376441419,0.813697338616
