Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 01/01  01:00:00,4.30978645317,0.0,3.15706114413,0.0,0.109827587031,3.26688873116,0.109827587031,0.205180948854,0.044615467641,0.122837147866,0.492803099408,0.157031058242
 01/01  02:00:00,4.0840315925,0.0,3.14824559185,0.0,0.10950277384,3.25774836569,0.10950277384,0.119688825964,0.0260256990727,0.102975685881,0.453741844932,0.103421170965
 01/01  03:00:00,4.06313237845,0.0,3.20357270473,0.0,0.11129614934,3.31486885408,0.11129614934,0.0854920495992,0.0185897824145,0.0864965903205,0.448481069918,0.0887740321184
 01/01  04:00:00,4.3254293667,0.0,3.46934522473,0.0,0.120470064268,3.589815289,0.120470064268,0.0854920495992,0.0185897824145,0.0763456071944,0.442168139901,0.0925884985948
 01/01  05:00:00,4.31913334407,0.0,3.42553955602,0.0,0.118938839867,3.54447839589,0.118938839867,0.0854920495992,0.0185897824145,0.0899621050554,0.425465179233,0.134715831882
 01/01  06:00:00,4.55987862708,0.0,3.41610275372,0.0,0.118607328402,3.53471008212,0.118607328402,0.0854920495992,0.0185897824145,0.106595392246,0.474784944986,0.319276375714
 01/01  07:00:00,5.79031083012,0.0,4.00034533334,0.0,0.138883654291,4.13922898763,0.138883654291,0.196631694114,0.0427565023227,0.177474275597,0.548567314553,0.665222055906
 01/01  08:00:00,5.64085806765,0.0,3.35257093209,0.0,0.116396122801,3.46896705489,0.116396122801,0.401812642967,0.0873719699637,0.281086459277,0.582893871518,0.760796069034
 01/01  09:00:00,5.04928965105,0.0,2.86408907803,0.0,0.0994780608403,2.96356713887,0.0994780608403,0.384714237118,0.08365401625,0.36605048386,0.492803099408,0.738070675546
 01/01  10:00:00,4.34567920093,0.0,2.4678628702,0.0,0.0856933261505,2.55355619635,0.0856933261505,0.196631694114,0.0427565023227,0.45251754537,0.419415287967,0.660371974806
 01/01  11:00:00,4.28469416368,0.0,2.50705451345,0.0,0.0870149836984,2.59406949714,0.0870149836984,0.162434887409,0.0353205718184,0.476182943291,0.429279241118,0.566977022902
 01/01  12:00:00,3.83646002428,0.0,2.13385808273,0.0,0.0740516583034,2.20790974104,0.0740516583034,0.162434887409,0.0353205718184,0.496972028135,0.429410760493,0.483982035394
 01/01  13:00:00,3.24579391558,0.0,1.64616194204,0.0,0.05713405499,1.70329599703,0.05713405499,0.162434887409,0.0353205718184,0.481415945109,0.422177194849,0.420719319363
 01/01  14:00:00,3.16423559511,0.0,1.63330585003,0.0,0.0566751186615,1.68998096869,0.0566751186615,0.162434887409,0.0353205718184,0.43681890348,0.436775845512,0.382474418195
 01/01  15:00:00,2.78543291762,0.0,1.30261026301,0.0,0.0451940558132,1.34780431883,0.0451940558132,0.170984139652,0.0371795602137,0.402002089622,0.461369968701,0.345662840607
 01/01  16:00:00,3.51059681063,0.0,1.91409404812,0.0,0.0663817370779,1.9804757852,0.0663817370779,0.213730097466,0.0464744560363,0.411726405573,0.487016246893,0.350743819468
 01/01  17:00:00,4.37817921988,0.0,2.39193467044,0.0,0.082935567808,2.47487023825,0.082935567808,0.359066581522,0.078077074141,0.470575105936,0.576054864,0.399105356038
 01/01  18:00:00,5.97815482211,0.0,3.25832511712,0.0,0.11299723992,3.37132235704,0.11299723992,0.666837950491,0.145000287141,0.578065905983,0.699814596197,0.496683725259
 01/01  19:00:00,6.13513233339,0.0,2.90034538407,0.0,0.10063503721,3.00098042128,0.10063503721,0.991707725308,0.215641453855,0.522761393651,0.759787431353,0.593823907944
 01/01  20:00:00,6.56986889673,0.0,3.32848159893,0.0,0.115530083887,3.44401168282,0.115530083887,1.05155219011,0.228654303391,0.425376441419,0.784250035167,0.61559424383
 01/01  21:00:00,6.44909009699,0.0,3.45079409348,0.0,0.119780288826,3.5705743823,0.119780288826,0.906215706049,0.197051685286,0.37951047539,0.811211507112,0.56409634085
 01/01  22:00:00,6.6888446583,0.0,3.95702223805,0.0,0.137382588648,4.0944048267,0.137382588648,0.76087922449,0.165449067182,0.359614732068,0.792272717063,0.4957940908
 01/01  23:00:00,6.61615027324,0.0,4.37853161185,0.0,0.152045236437,4.53057684828,0.152045236437,0.572796678988,0.124551530177,0.289154633287,0.68561050366,0.393030078846
 01/01  24:00:00,7.09128065774,0.0,5.33982902063,0.0,0.18546806037,5.525297081,0.18546806037,0.393263388227,0.0855129815683,0.191618322082,0.595782770301,0.279376114568
 01/02  01:00:00,7.3915060924,0.0,6.15071785914,0.0,0.213709343067,6.36442720221,0.213709343067,0.205180948854,0.044615467641,0.115167850971,0.492803099408,0.148881523318
 01/02  02:00:00,7.57898355491,0.0,6.53301523294,0.0,0.227136003884,6.76015123683,0.227136003884,0.119688825964,0.0260256990727,0.0983708244822,0.453741844932,0.10057512363
 01/02  03:00:00,8.06150001592,0.0,7.07049947118,0.0,0.245966218878,7.31646569006,0.245966218878,0.0854920495992,0.0185897824145,0.0834501454999,0.448481069918,0.0885912784244
 01/02  04:00:00,8.62091781626,0.0,7.62126303516,0.0,0.265251724216,7.88651475937,0.265251724216,0.0854920495992,0.0185897824145,0.0747526356716,0.442168139901,0.0929704492969
 01/02  05:00:00,8.84410438924,0.0,7.80390987311,0.0,0.271743808203,8.07565368131,0.271743808203,0.0854920495992,0.0185897824145,0.0868457568597,0.425465179233,0.131627939817
