Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.30125344113,10.5194025627,0.0,10.061933114,0.0,0.325523594259,0.325523594259,0.325523594259,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.10023444979,10.1605569128,0.0,9.81207162031,0.0,0.317471369628,0.317471369628,0.317471369628,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.04911598635,10.8671336468,0.0,10.548731503,0.0,0.341321231464,0.341321231464,0.341321231464,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.0554538533,11.585062748,0.0,11.2590665724,0.0,0.364360051729,0.364360051729,0.364360051729,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.09153331846,12.8966634158,0.0,12.4857449392,0.0,0.404153148493,0.404153148493,0.404153148493,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.17100250941,13.6294992633,0.0,12.8442349234,0.0,0.415817410133,0.415817410133,0.415817410133,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.51824521307,15.178049192,0.0,13.6910902399,0.0,0.443277943196,0.443277943196,0.443277943196,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,1.92372456628,12.6184265193,0.0,10.9273054236,0.0,0.3538439989,0.3538439989,0.3538439989,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.87562889532,13.3293292253,0.0,11.6823420707,0.0,0.378273284824,0.378273284824,0.378273284824,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.52336510993,10.9871258423,0.0,9.49339551846,0.0,0.307356043795,0.307356043795,0.307356043795,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.44654620539,9.02601958829,0.0,7.71351353447,0.0,0.249668335502,0.249668335502,0.249668335502,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.38111662528,6.19396574931,0.0,5.04735617359,0.0,0.163313212838,0.163313212838,0.163313212838,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.34130548325,5.54956094376,0.0,4.53099488197,0.0,0.146563328006,0.146563328006,0.146563328006,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.27074452853,4.20098182161,0.0,3.26084415222,0.0,0.10545260885,0.10545260885,0.10545260885,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.24216576154,3.1227834719,0.0,2.25531586032,0.0,0.0729152607093,0.0729152607093,0.0729152607093,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.33056993658,2.6931437796,0.0,1.81577772834,0.0,0.0586971685411,0.0586971685411,0.0586971685411,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.75432266301,4.25263018847,0.0,3.27384806455,0.0,0.105837815829,0.105837815829,0.105837815829,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.47773598607,4.76596727357,0.0,3.58966309532,0.0,0.116075142401,0.116075142401,0.116075142401,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.01282125811,4.78167505306,0.0,3.41510058376,0.0,0.110446272292,0.110446272292,0.110446272292,1.25248956773,0.285407820314,0.522761393651,0.788316204123
