Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.43854728322,16.0155771273,0.0,15.5682098748,0.0,0.462817436352,0.462817436352,0.462817436352,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.24545104142,15.908404323,0.0,15.5693831295,0.0,0.462687961254,0.462687961254,0.462687961254,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.19771101979,16.7964352781,0.0,16.4873490626,0.0,0.489916264898,0.489916264898,0.489916264898,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.19455345519,17.2608548498,0.0,16.9438020616,0.0,0.503459653618,0.503459653618,0.503459653618,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.19751806101,17.5721752352,0.0,17.1697189419,0.0,0.510137891041,0.510137891041,0.510137891041,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.2690864687,18.0739197552,0.0,17.2968745414,0.0,0.513901369416,0.513901369416,0.513901369416,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.62869474404,20.1165873902,0.0,18.6378487434,0.0,0.553727474171,0.553727474171,0.553727474171,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,2.08758336873,19.1051078247,0.0,17.422910196,0.0,0.517702801355,0.517702801355,0.517702801355,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,2.01968116788,19.2157176567,0.0,17.5774649256,0.0,0.522325557388,0.522325557388,0.522325557388,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.73363208561,18.9040567187,0.0,17.419744096,0.0,0.517623019468,0.517623019468,0.517623019468,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.7560973187,20.1229568591,0.0,18.8208256684,0.0,0.559219448812,0.559219448812,0.559219448812,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.74083147228,18.7368850368,0.0,17.6018289156,0.0,0.523028059829,0.523028059829,0.523028059829,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
