Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.42397080733,14.5080639951,0.0,14.0543879372,0.0,0.448240960455,0.448240960455,0.448240960455,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.20434332307,13.5627241504,0.0,13.2179287297,0.0,0.421580242907,0.421580242907,0.421580242907,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.13231410956,13.6268140098,0.0,13.3115019604,0.0,0.42451935467,0.42451935467,0.42451935467,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.12375760102,13.8912791301,0.0,13.568163051,0.0,0.432663799446,0.432663799446,0.432663799446,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.1280560297,14.2279208213,0.0,13.8194215895,0.0,0.44067585973,0.44067585973,0.44067585973,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.17030937977,13.8010742829,0.0,13.0180597934,0.0,0.415124280486,0.415124280486,0.415124280486,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.48836652602,14.4492204101,0.0,12.9638613417,0.0,0.413399256146,0.413399256146,0.413399256146,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,2.00796131925,15.4274607759,0.0,13.7385472433,0.0,0.438080751874,0.438080751874,0.438080751874,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.93694244767,15.4284023114,0.0,13.7839668969,0.0,0.439586837171,0.439586837171,0.439586837171,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.61608565985,14.0366470966,0.0,12.5457249162,0.0,0.400076593718,0.400076593718,0.400076593718,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.57047418286,13.026504248,0.0,11.7173294256,0.0,0.373596312966,0.373596312966,0.373596312966,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.53965516132,11.2392983721,0.0,10.0963916849,0.0,0.32185174887,0.32185174887,0.32185174887,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.46792004133,9.5868296553,0.0,8.57153865312,0.0,0.273177886087,0.273177886087,0.273177886087,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.40826578185,8.56211811118,0.0,7.62535951158,0.0,0.242973862168,0.242973862168,0.242973862168,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.36648477692,7.0551923287,0.0,6.19120906254,0.0,0.197234276085,0.197234276085,0.197234276085,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.4728070698,7.18162022871,0.0,6.30788299466,0.0,0.200934301756,0.200934301756,0.200934301756,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
