Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.37734599791,14.8067629817,0.0,14.3533627306,0.0,0.401616151035,0.401616151035,0.401616151035,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.1796220127,14.5262812939,0.0,14.1819881301,0.0,0.39685893253,0.39685893253,0.39685893253,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.11381426529,14.8238121411,0.0,14.5093876064,0.0,0.406019510405,0.406019510405,0.406019510405,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.09290971034,14.6811453094,0.0,14.3589257136,0.0,0.401815908764,0.401815908764,0.401815908764,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.08771302463,14.7132622309,0.0,14.30554969,0.0,0.400332854662,0.400332854662,0.400332854662,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.1548174924,15.062908261,0.0,14.2805394417,0.0,0.399632393125,0.399632393125,0.399632393125,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.46798792858,15.5288357937,0.0,14.0444070845,0.0,0.393020658707,0.393020658707,0.393020658707,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,1.95194963494,15.3409425285,0.0,13.6526585523,0.0,0.382069067562,0.382069067562,0.382069067562,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.83744866756,13.7977544829,0.0,12.1533265055,0.0,0.340093057069,0.340093057069,0.340093057069,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.47375080396,10.7053296583,0.0,9.21346418668,0.0,0.25774173782,0.25774173782,0.25774173782,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.41172816725,8.99334396394,0.0,7.68280036797,0.0,0.214850297357,0.214850297357,0.214850297357,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.37316271181,6.70167889449,0.0,5.55725196089,0.0,0.155359299367,0.155359299367,0.155359299367,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.30724914238,5.04264048474,0.0,4.02574527708,0.0,0.11250698714,0.11250698714,0.11250698714,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.25829424634,4.26681918602,0.0,3.32854773139,0.0,0.0930023266536,0.0930023266536,0.0930023266536,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.24808765906,3.68715522601,0.0,2.82191081283,0.0,0.0788371582216,0.0788371582216,0.0788371582216,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.35815271678,3.96372300839,0.0,3.08868153144,0.0,0.086279948737,0.086279948737,0.086279948737,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.80281212511,6.49931163219,0.0,5.52326056263,0.0,0.154327277925,0.154327277925,0.154327277925,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.55660960256,8.14695581716,0.0,6.97387481,0.0,0.194948758887,0.194948758887,0.194948758887,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.11490255306,8.96292880429,0.0,7.60025230738,0.0,0.212527567233,0.212527567233,0.212527567233,1.25248956773,0.285407820314,0.522761393651,0.788316204123
 01/01  20:00:00,3.13767956573,10.143812039,0.0,8.74152128265,0.0,0.244504254272,0.244504254272,0.244504254272,1.32807082119,0.302630710236,0.425376441419,0.813697338616
 01/01  21:00:00,2.91374021143,10.7337860135,0.0,9.43124217405,0.0,0.263838573047,0.263838573047,0.263838573047,1.14451631022,0.260803683128,0.37951047539,0.841671169644
