Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.27245393841,13.4064507009,0.0,12.8559532898,0.0,0.426424984406,0.426424984406,0.426424984406,0.201474942826,0.043624015812,0.122837147866,0.457866847499
 01/01  02:00:00,1.11417577199,13.4298440795,0.0,12.9610627364,0.0,0.426424984406,0.426424984406,0.426424984406,0.117526990232,0.0254473519587,0.102975685881,0.421574759507
 01/01  03:00:00,1.05195906672,13.4895929889,0.0,13.040297751,0.0,0.426424984406,0.426424984406,0.426424984406,0.0839478806446,0.0181766751353,0.0864965903205,0.416686936208
 01/01  04:00:00,1.03594269563,13.5872637282,0.0,13.1279375308,0.0,0.426424984406,0.426424984406,0.426424984406,0.0839478806446,0.0181766751353,0.0763456071944,0.41082154825
 01/01  05:00:00,1.03404035452,13.717785305,0.0,13.1912415627,0.0,0.426424984406,0.426424984406,0.426424984406,0.0839478806446,0.0181766751353,0.0899621050554,0.395302709277
 01/01  06:00:00,1.09649698513,14.0634535097,0.0,13.2427746429,0.0,0.426424984406,0.426424984406,0.426424984406,0.0839478806446,0.0181766751353,0.106595392246,0.441126052701
 01/01  07:00:00,1.36868950106,14.6381635981,0.0,13.2673839475,0.0,0.426424984406,0.426424984406,0.426424984406,0.193080105882,0.0418063607087,0.177474275597,0.509677774465
 01/01  08:00:00,1.7867936904,14.9043634376,0.0,13.3783241201,0.0,0.426424984406,0.426424984406,0.426424984406,0.394555048708,0.0854303765206,0.281086459277,0.541570821488
 01/01  09:00:00,1.73012883605,14.5774056754,0.0,13.096730438,0.0,0.426424984406,0.426424984406,0.426424984406,0.377765476535,0.08179504375,0.36605048386,0.457866847499
 01/01  10:00:00,1.50056212635,13.4745414964,0.0,12.1361701822,0.0,0.40325040191,0.40325040191,0.40325040191,0.193080105882,0.0418063607087,0.45251754537,0.389681712483
 01/01  11:00:00,1.42779981737,11.2858200852,0.0,10.1176728752,0.0,0.338507853782,0.338507853782,0.338507853782,0.159500966529,0.0345356726033,0.476182943291,0.398846381168
 01/01  12:00:00,1.35524350972,8.33270977013,0.0,7.3139838772,0.0,0.245040265698,0.245040265698,0.245040265698,0.159500966529,0.0345356726033,0.496972028135,0.398968576751
 01/01  13:00:00,1.26568933954,6.2170605592,0.0,5.30773933655,0.0,0.177762935581,0.177762935581,0.177762935581,0.159500966529,0.0345356726033,0.481415945109,0.392247819715
