Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,0.996043684159,5.50948769618,0.0,5.03339215782,0.0,0.150014730156,0.150014730156,0.150014730156,0.201474942826,0.043624015812,0.122837147866,0.457866847499
 01/01  02:00:00,0.848962062601,5.80142689807,0.0,5.4090370342,0.0,0.161211275022,0.161211275022,0.161211275022,0.117526990232,0.0254473519587,0.102975685881,0.421574759507
 01/01  03:00:00,0.80092427295,6.25166632293,0.0,5.88150337711,0.0,0.175390190642,0.175390190642,0.175390190642,0.0839478806446,0.0181766751353,0.0864965903205,0.416686936208
 01/01  04:00:00,0.793939496225,6.56175351603,0.0,6.183328253,0.0,0.184421785001,0.184421785001,0.184421785001,0.0839478806446,0.0181766751353,0.0763456071944,0.41082154825
 01/01  05:00:00,0.805349461189,7.07485931619,0.0,6.62876753352,0.0,0.197734091077,0.197734091077,0.197734091077,0.0839478806446,0.0181766751353,0.0899621050554,0.395302709277
 01/01  06:00:00,0.871776518732,7.50066820443,0.0,6.76136349692,0.0,0.201704518004,0.201704518004,0.201704518004,0.0839478806446,0.0181766751353,0.106595392246,0.441126052701
 01/01  07:00:00,1.14513543119,8.08774520796,0.0,6.79981323942,0.0,0.202870914538,0.202870914538,0.202870914538,0.193080105882,0.0418063607087,0.177474275597,0.509677774465
 01/01  08:00:00,1.54299186651,7.56409454061,0.0,6.11988995625,0.0,0.182623160513,0.182623160513,0.182623160513,0.394555048708,0.0854303765206,0.281086459277,0.541570821488
 01/01  09:00:00,1.43377044049,5.75304796087,0.0,4.35742627107,0.0,0.130066588841,0.130066588841,0.130066588841,0.377765476535,0.08179504375,0.36605048386,0.457866847499
 01/01  10:00:00,1.17478636172,3.84548425338,0.0,2.59533195694,0.0,0.0774746372783,0.0774746372783,0.0774746372783,0.193080105882,0.0418063607087,0.45251754537,0.389681712483
 01/01  11:00:00,1.13593550512,2.64820726289,0.0,1.56345539666,0.0,0.0466435415285,0.0466435415285,0.0466435415285,0.159500966529,0.0345356726033,0.476182943291,0.398846381168
 01/01  12:00:00,1.11020324402,0.93893065158,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.496972028135,0.398968576751
 01/01  13:00:00,1.08792640396,0.832131456198,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.481415945109,0.392247819715
 01/01  14:00:00,1.05689307198,0.771508354706,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.43681890348,0.405811529369
 01/01  15:00:00,1.05513934416,0.717721692535,0.0,0.0,0.0,0.0,0.0,0.0,0.167895800977,0.0363533502707,0.402002089622,0.42866210329
 01/01  16:00:00,1.13975401648,0.732032345436,0.0,0.0,0.0,0.0,0.0,0.0,0.209869675559,0.0454416934793,0.411726405573,0.452490241871
 01/01  17:00:00,1.45494086286,0.822896634599,0.0,0.0,0.0,0.0,0.0,0.0,0.352581072411,0.076342033312,0.470575105936,0.5352166512
 01/01  18:00:00,2.04506620361,0.994455178728,0.0,0.0,0.0,0.0,0.0,0.0,0.654793535011,0.141778068312,0.578065905983,0.6502026943
 01/01  19:00:00,2.46355617771,1.15725216966,0.0,0.0,0.0,0.0,0.0,0.0,0.97379546807,0.210849436083,0.522761393651,0.705923879905
 01/01  20:00:00,2.43038672405,1.19892327326,0.0,0.0,0.0,0.0,0.0,0.0,1.03255891233,0.223573112062,0.425376441419,0.728652258243
 01/01  21:00:00,2.26892593469,2.23244240776,0.0,1.1059351672,0.0,0.032966841515,0.032966841515,0.032966841515,0.889847515476,0.192672749665,0.37951047539,0.753702352649
 01/01  22:00:00,2.08881787336,3.17013572558,0.0,2.14708310823,0.0,0.0639624215639,0.0639624215639,0.0639624215639,0.74713612112,0.161772409833,0.359614732068,0.736106188774
 01/01  23:00:00,1.72201579997,3.92416892282,0.0,3.06856858817,0.0,0.0913950188088,0.0913950188088,0.0913950188088,0.562450849685,0.121783726791,0.289154633287,0.637005571394
 01/01  24:00:00,1.35969690262,4.85214608099,0.0,4.17916483857,0.0,0.124533681353,0.124533681353,0.124533681353,0.386160211764,0.0836126988533,0.191618322082,0.55354598857
 01/02  01:00:00,0.978978635788,5.17963478687,0.0,4.71825007743,0.0,0.140618978681,0.140618978681,0.140618978681,0.201474942826,0.043624015812,0.115167850971,0.457866847499
 01/02  02:00:00,0.850735879353,6.00638145413,0.0,5.62113836633,0.0,0.167589953173,0.167589953173,0.167589953173,0.117526990232,0.0254473519587,0.0983708244822,0.421574759507
 01/02  03:00:00,0.812270993908,6.73091328287,0.0,6.36437870518,0.0,0.18978335642,0.18978335642,0.18978335642,0.0839478806446,0.0181766751353,0.0834501454999,0.416686936208
 01/02  04:00:00,0.820159023202,7.49130032266,0.0,7.11518932189,0.0,0.212234283501,0.212234283501,0.212234283501,0.0839478806446,0.0181766751353,0.0747526356716,0.41082154825
 01/02  05:00:00,0.796254340149,6.86179403806,0.0,6.42607526961,0.0,0.191755318233,0.191755318233,0.191755318233,0.0839478806446,0.0181766751353,0.0868457568597,0.395302709277
 01/02  06:00:00,0.841096016729,6.5926538269,0.0,5.88931196539,0.0,0.175803490668,0.175803490668,0.175803490668,0.0839478806446,0.0181766751353,0.101815917579,0.441126052701
 01/02  07:00:00,1.1427626653,8.33927664922,0.0,7.1338295659,0.0,0.212894579497,0.212894579497,0.212894579497,0.193080105882,0.0418063607087,0.165077844744,0.509677774465
 01/02  08:00:00,1.48507275726,6.34826091677,0.0,5.00725159293,0.0,0.14939230669,0.14939230669,0.14939230669,0.394555048708,0.0854303765206,0.25639820385,0.541570821488
 01/02  09:00:00,1.36221190698,4.51372511337,0.0,3.22682485358,0.0,0.0963515728269,0.0963515728269,0.0963515728269,0.377765476535,0.08179504375,0.32820696637,0.457866847499
 01/02  10:00:00,1.10367540774,3.12570924097,0.0,1.9739084507,0.0,0.0588999179126,0.0588999179126,0.0588999179126,0.193080105882,0.0418063607087,0.39998131075,0.389681712483
 01/02  11:00:00,1.06337519907,2.12721753203,0.0,1.12326976137,0.0,0.033485502726,0.033485502726,0.033485502726,0.159500966529,0.0345356726033,0.416780676038,0.398846381168
 01/02  12:00:00,1.04896635814,0.877251496564,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.435735142253,0.398968576751
 01/02  13:00:00,1.03214748039,0.782113546475,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.425637021538,0.392247819715
 01/02  14:00:00,1.00604036756,0.729993282093,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.385966199058,0.405811529369
 01/02  15:00:00,1.00949284344,0.680021943039,0.0,0.0,0.0,0.0,0.0,0.0,0.167895800977,0.0363533502707,0.356355588907,0.42866210329
 01/02  16:00:00,1.0965185483,0.693807756964,0.0,0.0,0.0,0.0,0.0,0.0,0.209869675559,0.0454416934793,0.368490937387,0.452490241871
 01/02  17:00:00,1.41303662389,0.770366480043,0.0,0.0,0.0,0.0,0.0,0.0,0.352581072411,0.076342033312,0.428670866964,0.5352166512
 01/02  18:00:00,2.00382228517,0.927230125848,0.0,0.0,0.0,0.0,0.0,0.0,0.654793535011,0.141778068312,0.536821987543,0.6502026943
 01/02  19:00:00,2.42352747639,1.06533889767,0.0,0.0,0.0,0.0,0.0,0.0,0.97379546807,0.210849436083,0.482732692333,0.705923879905
 01/02  20:00:00,2.39043451097,1.09358560922,0.0,0.0,0.0,0.0,0.0,0.0,1.03255891233,0.223573112062,0.385424228339,0.728652258243
 01/02  21:00:00,2.21014183162,1.52533211775,0.0,0.498421788679,0.0,0.0148473370073,0.0148473370073,0.0148473370073,0.889847515476,0.192672749665,0.338845876819,0.753702352649
 01/02  22:00:00,1.99993577129,1.49385771175,0.0,0.558269118994,0.0,0.016621653071,0.016621653071,0.016621653071,0.74713612112,0.161772409833,0.318073398495,0.736106188774
 01/02  23:00:00,1.6308072781,1.8996531056,0.0,1.11507884535,0.0,0.0331952440975,0.0331952440975,0.0331952440975,0.562450849685,0.121783726791,0.256145886137,0.637005571394
 01/02  24:00:00,1.26989258651,2.3953067391,0.0,1.77447402818,0.0,0.0528533514117,0.0528533514117,0.0528533514117,0.386160211764,0.0836126988533,0.173494335907,0.55354598857
 01/03  01:00:00,0.966902267381,4.76529643587,0.0,4.31319758208,0.0,0.128542610273,0.128542610273,0.128542610273,0.201474942826,0.043624015812,0.115167850971,0.457866847499
 01/03  02:00:00,0.848047609331,5.91461522269,0.0,5.53350361769,0.0,0.164901683151,0.164901683151,0.164901683151,0.117526990232,0.0254473519587,0.0983708244822,0.421574759507
 01/03  03:00:00,0.814176451157,6.79103042814,0.0,6.42712245627,0.0,0.191688813669,0.191688813669,0.191688813669,0.0839478806446,0.0181766751353,0.0834501454999,0.416686936208
 01/03  04:00:00,0.822121830771,7.55220372002,0.0,7.17878823656,0.0,0.21419709107,0.21419709107,0.21419709107,0.0839478806446,0.0181766751353,0.0747526356716,0.41082154825
 01/03  05:00:00,0.82967499521,7.9800901546,0.0,7.54398197592,0.0,0.225175973293,0.225175973293,0.225175973293,0.0839478806446,0.0181766751353,0.0868457568597,0.395302709277
 01/03  06:00:00,0.902720207544,8.66214716854,0.0,7.95154478331,0.0,0.237427681483,0.237427681483,0.237427681483,0.0839478806446,0.0181766751353,0.101815917579,0.441126052701
 01/03  07:00:00,1.19088420719,9.95599299641,0.0,8.73977449435,0.0,0.261016121392,0.261016121392,0.261016121392,0.193080105882,0.0418063607087,0.165077844744,0.509677774465
 01/03  08:00:00,1.54159382103,8.24467243632,0.0,6.89148557358,0.0,0.205913370462,0.205913370462,0.205913370462,0.394555048708,0.0854303765206,0.25639820385,0.541570821488
 01/03  09:00:00,1.40703336327,6.02142258256,0.0,4.72087537482,0.0,0.141173029114,0.141173029114,0.141173029114,0.377765476535,0.08179504375,0.32820696637,0.457866847499
 01/03  10:00:00,1.12742264426,3.9269282369,0.0,2.76466101968,0.0,0.0826471544355,0.0826471544355,0.0826471544355,0.193080105882,0.0418063607087,0.39998131075,0.389681712483
 01/03  11:00:00,1.07677103233,2.57663252437,0.0,1.56964222517,0.0,0.0468813359925,0.0468813359925,0.0468813359925,0.159500966529,0.0345356726033,0.416780676038,0.398846381168
 01/03  12:00:00,1.04896635814,0.874235208116,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.435735142253,0.398968576751
 01/03  13:00:00,1.03214748039,0.776167061844,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.425637021538,0.392247819715
 01/03  14:00:00,1.00604036756,0.722178596951,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.385966199058,0.405811529369
 01/03  15:00:00,1.00949284344,0.672878422493,0.0,0.0,0.0,0.0,0.0,0.0,0.167895800977,0.0363533502707,0.356355588907,0.42866210329
 01/03  16:00:00,1.0965185483,0.688741992049,0.0,0.0,0.0,0.0,0.0,0.0,0.209869675559,0.0454416934793,0.368490937387,0.452490241871
 01/03  17:00:00,1.41303662389,0.76804822785,0.0,0.0,0.0,0.0,0.0,0.0,0.352581072411,0.076342033312,0.428670866964,0.5352166512
 01/03  18:00:00,2.00382228517,0.928960549582,0.0,0.0,0.0,0.0,0.0,0.0,0.654793535011,0.141778068312,0.536821987543,0.6502026943
 01/03  19:00:00,2.42352747639,1.0723635171,0.0,0.0,0.0,0.0,0.0,0.0,0.97379546807,0.210849436083,0.482732692333,0.705923879905
 01/03  20:00:00,2.40390033426,1.55566485059,0.0,0.451358108984,0.0,0.0134658232905,0.0134658232905,0.0134658232905,1.03255891233,0.223573112062,0.385424228339,0.728652258243
 01/03  21:00:00,2.23384848134,2.32815726523,0.0,1.29256131978,0.0,0.0385539867343,0.0385539867343,0.0385539867343,0.889847515476,0.192672749665,0.338845876819,0.753702352649
 01/03  22:00:00,2.05763042713,3.43910942055,0.0,2.49217724391,0.0,0.0743163089124,0.0743163089124,0.0743163089124,0.74713612112,0.161772409833,0.318073398495,0.736106188774
 01/03  23:00:00,1.69761365808,4.150239363,0.0,3.35369802011,0.0,0.100001624077,0.100001624077,0.100001624077,0.562450849685,0.121783726791,0.256145886137,0.637005571394
 01/03  24:00:00,1.34819127336,5.03239314119,0.0,4.3967481823,0.0,0.131152038268,0.131152038268,0.131152038268,0.386160211764,0.0836126988533,0.173494335907,0.55354598857
 01/04  01:00:00,1.00797080151,6.1503063695,0.0,5.68435452219,0.0,0.169611144399,0.169611144399,0.169611144399,0.201474942826,0.043624015812,0.115167850971,0.457866847499
 01/04  02:00:00,0.865031861602,6.48179721858,0.0,6.09428045549,0.0,0.181885935422,0.181885935422,0.181885935422,0.117526990232,0.0254473519587,0.0983708244822,0.421574759507
 01/04  03:00:00,0.81662109972,6.87028219936,0.0,6.50090820032,0.0,0.194133462232,0.194133462232,0.194133462232,0.0839478806446,0.0181766751353,0.0834501454999,0.416686936208
 01/04  04:00:00,0.83084765854,7.84205067708,0.0,7.4636323922,0.0,0.222922918838,0.222922918838,0.222922918838,0.0839478806446,0.0181766751353,0.0747526356716,0.41082154825
 01/04  05:00:00,0.845207635697,8.49877837984,0.0,8.05802179282,0.0,0.240708613781,0.240708613781,0.240708613781,0.0839478806446,0.0181766751353,0.0868457568597,0.395302709277
 01/04  06:00:00,0.917484288187,9.15483596901,0.0,8.43936844625,0.0,0.252191762127,0.252191762127,0.252191762127,0.0839478806446,0.0181766751353,0.101815917579,0.441126052701
 01/04  07:00:00,1.17736222083,9.50090604362,0.0,8.280683679,0.0,0.24749413503,0.24749413503,0.24749413503,0.193080105882,0.0418063607087,0.165077844744,0.509677774465
 01/04  08:00:00,1.54374580355,8.31498392303,0.0,6.9573754832,0.0,0.208065352988,0.208065352988,0.208065352988,0.394555048708,0.0854303765206,0.25639820385,0.541570821488
 01/04  09:00:00,1.40240268584,5.86513775254,0.0,4.56375439349,0.0,0.136542351688,0.136542351688,0.136542351688,0.377765476535,0.08179504375,0.32820696637,0.457866847499
 01/04  10:00:00,1.13433107362,4.15826794927,0.0,2.99418505791,0.0,0.0895555837959,0.0895555837959,0.0895555837959,0.193080105882,0.0418063607087,0.39998131075,0.389681712483
 01/04  11:00:00,1.08569602707,2.8783845352,0.0,1.86765735893,0.0,0.0558063307311,0.0558063307311,0.0558063307311,0.159500966529,0.0345356726033,0.416780676038,0.398846381168
 01/04  12:00:00,1.04896635814,0.876792273239,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.435735142253,0.398968576751
 01/04  13:00:00,1.03214748039,0.777159268011,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.425637021538,0.392247819715
 01/04  14:00:00,1.00604036756,0.72443799427,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.385966199058,0.405811529369
 01/04  15:00:00,1.00949284344,0.675541694242,0.0,0.0,0.0,0.0,0.0,0.0,0.167895800977,0.0363533502707,0.356355588907,0.42866210329
 01/04  16:00:00,1.0965185483,0.691315986905,0.0,0.0,0.0,0.0,0.0,0.0,0.209869675559,0.0454416934793,0.368490937387,0.452490241871
 01/04  17:00:00,1.41303662389,0.768982901617,0.0,0.0,0.0,0.0,0.0,0.0,0.352581072411,0.076342033312,0.428670866964,0.5352166512
 01/04  18:00:00,2.00382228517,0.928093931896,0.0,0.0,0.0,0.0,0.0,0.0,0.654793535011,0.141778068312,0.536821987543,0.6502026943
 01/04  19:00:00,2.42352747639,1.07179335098,0.0,0.0,0.0,0.0,0.0,0.0,0.97379546807,0.210849436083,0.482732692333,0.705923879905
 01/04  20:00:00,2.39043451097,1.10440567176,0.0,0.0,0.0,0.0,0.0,0.0,1.03255891233,0.223573112062,0.385424228339,0.728652258243
 01/04  21:00:00,2.21821156013,1.80417800503,0.0,0.767505803928,0.0,0.0229170655251,0.0229170655251,0.0229170655251,0.889847515476,0.192672749665,0.338845876819,0.753702352649
 01/04  22:00:00,2.04680895666,3.07602907537,0.0,2.12769621099,0.0,0.0634948384358,0.0634948384358,0.0634948384358,0.74713612112,0.161772409833,0.318073398495,0.736106188774
 01/04  23:00:00,1.69880160557,4.19167983493,0.0,3.39200179215,0.0,0.101189571567,0.101189571567,0.101189571567,0.562450849685,0.121783726791,0.256145886137,0.637005571394
 01/04  24:00:00,1.3434604536,4.87405052419,0.0,4.23588712044,0.0,0.126421218501,0.126421218501,0.126421218501,0.386160211764,0.0836126988533,0.173494335907,0.55354598857
 01/05  01:00:00,0.995672560224,5.73589641305,0.0,5.26943975302,0.0,0.157312903116,0.157312903116,0.157312903116,0.201474942826,0.043624015812,0.115167850971,0.457866847499
 01/05  02:00:00,0.867876419421,6.57605228905,0.0,6.18628964456,0.0,0.184730493241,0.184730493241,0.184730493241,0.117526990232,0.0254473519587,0.0983708244822,0.421574759507
 01/05  03:00:00,0.827190512039,7.22533795457,0.0,6.8526937291,0.0,0.204702874551,0.204702874551,0.204702874551,0.0839478806446,0.0181766751353,0.0834501454999,0.416686936208
 01/05  04:00:00,0.818729186159,7.43502855917,0.0,7.05434958819,0.0,0.210804446458,0.210804446458,0.210804446458,0.0839478806446,0.0181766751353,0.0747526356716,0.41082154825
 01/05  05:00:00,0.837839908707,8.24959957162,0.0,7.80651551556,0.0,0.23334088679,0.23334088679,0.23334088679,0.0839478806446,0.0181766751353,0.0868457568597,0.395302709277
 01/05  06:00:00,0.905075897731,8.73632251562,0.0,8.02136854402,0.0,0.23978337167,0.23978337167,0.23978337167,0.0839478806446,0.0181766751353,0.101815917579,0.441126052701
 01/05  07:00:00,1.16821547001,9.19352078551,0.0,7.9725969248,0.0,0.238347384206,0.238347384206,0.238347384206,0.193080105882,0.0418063607087,0.165077844744,0.509677774465
 01/05  08:00:00,1.52868828112,7.81033695267,0.0,6.45200918994,0.0,0.193007830555,0.193007830555,0.193007830555,0.394555048708,0.0854303765206,0.25639820385,0.541570821488
 01/05  09:00:00,1.40044730855,5.80260361041,0.0,4.49775889446,0.0,0.134586974391,0.134586974391,0.134586974391,0.377765476535,0.08179504375,0.32820696637,0.457866847499
 01/05  10:00:00,1.15237515229,4.76824379618,0.0,3.59797145186,0.0,0.107599662469,0.107599662469,0.107599662469,0.193080105882,0.0418063607087,0.39998131075,0.389681712483
 01/05  11:00:00,1.09261437869,3.1157455513,0.0,2.09922240004,0.0,0.0627246823513,0.0627246823513,0.0627246823513,0.159500966529,0.0345356726033,0.416780676038,0.398846381168
 01/05  12:00:00,1.06160278888,1.30464693265,0.0,0.423244658334,0.0,0.0126364307398,0.0126364307398,0.0126364307398,0.159500966529,0.0345356726033,0.435735142253,0.398968576751
 01/05  13:00:00,1.0452223066,1.22701220772,0.0,0.438054591514,0.0,0.0130748262111,0.0130748262111,0.0130748262111,0.159500966529,0.0345356726033,0.425637021538,0.392247819715
 01/05  14:00:00,1.00604036756,0.736288154046,0.0,0.0,0.0,0.0,0.0,0.0,0.159500966529,0.0345356726033,0.385966199058,0.405811529369
