Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.29098691894,10.2122330034,0.0,9.75626579397,0.0,0.315257072064,0.315257072064,0.315257072064,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.10897177839,10.4440391252,0.0,10.0968090046,0.0,0.326208698229,0.326208698229,0.326208698229,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.05151352114,10.9574856389,0.0,10.6401981556,0.0,0.343718766248,0.343718766248,0.343718766248,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.03841158217,11.0775280881,0.0,10.7522936056,0.0,0.347317780596,0.347317780596,0.347317780596,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.0390635161,11.2992456742,0.0,10.8885494413,0.0,0.351683346131,0.351683346131,0.351683346131,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.12790495852,12.325572507,0.0,11.5404982189,0.0,0.372719859241,0.372719859241,0.372719859241,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.46974795504,13.7091877843,0.0,12.2225594061,0.0,0.394780685173,0.394780685173,0.394780685173,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,1.92869114049,12.7982458266,0.0,11.1077105477,0.0,0.358810573113,0.358810573113,0.358810573113,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.84321043386,12.3530351954,0.0,10.7065303209,0.0,0.345854823369,0.345854823369,0.345854823369,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.50353850511,10.3963664328,0.0,8.90307638566,0.0,0.28752943897,0.28752943897,0.28752943897,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.46106937528,9.49335313253,0.0,8.18175216763,0.0,0.264191505392,0.264191505392,0.264191505392,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.44451210439,8.16635386262,0.0,7.02146939586,0.0,0.22670869194,0.22670869194,0.22670869194,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.39164707601,7.11571275685,0.0,6.09893579567,0.0,0.196904920766,0.196904920766,0.196904920766,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.34972018375,6.65072186443,0.0,5.71277665996,0.0,0.184428264069,0.184428264069,0.184428264069,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
