Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.28160158299,11.1176655468,0.0,10.6610334401,0.0,0.305871736124,0.305871736124,0.305871736124,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.08676481757,10.9451450954,0.0,10.5973659161,0.0,0.304001737406,0.304001737406,0.304001737406,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.00853612693,10.8027911361,0.0,10.4848257545,0.0,0.300741372044,0.300741372044,0.300741372044,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.00440860327,11.2502404452,0.0,10.9242293711,0.0,0.313314801703,0.313314801703,0.313314801703,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,0.997167580609,11.2132015776,0.0,10.8018840851,0.0,0.309787410642,0.309787410642,0.309787410642,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.06860355908,11.7144446763,0.0,10.9284539826,0.0,0.313418459797,0.313418459797,0.313418459797,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.38304594541,12.23095412,0.0,10.7429282508,0.0,0.308078675542,0.308078675542,0.308078675542,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,1.89383658921,12.9887917394,0.0,11.2968737429,0.0,0.32395602183,0.32395602183,0.32395602183,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.81851377838,12.8465420577,0.0,11.199362035,0.0,0.32115816789,0.32115816789,0.32115816789,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.52814772705,12.376645193,0.0,10.8833955319,0.0,0.312138660913,0.312138660913,0.312138660913,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.52657170205,12.8074546542,0.0,11.4963299924,0.0,0.329693832164,0.329693832164,0.329693832164,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.4966371477,10.8685171932,0.0,9.72389600489,0.0,0.27883373525,0.27883373525,0.27883373525,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.47234863665,10.6984518632,0.0,9.68206190437,0.0,0.277606481405,0.277606481405,0.277606481405,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.4462281865,10.7361021506,0.0,9.79866892266,0.0,0.280936266813,0.280936266813,0.280936266813,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.43806150171,10.2399392628,0.0,9.37572140129,0.0,0.268811000878,0.268811000878,0.268811000878,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.52104014525,9.56502431001,0.0,8.69075399527,0.0,0.249167377205,0.249167377205,0.249167377205,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.90990853588,10.094842034,0.0,9.11849773347,0.0,0.2614236887,0.2614236887,0.2614236887,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.64769598878,11.1484118384,0.0,9.97443900013,0.0,0.286035145106,0.286035145106,0.286035145106,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.15599842316,10.2070244729,0.0,8.84278016355,0.0,0.253623437335,0.253623437335,0.253623437335,1.25248956773,0.285407820314,0.522761393651,0.788316204123
 01/01  20:00:00,3.15788366319,10.6322295097,0.0,9.2281635427,0.0,0.264708351729,0.264708351729,0.264708351729,1.32807082119,0.302630710236,0.425376441419,0.813697338616
 01/01  21:00:00,2.91346674667,10.4918798586,0.0,9.18723737306,0.0,0.263565108291,0.263565108291,0.263565108291,1.14451631022,0.260803683128,0.37951047539,0.841671169644
 01/01  22:00:00,2.65179496352,10.4676040001,0.0,9.30020576268,0.0,0.266820484078,0.266820484078,0.266820484078,0.960961801745,0.218976686564,0.359614732068,0.822021259068
 01/01  23:00:00,2.20558150515,11.1763443381,0.0,10.2265827497,0.0,0.293404534071,0.293404534071,0.293404534071,0.723420662017,0.164847621407,0.289154633287,0.71135405437
 01/01  24:00:00,1.7492430085,11.3822793403,0.0,10.6728553489,0.0,0.306215396268,0.306215396268,0.306215396268,0.496676901655,0.113178951643,0.191618322082,0.618153436849
 01/02  01:00:00,1.27995969272,11.3086849918,0.0,10.8711796225,0.0,0.311899142743,0.311899142743,0.311899142743,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/02  02:00:00,1.10118544258,11.5966648414,0.0,11.2591230574,0.0,0.323027223811,0.323027223811,0.323027223811,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/02  03:00:00,1.04147606341,12.0480295917,0.0,11.7376714313,0.0,0.336727753344,0.336727753344,0.336727753344,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/02  04:00:00,1.02314173448,11.9482328004,0.0,11.6306093408,0.0,0.333640904428,0.333640904428,0.333640904428,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
 01/02  05:00:00,1.01078570407,11.7771455021,0.0,11.3822008378,0.0,0.326521882295,0.326521882295,0.326521882295,0.107973243613,0.0246041219143,0.0868457568597,0.441440699384
 01/02  06:00:00,1.0804056501,12.2438177173,0.0,11.5037027665,0.0,0.330000025489,0.330000025489,0.330000025489,0.107973243613,0.0246041219143,0.101815917579,0.492612341507
 01/02  07:00:00,1.38127336229,12.4941197315,0.0,11.110688923,0.0,0.318702523273,0.318702523273,0.318702523273,0.248338385058,0.0565894910929,0.165077844744,0.569165118123
 01/02  08:00:00,1.84653858999,12.0700983767,0.0,10.5059659002,0.0,0.301346278042,0.301346278042,0.301346278042,0.507474149482,0.115639377579,0.25639820385,0.604780581041
 01/02  09:00:00,1.7656735652,12.1874410471,0.0,10.6740303355,0.0,0.30616147219,0.30616147219,0.30616147219,0.485879522289,0.11071855625,0.32820696637,0.511307048096
 01/02  10:00:00,1.47987640189,12.4008160785,0.0,11.0314420829,0.0,0.316403570375,0.316403570375,0.316403570375,0.248338385058,0.0565894910929,0.39998131075,0.435163644616
 01/02  11:00:00,1.45615122642,12.3155648732,0.0,11.1112139112,0.0,0.318675623784,0.318675623784,0.318675623784,0.205149135666,0.0467478178928,0.416780676038,0.445397973041
 01/02  12:00:00,1.43525155935,10.7738928753,0.0,9.71804520464,0.0,0.278685032789,0.278685032789,0.278685032789,0.205149135666,0.0467478178928,0.435735142253,0.445534430753
 01/02  13:00:00,1.42696566299,10.9833935441,0.0,10.0442141853,0.0,0.28800243132,0.28800243132,0.28800243132,0.205149135666,0.0467478178928,0.425637021538,0.438029256575
 01/02  14:00:00,1.36325749117,9.54985264992,0.0,8.67895997101,0.0,0.24881827591,0.24881827591,0.24881827591,0.205149135666,0.0467478178928,0.385966199058,0.453176062644
 01/02  15:00:00,1.37363811242,9.52625377334,0.0,8.72216743682,0.0,0.250034112304,0.250034112304,0.250034112304,0.215946512535,0.0492082438285,0.356355588907,0.478693654849
 01/02  16:00:00,1.45531192591,8.72262164001,0.0,7.90807370577,0.0,0.226674626054,0.226674626054,0.226674626054,0.269933141293,0.0615103124214,0.368490937387,0.505302908753
 01/02  17:00:00,1.82442107422,8.50457705447,0.0,7.60095724706,0.0,0.217840466009,0.217840466009,0.217840466009,0.453487652263,0.103337308986,0.428670866964,0.59768478
 01/02  18:00:00,2.5391162632,8.71893498271,0.0,7.63131104641,0.0,0.21869933797,0.21869933797,0.21869933797,0.842191296402,0.191912153986,0.536821987543,0.726091487301
 01/02  19:00:00,3.08757086647,9.11130211542,0.0,7.85926112013,0.0,0.225224581969,0.225224581969,0.225224581969,1.25248956773,0.285407820314,0.482732692333,0.788316204123
 01/02  20:00:00,3.0567837785,8.38109101697,0.0,7.10278816814,0.0,0.203560680125,0.203560680125,0.203560680125,1.32807082119,0.302630710236,0.385424228339,0.813697338616
 01/02  21:00:00,2.81643720687,8.41423394281,0.0,7.22958182588,0.0,0.207200167059,0.207200167059,0.207200167059,1.14451631022,0.260803683128,0.338845876819,0.841671169644
 01/02  22:00:00,2.56242952718,8.70843995177,0.0,7.64167387205,0.0,0.218996381305,0.218996381305,0.218996381305,0.960961801745,0.218976686564,0.318073398495,0.822021259068
 01/02  23:00:00,2.10598131624,8.78616354276,0.0,7.91518154259,0.0,0.226813092307,0.226813092307,0.226813092307,0.723420662017,0.164847621407,0.256145886137,0.71135405437
 01/02  24:00:00,1.66215702743,8.94112943943,0.0,8.28007961076,0.0,0.237253401379,0.237253401379,0.237253401379,0.496676901655,0.113178951643,0.173494335907,0.618153436849
 01/03  01:00:00,1.20325862617,8.64891036748,0.0,8.20960898744,0.0,0.235198076196,0.235198076196,0.235198076196,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/03  02:00:00,1.04308623137,9.58999968632,0.0,9.2507691131,0.0,0.264928012602,0.264928012602,0.264928012602,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
