Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 01/01  01:00:00,1.43778334987,16.7105088896,0.0,16.2589201883,0.0,0.462053502996,0.462053502996,0.462053502996,0.259135764424,0.0590498864857,0.122837147866,0.511307048096
 01/01  02:00:00,1.24818386217,16.7135399956,0.0,16.3715296359,0.0,0.465420782008,0.465420782008,0.465420782008,0.151162506908,0.0344457798429,0.102975685881,0.470779107534
 01/01  03:00:00,1.19065675242,17.2949022696,0.0,16.9830279219,0.0,0.482861997531,0.482861997531,0.482861997531,0.107973243613,0.0246041219143,0.0864965903205,0.465320799041
 01/01  04:00:00,1.18674859847,17.751083549,0.0,17.431529487,0.0,0.495654796897,0.495654796897,0.495654796897,0.107973243613,0.0246041219143,0.0763456071944,0.458770828849
 01/01  05:00:00,1.17485479743,17.5478703961,0.0,17.1429460024,0.0,0.48747462746,0.48747462746,0.48747462746,0.107973243613,0.0246041219143,0.0899621050554,0.441440699384
 01/01  06:00:00,1.24810301889,18.1137973408,0.0,17.3343328331,0.0,0.492917919609,0.492917919609,0.492917919609,0.107973243613,0.0246041219143,0.106595392246,0.492612341507
 01/01  07:00:00,1.56440845489,18.6924973717,0.0,17.2110770166,0.0,0.489441185023,0.489441185023,0.489441185023,0.248338385058,0.0565894910929,0.177474275597,0.569165118123
 01/01  08:00:00,2.04863204546,18.5188856744,0.0,16.8336825241,0.0,0.478751478082,0.478751478082,0.478751478082,0.507474149482,0.115639377579,0.281086459277,0.604780581041
 01/01  09:00:00,1.97459874734,18.4201390497,0.0,16.7792571044,0.0,0.477243136842,0.477243136842,0.477243136842,0.485879522289,0.11071855625,0.36605048386,0.511307048096
 01/01  10:00:00,1.66414309332,17.2439697495,0.0,15.7566018408,0.0,0.448134027179,0.448134027179,0.448134027179,0.248338385058,0.0565894910929,0.45251754537,0.435163644616
 01/01  11:00:00,1.60573693376,15.684539544,0.0,14.3788069762,0.0,0.408859063872,0.408859063872,0.408859063872,0.205149135666,0.0467478178928,0.476182943291,0.445397973041
 01/01  12:00:00,1.54271431427,12.5700242846,0.0,11.4300883908,0.0,0.324910901823,0.324910901823,0.324910901823,0.205149135666,0.0467478178928,0.496972028135,0.445534430753
 01/01  13:00:00,1.47807033526,10.9824648325,0.0,9.97021339052,0.0,0.283328180019,0.283328180019,0.283328180019,0.205149135666,0.0467478178928,0.481415945109,0.438029256575
 01/01  14:00:00,1.38555673824,8.6876268511,0.0,7.75345022867,0.0,0.220264818561,0.220264818561,0.220264818561,0.205149135666,0.0467478178928,0.43681890348,0.453176062644
 01/01  15:00:00,1.36525459089,7.76266274126,0.0,6.9013158905,0.0,0.196004090058,0.196004090058,0.196004090058,0.215946512535,0.0492082438285,0.402002089622,0.478693654849
 01/01  16:00:00,1.46654062133,7.72584645482,0.0,6.85477852537,0.0,0.19466785329,0.19466785329,0.19466785329,0.269933141293,0.0615103124214,0.411726405573,0.505302908753
 01/01  17:00:00,1.8482710122,8.00811404568,0.0,7.03497450995,0.0,0.199786165011,0.199786165011,0.199786165011,0.453487652263,0.103337308986,0.470575105936,0.59768478
 01/01  18:00:00,2.59499319829,9.38508303549,0.0,8.21436158302,0.0,0.233332354618,0.233332354618,0.233332354618,0.842191296402,0.191912153986,0.578065905983,0.726091487301
 01/01  19:00:00,3.12475434668,9.18850607133,0.0,7.82762275582,0.0,0.22237936086,0.22237936086,0.22237936086,1.25248956773,0.285407820314,0.522761393651,0.788316204123
 01/01  20:00:00,3.13350841444,9.85977525913,0.0,8.4588888414,0.0,0.240333102984,0.240333102984,0.240333102984,1.32807082119,0.302630710236,0.425376441419,0.813697338616
 01/01  21:00:00,2.92585020358,11.0119068482,0.0,9.71093398657,0.0,0.275948565202,0.275948565202,0.275948565202,1.14451631022,0.260803683128,0.37951047539,0.841671169644
 01/01  22:00:00,2.64356105771,10.2631487964,0.0,9.09934343043,0.0,0.258586578263,0.258586578263,0.258586578263,0.960961801745,0.218976686564,0.359614732068,0.822021259068
 01/01  23:00:00,2.18203756191,10.4435388296,0.0,9.49692334944,0.0,0.269860590827,0.269860590827,0.269860590827,0.723420662017,0.164847621407,0.289154633287,0.71135405437
 01/01  24:00:00,1.72423032837,10.6042017779,0.0,9.89783902375,0.0,0.281202716145,0.281202716145,0.281202716145,0.496676901655,0.113178951643,0.191618322082,0.618153436849
 01/02  01:00:00,1.26935503443,11.0410618656,0.0,10.6063944304,0.0,0.301294484449,0.301294484449,0.301294484449,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/02  02:00:00,1.08584135237,11.1670710686,0.0,10.8322722479,0.0,0.3076831336,0.3076831336,0.3076831336,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/02  03:00:00,0.99788276929,10.6290927988,0.0,10.3213680922,0.0,0.293134459222,0.293134459222,0.293134459222,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/02  04:00:00,0.971054709453,10.2306106488,0.0,9.91503657017,0.0,0.281553879405,0.281553879405,0.281553879405,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
 01/02  05:00:00,0.955932654465,9.96166898908,0.0,9.5685511289,0.0,0.271668832694,0.271668832694,0.271668832694,0.107973243613,0.0246041219143,0.0868457568597,0.441440699384
 01/02  06:00:00,1.01501541399,10.0589327345,0.0,9.32067364033,0.0,0.264609789377,0.264609789377,0.264609789377,0.107973243613,0.0246041219143,0.101815917579,0.492612341507
 01/02  07:00:00,1.33970882124,11.1445132398,0.0,9.76279504265,0.0,0.277137982225,0.277137982225,0.277137982225,0.248338385058,0.0565894910929,0.165077844744,0.569165118123
 01/02  08:00:00,1.81607021151,11.1045245858,0.0,9.54237559812,0.0,0.270877899562,0.270877899562,0.270877899562,0.507474149482,0.115639377579,0.25639820385,0.604780581041
 01/02  09:00:00,1.69817473964,9.91923060752,0.0,8.40755501235,0.0,0.238662646632,0.238662646632,0.238662646632,0.485879522289,0.11071855625,0.32820696637,0.511307048096
 01/02  10:00:00,1.40501928085,9.87880907789,0.0,8.5106079119,0.0,0.241546449333,0.241546449333,0.241546449333,0.248338385058,0.0565894910929,0.39998131075,0.435163644616
 01/02  11:00:00,1.38011741098,9.75371514072,0.0,8.55049687974,0.0,0.242641808337,0.242641808337,0.242641808337,0.205149135666,0.0467478178928,0.416780676038,0.445397973041
 01/02  12:00:00,1.35147848046,7.9249560944,0.0,6.86998548166,0.0,0.194911953895,0.194911953895,0.194911953895,0.205149135666,0.0467478178928,0.435735142253,0.445534430753
 01/02  13:00:00,1.32927027187,7.64740724374,0.0,6.70880519428,0.0,0.190307040198,0.190307040198,0.190307040198,0.205149135666,0.0467478178928,0.425637021538,0.438029256575
 01/02  14:00:00,1.27904160916,6.67413955023,0.0,5.80377061514,0.0,0.164602393901,0.164602393901,0.164602393901,0.205149135666,0.0467478178928,0.385966199058,0.453176062644
 01/02  15:00:00,1.29547885237,6.86421980836,0.0,6.06071668028,0.0,0.171874852252,0.171874852252,0.171874852252,0.215946512535,0.0492082438285,0.356355588907,0.478693654849
 01/02  16:00:00,1.39829059381,6.79634519074,0.0,5.98261881721,0.0,0.169653293954,0.169653293954,0.169653293954,0.269933141293,0.0615103124214,0.368490937387,0.505302908753
 01/02  17:00:00,1.7752863886,6.85207670058,0.0,5.94962121125,0.0,0.168705780389,0.168705780389,0.168705780389,0.453487652263,0.103337308986,0.428670866964,0.59768478
 01/02  18:00:00,2.50828144383,7.71106944905,0.0,6.62513315036,0.0,0.187864518597,0.187864518597,0.187864518597,0.842191296402,0.191912153986,0.536821987543,0.726091487301
 01/02  19:00:00,3.02544617911,7.00175824707,0.0,5.75126487499,0.0,0.163099894608,0.163099894608,0.163099894608,1.25248956773,0.285407820314,0.482732692333,0.788316204123
 01/02  20:00:00,3.00454540499,6.61308987552,0.0,5.33578436792,0.0,0.151322306609,0.151322306609,0.151322306609,1.32807082119,0.302630710236,0.385424228339,0.813697338616
 01/02  21:00:00,2.75407133842,6.29098745137,0.0,5.10722938513,0.0,0.144834298611,0.144834298611,0.144834298611,1.14451631022,0.260803683128,0.338845876819,0.841671169644
 01/02  22:00:00,2.48172065263,5.94242573022,0.0,4.87637343622,0.0,0.138287506759,0.138287506759,0.138287506759,0.960961801745,0.218976686564,0.318073398495,0.822021259068
 01/02  23:00:00,2.03270204135,6.28490057766,0.0,5.41418977657,0.0,0.153533817416,0.153533817416,0.153533817416,0.723420662017,0.164847621407,0.256145886137,0.71135405437
 01/02  24:00:00,1.58383507728,6.26521163127,0.0,5.60467464691,0.0,0.158931451229,0.158931451229,0.158931451229,0.496676901655,0.113178951643,0.173494335907,0.618153436849
 01/03  01:00:00,1.12623344439,6.01675396043,0.0,5.57786772316,0.0,0.158172894412,0.158172894412,0.158172894412,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/03  02:00:00,0.937846471923,5.97057119471,0.0,5.63159912635,0.0,0.159688253156,0.159688253156,0.159688253156,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/03  03:00:00,0.866909866131,6.03143937612,0.0,5.71945405809,0.0,0.162161556063,0.162161556063,0.162161556063,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/03  04:00:00,0.853037091812,6.08799973917,0.0,5.76845015392,0.0,0.163536261764,0.163536261764,0.163536261764,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
 01/03  05:00:00,0.83982846387,5.88483510618,0.0,5.48759032613,0.0,0.1555646421,0.1555646421,0.1555646421,0.107973243613,0.0246041219143,0.0868457568597,0.441440699384
 01/03  06:00:00,0.903262846961,6.13567219162,0.0,5.39252104815,0.0,0.152857222347,0.152857222347,0.152857222347,0.107973243613,0.0246041219143,0.101815917579,0.492612341507
 01/03  07:00:00,1.23328614589,7.41067947433,0.0,6.0230406112,0.0,0.170715306871,0.170715306871,0.170715306871,0.248338385058,0.0565894910929,0.165077844744,0.569165118123
 01/03  08:00:00,1.71133698559,7.42985730341,0.0,5.86144091824,0.0,0.166144673638,0.166144673638,0.166144673638,0.507474149482,0.115639377579,0.25639820385,0.604780581041
 01/03  09:00:00,1.60937300484,6.80422689978,0.0,5.28675477267,0.0,0.14986091183,0.14986091183,0.14986091183,0.485879522289,0.11071855625,0.32820696637,0.511307048096
 01/03  10:00:00,1.29713436356,6.09015920159,0.0,4.71624814576,0.0,0.133661532042,0.133661532042,0.133661532042,0.248338385058,0.0565894910929,0.39998131075,0.435163644616
 01/03  11:00:00,1.28136543915,6.28743000968,0.0,5.07861183837,0.0,0.143889836511,0.143889836511,0.143889836511,0.205149135666,0.0467478178928,0.416780676038,0.445397973041
 01/03  12:00:00,1.25986375144,4.70700866136,0.0,3.64697049864,0.0,0.103297224871,0.103297224871,0.103297224871,0.205149135666,0.0467478178928,0.435735142253,0.445534430753
 01/03  13:00:00,1.2360593392,4.37214738469,0.0,3.42875455424,0.0,0.0970961075311,0.0970961075311,0.0970961075311,0.205149135666,0.0467478178928,0.425637021538,0.438029256575
 01/03  14:00:00,1.20376387886,4.02957573259,0.0,3.15483165895,0.0,0.0893246635973,0.0893246635973,0.0893246635973,0.205149135666,0.0467478178928,0.385966199058,0.453176062644
 01/03  15:00:00,1.21124848213,3.90391385512,0.0,3.0960451257,0.0,0.0876444820107,0.0876444820107,0.0876444820107,0.215946512535,0.0492082438285,0.356355588907,0.478693654849
 01/03  16:00:00,1.32505007727,4.22448778493,0.0,3.40641934554,0.0,0.0964127774155,0.0964127774155,0.0964127774155,0.269933141293,0.0615103124214,0.368490937387,0.505302908753
 01/03  17:00:00,1.69456542133,4.01596175391,0.0,3.10898812434,0.0,0.087984813119,0.087984813119,0.087984813119,0.453487652263,0.103337308986,0.428670866964,0.59768478
 01/03  18:00:00,2.41198011548,4.3269002817,0.0,3.23580787932,0.0,0.0915631902467,0.0915631902467,0.0915631902467,0.842191296402,0.191912153986,0.536821987543,0.726091487301
 01/03  19:00:00,2.93204521689,3.71860596972,0.0,2.46309037234,0.0,0.0696989323813,0.0696989323813,0.0696989323813,1.25248956773,0.285407820314,0.482732692333,0.788316204123
 01/03  20:00:00,2.92701082605,3.89013067242,0.0,2.60781110434,0.0,0.0737877276742,0.0737877276742,0.0737877276742,1.32807082119,0.302630710236,0.385424228339,0.813697338616
 01/03  21:00:00,2.68623723692,3.91008166955,0.0,2.7215948845,0.0,0.0770001971053,0.0770001971053,0.0770001971053,1.14451631022,0.260803683128,0.338845876819,0.841671169644
 01/03  22:00:00,2.42566904686,3.97721773825,0.0,2.90676416213,0.0,0.0822359009928,0.0822359009928,0.0822359009928,0.960961801745,0.218976686564,0.318073398495,0.822021259068
 01/03  23:00:00,1.96786588023,4.00995316519,0.0,3.13554671493,0.0,0.0886976562984,0.0886976562984,0.0886976562984,0.723420662017,0.164847621407,0.256145886137,0.71135405437
 01/03  24:00:00,1.52126102154,4.07112445384,0.0,3.40695749103,0.0,0.0963573954858,0.0963573954858,0.0963573954858,0.496676901655,0.113178951643,0.173494335907,0.618153436849
 01/04  01:00:00,1.07526857477,4.23368229134,0.0,3.79156221864,0.0,0.107208024793,0.107208024793,0.107208024793,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/04  02:00:00,0.89168222763,4.35836626567,0.0,4.0165127423,0.0,0.113524008862,0.113524008862,0.113524008862,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/04  03:00:00,0.823415631576,4.51393978658,0.0,4.19930560564,0.0,0.118667321507,0.118667321507,0.118667321507,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/04  04:00:00,0.81864557413,4.89292845844,0.0,4.57081139705,0.0,0.129144744081,0.129144744081,0.129144744081,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
 01/04  05:00:00,0.810690693575,4.87451673193,0.0,4.47487276097,0.0,0.126426871804,0.126426871804,0.126426871804,0.107973243613,0.0246041219143,0.0868457568597,0.441440699384
 01/04  06:00:00,0.876317709048,5.20306481698,0.0,4.4569653075,0.0,0.125912084434,0.125912084434,0.125912084434,0.107973243613,0.0246041219143,0.101815917579,0.492612341507
 01/04  07:00:00,1.18091399207,5.58155866993,0.0,4.18954726697,0.0,0.118343153048,0.118343153048,0.118343153048,0.248338385058,0.0565894910929,0.165077844744,0.569165118123
 01/04  08:00:00,1.66790784396,5.91881760951,0.0,4.34544576756,0.0,0.122715532009,0.122715532009,0.122715532009,0.507474149482,0.115639377579,0.25639820385,0.604780581041
 01/04  09:00:00,1.57939209888,5.76744144909,0.0,4.24520960896,0.0,0.119880005875,0.119880005875,0.119880005875,0.485879522289,0.11071855625,0.32820696637,0.511307048096
 01/04  10:00:00,1.28297302251,5.60989799166,0.0,4.23198239434,0.0,0.119500190992,0.119500190992,0.119500190992,0.248338385058,0.0565894910929,0.39998131075,0.435163644616
 01/04  11:00:00,1.2608554569,5.58274631913,0.0,4.3702438352,0.0,0.123379854261,0.123379854261,0.123379854261,0.205149135666,0.0467478178928,0.416780676038,0.445397973041
 01/04  12:00:00,1.25627196514,4.59570838606,0.0,3.5323840686,0.0,0.0997054385724,0.0997054385724,0.0997054385724,0.205149135666,0.0467478178928,0.435735142253,0.445534430753
 01/04  13:00:00,1.23364720545,4.30145117434,0.0,3.35504736431,0.0,0.0946839737791,0.0946839737791,0.0946839737791,0.205149135666,0.0467478178928,0.425637021538,0.438029256575
 01/04  14:00:00,1.19503365001,3.73409117261,0.0,2.85636265637,0.0,0.0805944347513,0.0805944347513,0.0805944347513,0.205149135666,0.0467478178928,0.385966199058,0.453176062644
 01/04  15:00:00,1.20069188736,3.54319892818,0.0,2.73249786685,0.0,0.0770878872345,0.0770878872345,0.0770878872345,0.215946512535,0.0492082438285,0.356355588907,0.478693654849
 01/04  16:00:00,1.29453635819,3.15748178417,0.0,2.33627047519,0.0,0.0658990583306,0.0658990583306,0.0658990583306,0.269933141293,0.0615103124214,0.368490937387,0.505302908753
 01/04  17:00:00,1.65266984511,2.54488481103,0.0,1.63432198847,0.0,0.0460892368996,0.0460892368996,0.0460892368996,0.453487652263,0.103337308986,0.428670866964,0.59768478
 01/04  18:00:00,2.41001390146,4.27121122672,0.0,3.17708780523,0.0,0.0895969762296,0.0895969762296,0.0895969762296,0.842191296402,0.191912153986,0.536821987543,0.726091487301
 01/04  19:00:00,2.94051293189,4.02996160026,0.0,2.77133605446,0.0,0.0781666473901,0.0781666473901,0.0781666473901,1.25248956773,0.285407820314,0.482732692333,0.788316204123
 01/04  20:00:00,2.94323702814,4.47640192642,0.0,3.19124710426,0.0,0.0900139297627,0.0900139297627,0.0900139297627,1.32807082119,0.302630710236,0.385424228339,0.813697338616
 01/04  21:00:00,2.71522091437,4.94836812046,0.0,3.75742805521,0.0,0.105983874562,0.105983874562,0.105983874562,1.14451631022,0.260803683128,0.338845876819,0.841671169644
 01/04  22:00:00,2.46669275494,5.44234196978,0.0,4.36983886008,0.0,0.123259609063,0.123259609063,0.123259609063,0.960961801745,0.218976686564,0.318073398495,0.822021259068
 01/04  23:00:00,2.03562297256,6.42216026871,0.0,5.54639209345,0.0,0.156454748626,0.156454748626,0.156454748626,0.723420662017,0.164847621407,0.256145886137,0.71135405437
 01/04  24:00:00,1.61092231926,7.25880646221,0.0,6.59412955346,0.0,0.186018693207,0.186018693207,0.186018693207,0.496676901655,0.113178951643,0.173494335907,0.618153436849
 01/05  01:00:00,1.1581955262,7.1816837648,0.0,6.73989749537,0.0,0.190134976229,0.190134976229,0.190134976229,0.259135764424,0.0590498864857,0.115167850971,0.511307048096
 01/05  02:00:00,0.967067324505,7.0377133997,0.0,6.69646346671,0.0,0.188909105738,0.188909105738,0.188909105738,0.151162506908,0.0344457798429,0.0983708244822,0.470779107534
 01/05  03:00:00,0.89091623535,6.91481051346,0.0,6.60059843143,0.0,0.186167925281,0.186167925281,0.186167925281,0.107973243613,0.0246041219143,0.0834501454999,0.465320799041
 01/05  04:00:00,0.858119785079,6.30202364044,0.0,5.97995275155,0.0,0.16861895503,0.16861895503,0.16861895503,0.107973243613,0.0246041219143,0.0747526356716,0.458770828849
 01/05  05:00:00,0.85196328061,6.34823960796,0.0,5.94821043658,0.0,0.167699458839,0.167699458839,0.167699458839,0.107973243613,0.0246041219143,0.0868457568597,0.441440699384
 01/05  06:00:00,0.912398504911,6.49345193014,0.0,5.74633854232,0.0,0.161992880297,0.161992880297,0.161992880297,0.107973243613,0.0246041219143,0.101815917579,0.492612341507
 01/05  07:00:00,1.23654549559,7.56615332143,0.0,6.17195393055,0.0,0.173974656568,0.173974656568,0.173974656568,0.248338385058,0.0565894910929,0.165077844744,0.569165118123
 01/05  08:00:00,1.71282020105,7.52277727047,0.0,5.9470762677,0.0,0.167627889096,0.167627889096,0.167627889096,0.507474149482,0.115639377579,0.25639820385,0.604780581041
 01/05  09:00:00,1.60758921287,6.77832635896,0.0,5.25351444988,0.0,0.148077119865,0.148077119865,0.148077119865,0.485879522289,0.11071855625,0.32820696637,0.511307048096
 01/05  10:00:00,1.29907254706,6.19228970313,0.0,4.81169568995,0.0,0.135599715544,0.135599715544,0.135599715544,0.248338385058,0.0565894910929,0.39998131075,0.435163644616
 01/05  11:00:00,1.23851431387,4.80166911072,0.0,3.58631965967,0.0,0.101038711229,0.101038711229,0.101038711229,0.205149135666,0.0467478178928,0.416780676038,0.445397973041
 01/05  12:00:00,1.20013083767,2.61350498726,0.0,1.54678041102,0.0,0.0435643111086,0.0435643111086,0.0435643111086,0.205149135666,0.0467478178928,0.435735142253,0.445534430753
 01/05  13:00:00,1.15615070645,1.56059803157,0.0,0.610438645632,0.0,0.0171874747772,0.0171874747772,0.0171874747772,0.205149135666,0.0467478178928,0.425637021538,0.438029256575
 01/05  14:00:00,1.1208515042,1.10912864096,0.0,0.227786142657,0.0,0.00641228893773,0.00641228893773,0.00641228893773,0.205149135666,0.0467478178928,0.385966199058,0.453176062644
 01/05  15:00:00,1.12549760185,0.88132788392,0.0,0.0672706002207,0.0,0.00189360172932,0.00189360172932,0.00189360172932,0.215946512535,0.0492082438285,0.356355588907,0.478693654849
 01/05  16:00:00,1.23837093819,1.17008948432,0.0,0.345823850861,0.0,0.00973363833829,0.00973363833829,0.00973363833829,0.269933141293,0.0615103124214,0.368490937387,0.505302908753
 01/05  17:00:00,1.66652849923,3.04227755332,0.0,2.12988929177,0.0,0.059947891021,0.059947891021,0.059947891021,0.453487652263,0.103337308986,0.428670866964,0.59768478
 01/05  18:00:00,2.35796573142,2.43082898619,0.0,1.3338673453,0.0,0.0375488061916,0.0375488061916,0.0375488061916,0.842191296402,0.191912153986,0.536821987543,0.726091487301
 01/05  19:00:00,2.8814481622,1.94111462822,0.0,0.678531683429,0.0,0.019101877692,0.019101877692,0.019101877692,1.25248956773,0.285407820314,0.482732692333,0.788316204123
 01/05  20:00:00,2.88178008443,2.30356234466,0.0,1.01436083992,0.0,0.0285569860465,0.0285569860465,0.0285569860465,1.32807082119,0.302630710236,0.385424228339,0.813697338616
 01/05  21:00:00,2.65034259225,2.65469659714,0.0,1.46000856475,0.0,0.0411055524376,0.0411055524376,0.0411055524376,1.14451631022,0.260803683128,0.338845876819,0.841671169644
